date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BNP PARIBAS,GOLDMAN SACHS (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD
2024-03-01,426971528.0,165789193.0,145057960.0,112826100.0,30401935.0,19072359.0,55424481.0,56853617.0,56547555.0
2024-03-04,372512195.0,207029660.0,147289188.0,113896543.0,27577131.0,20439359.0,55374908.0,57279987.0,0.0
2024-03-05,381792731.0,197699903.0,147118257.0,113112228.0,27772997.0,21184359.0,56449758.0,58195087.0,56549055.0
2024-03-06,381737417.0,189163335.0,142521305.0,112816228.0,28067553.0,21993359.0,56424759.0,59171004.0,0.0
2024-03-07,385379309.0,188033709.0,141945420.0,112510229.0,27392633.0,21638359.0,55642759.0,59900020.0,56549305.0
2024-03-08,400105907.0,179360131.0,141848973.0,114104848.0,27260790.0,21643359.0,54230469.0,59864270.0,0.0
2024-03-11,404598923.0,175374351.0,141874629.0,112425228.0,27253790.0,21784359.0,54013469.0,59805294.0,0.0
2024-03-12,402854114.0,186849783.0,143614425.0,112416228.0,27224790.0,21481359.0,54870880.0,59639327.0,0.0
2024-03-13,403625922.0,186303558.0,145050112.0,0.0,27191126.0,20935359.0,55070498.0,59151687.0,56567555.0
2024-03-14,397784308.0,188975175.0,144190134.0,112404228.0,27041686.0,20318359.0,55232248.0,58965020.0,56573086.0
2024-03-15,396258718.0,189096711.0,143854108.0,0.0,27337209.0,20898359.0,55023299.0,60644061.0,56757362.0
2024-03-18,398522339.0,186955565.0,144374476.0,0.0,27324879.0,21001359.0,54699299.0,60937807.0,0.0
2024-03-19,400129429.0,182993781.0,147529634.0,112499228.0,27291879.0,20954359.0,55662635.0,61029307.0,0.0
2024-03-20,396797384.0,176878752.0,160672216.0,112514588.0,27424279.0,21053359.0,60151720.0,61199557.0,0.0
2024-03-21,398517217.0,174454531.0,158695856.0,112304228.0,27404279.0,21166359.0,59916720.0,61324555.0,0.0
2024-03-22,401743205.0,189224012.0,146564121.0,112324228.0,27426519.0,21353359.0,57798720.0,61568255.0,56758862.0
2024-03-25,407552036.0,187781818.0,142346131.0,112283314.0,27404971.0,21434359.0,57185570.0,61306380.0,0.0
2024-03-26,410436637.0,183602860.0,143334528.0,112609228.0,27625219.0,21768359.0,56861330.0,61872480.0,0.0
2024-03-27,414621758.0,182886919.0,140197622.0,112666169.0,27633220.0,21781359.0,53704406.0,61993330.0,0.0
2024-03-28,414406644.0,180569493.0,140534940.0,112520411.0,27659780.0,21819359.0,54056142.0,61995330.0,0.0
2024-04-02,415925033.0,178216681.0,140346910.0,0.0,27694780.0,21921359.0,54001142.0,62411830.0,0.0
2024-04-03,417528356.0,177561376.0,142034654.0,0.0,27841363.0,22032359.0,54031300.0,62426680.0,0.0
2024-04-05,414917766.0,179312471.0,142371458.0,112868024.0,27854464.0,21851359.0,53675550.0,62215627.0,0.0
2024-04-08,415053456.0,183570643.0,142214976.0,112857228.0,27854256.0,21874359.0,53540568.0,62227144.0,0.0
2024-04-09,419056666.0,180569880.0,142260194.0,112829228.0,28173256.0,0.0,53497580.0,62172010.0,56759084.0
2024-04-10,419463286.0,180422704.0,142213627.0,112891228.0,28153256.0,21829359.0,53518580.0,62119874.0,0.0
2024-04-11,422064115.0,177012571.0,142402114.0,112882228.0,28173448.0,21788359.0,56587021.0,61871655.0,0.0
2024-04-12,416049914.0,171869126.0,142476554.0,113133228.0,28178136.0,21725359.0,55302238.0,61564994.0,0.0
2024-04-15,414707496.0,170137189.0,142703360.0,113126120.0,28251136.0,22072359.0,53492238.0,62069541.0,0.0
2024-04-16,407165696.0,167305024.0,142714040.0,113624228.0,28234636.0,22323359.0,55540238.0,62657066.0,0.0
2024-04-17,413544169.0,166343271.0,142973777.0,0.0,28278284.0,22330359.0,56515989.0,62676066.0,56760259.0
2024-04-18,418638401.0,166301300.0,142961065.0,113686689.0,28291284.0,22398359.0,56117787.0,62678066.0,0.0
2024-04-19,417308218.0,162955993.0,141941754.0,113634833.0,28469803.0,23131359.0,56015257.0,63443934.0,0.0
2024-04-22,416950663.0,163662612.0,142225712.0,113892228.0,28448803.0,22896359.0,56020235.0,63397218.0,0.0
2024-04-23,418045807.0,163662052.0,142525503.0,114158833.0,28493553.0,23060359.0,56068235.0,63407939.0,0.0
2024-04-24,383309341.0,163455606.0,142442600.0,113958833.0,28302568.0,22891359.0,89033127.0,63017439.0,56758259.0
2024-04-25,384993177.0,166764307.0,142197733.0,113248833.0,28329128.0,22753359.0,88106127.0,62634730.0,0.0
2024-04-26,383625716.0,167640855.0,142153021.0,113446833.0,28491496.0,22578359.0,87753127.0,62384935.0,56774024.0
2024-04-29,383850942.0,165921160.0,142219469.0,113254833.0,28378496.0,22750359.0,86259446.0,62260152.0,0.0
2024-04-30,382957906.0,168061427.0,142339665.0,113193872.0,29990272.0,22772359.0,86474069.0,62072022.0,0.0
2024-05-02,380943907.0,168802811.0,142755977.0,114228912.0,30084458.0,22950359.0,86614750.0,61774438.0,0.0
2024-05-03,379142682.0,170501022.0,143065006.0,113917833.0,30025180.0,23012359.0,86951065.0,61555938.0,0.0
2024-05-06,379139637.0,168430492.0,143209807.0,114776044.0,30015180.0,0.0,88759399.0,61138988.0,0.0
2024-05-07,381882999.0,168844489.0,143678827.0,114028044.0,29963681.0,0.0,88925485.0,61354589.0,0.0
2024-05-08,382570687.0,167892040.0,144148856.0,113737964.0,29966081.0,23099359.0,88924485.0,61404589.0,0.0
2024-05-09,381384298.0,169985001.0,143975556.0,114127333.0,29989515.0,23121359.0,88922950.0,61481239.0,0.0
2024-05-10,381911173.0,167526981.0,144038776.0,113950333.0,30094219.0,23509359.0,88006149.0,61728269.0,56779024.0
2024-05-13,381979635.0,167248246.0,144195240.0,113962333.0,30082349.0,23365359.0,88145483.0,61654769.0,56779524.0
2024-05-14,375919753.0,173456779.0,144888864.0,113901372.0,30028741.0,23724359.0,87823483.0,60920668.0,0.0
2024-05-16,378549091.0,173112356.0,141475227.0,0.0,30006843.0,24172359.0,87914915.0,60940254.0,56781350.0
2024-05-17,377940225.0,175265477.0,141509411.0,113539024.0,30002593.0,24315359.0,87925140.0,61059672.0,56705631.0
2024-05-20,380709304.0,174553690.0,141303604.0,113662683.0,29937734.0,24709359.0,88045839.0,60510922.0,0.0
2024-05-21,383765826.0,173641088.0,141185208.0,113398072.0,29547280.0,24696359.0,88057513.0,60272122.0,0.0
2024-05-22,385931770.0,175795517.0,143498981.0,0.0,29439713.0,24471359.0,88362513.0,60036116.0,0.0
2024-05-23,384499501.0,177069313.0,142128625.0,113480971.0,29462817.0,24641359.0,90644513.0,60413782.0,0.0
2024-05-24,385613263.0,181420057.0,141919948.0,113835971.0,29401317.0,24513359.0,90832313.0,60370782.0,56675631.0
2024-05-27,385118312.0,180765695.0,141011739.0,113984579.0,29456646.0,24879359.0,88692313.0,60601532.0,0.0
2024-05-28,385235047.0,179712612.0,141317698.0,113939379.0,29541646.0,25238359.0,89262313.0,61521532.0,0.0
2024-05-29,385256445.0,178764551.0,141334731.0,114260873.0,29487750.0,25516359.0,88510313.0,61793550.0,0.0
2024-05-30,387219218.0,176935755.0,141571884.0,114185215.0,29568750.0,26067359.0,88290313.0,61268207.0,56678475.0
2024-05-31,387636899.0,176887311.0,141527082.0,114160373.0,29592750.0,26327359.0,87966313.0,61389606.0,0.0
2024-06-03,387817656.0,176640169.0,141721422.0,114240125.0,29754750.0,26414359.0,87967078.0,61525606.0,0.0
2024-06-04,389305773.0,175163127.0,142067646.0,114420125.0,29800155.0,26697359.0,88778121.0,61613526.0,0.0
2024-06-05,389572456.0,174506998.0,142268839.0,114354125.0,29763255.0,26680359.0,88656121.0,61750146.0,0.0
2024-06-06,389455420.0,174679590.0,142340231.0,114247533.0,29823329.0,26827359.0,88623547.0,61752998.0,0.0
2024-06-07,389166898.0,175028559.0,140723319.0,0.0,29814329.0,26957359.0,89987033.0,61853808.0,0.0
2024-06-11,386993192.0,178587805.0,140951361.0,113711224.0,29913225.0,26945359.0,89482076.0,61976157.0,0.0
2024-06-12,388459804.0,176238939.0,140904262.0,114019275.0,29950275.0,26878359.0,89670889.0,62098277.0,0.0
2024-06-13,389385481.0,173416547.0,141016432.0,114259539.0,29970503.0,27291359.0,90008863.0,62530696.0,0.0
2024-06-14,394506909.0,167797924.0,141941102.0,114269697.0,30084503.0,27737359.0,90251137.0,62877328.0,56778475.0
2024-06-17,394747656.0,168375945.0,141797872.0,114188572.0,30097503.0,27727359.0,90223805.0,61528328.0,56775290.0
2024-06-18,397263691.0,166960942.0,141326555.0,114438967.0,30155331.0,27991359.0,90383999.0,60883305.0,0.0
2024-06-19,396961069.0,165705802.0,141678074.0,114623658.0,30176643.0,28128359.0,90698949.0,61033805.0,0.0
2024-06-20,397126452.0,164910481.0,140711596.0,115702648.0,30240424.0,28459359.0,90465019.0,61193489.0,56782290.0
2024-06-21,394771754.0,163793728.0,140817463.0,115714544.0,30303424.0,28457359.0,89898420.0,61161145.0,0.0
2024-06-24,394113345.0,163031066.0,140677453.0,115721800.0,30444424.0,28706359.0,89936782.0,61475543.0,0.0
2024-06-25,385902757.0,161882186.0,144549651.0,116611022.0,30581224.0,29452359.0,89710456.0,62210050.0,56782618.0
2024-06-26,384832089.0,161557515.0,145507683.0,115340768.0,30644328.0,29495359.0,89563456.0,62463739.0,0.0
2024-06-27,385076950.0,162475201.0,145862042.0,113683038.0,30767328.0,29817359.0,89429878.0,62654238.0,0.0
2024-06-28,383486032.0,161911008.0,146274645.0,115055124.0,30768328.0,29974359.0,89502878.0,62799248.0,0.0
2024-07-02,381232184.0,164003771.0,147509567.0,115900150.0,30749060.0,29985359.0,89458559.0,62859498.0,0.0
2024-07-03,384827573.0,163878353.0,146045006.0,115900680.0,30725060.0,29987359.0,89874035.0,62982998.0,0.0
2024-07-04,383160792.0,164277910.0,146578078.0,113087150.0,30903164.0,30431359.0,89875886.0,63175114.0,0.0
2024-07-05,384058277.0,163076455.0,146680074.0,113239150.0,30759164.0,30566359.0,91317457.0,63060114.0,0.0
2024-07-08,387270671.0,165005728.0,146440300.0,113179150.0,30712164.0,30639359.0,91121712.0,62632547.0,0.0
2024-07-09,387619631.0,167000703.0,146329818.0,113185150.0,30691164.0,30789359.0,90059400.0,62624547.0,0.0
2024-07-10,382822040.0,171019556.0,146613951.0,113193150.0,30736946.0,31347359.0,90149147.0,62681547.0,0.0
2024-07-11,378701219.0,163181599.0,146457708.0,120980512.0,30737946.0,31378359.0,90106147.0,62760447.0,0.0
2024-07-12,379471930.0,169930933.0,146523672.0,113623150.0,30742946.0,31448359.0,90191204.0,62861707.0,0.0
2024-07-15,379400131.0,169401096.0,146360853.0,113658150.0,30728946.0,31346359.0,90208204.0,62260111.0,0.0
2024-07-16,379831692.0,170152718.0,146466875.0,113606150.0,30847806.0,31038359.0,90672980.0,61881458.0,0.0
2024-07-17,377296018.0,172297704.0,146150469.0,113658150.0,30869658.0,31438359.0,90786180.0,62211054.0,56783845.0
2024-07-18,379176467.0,171440890.0,146008934.0,113749732.0,30904018.0,31622359.0,90439760.0,62364054.0,0.0
2024-07-19,384241125.0,165349776.0,147586384.0,113868667.0,30984018.0,31695359.0,90160750.0,62409921.0,56791529.0
2024-07-22,432268217.0,163884923.0,148364420.0,113711150.0,30948018.0,31760359.0,90740750.0,62342921.0,56774529.0
2024-07-23,436759541.0,158412623.0,147397983.0,113805150.0,30996518.0,31896359.0,90505290.0,62471760.0,0.0
2024-07-24,435652514.0,157487285.0,145770019.0,113719150.0,31043578.0,32100359.0,90495240.0,62586669.0,56773529.0
2024-07-25,431581107.0,160872101.0,139838330.0,113697146.0,31029578.0,32059359.0,90908904.0,62634364.0,56772529.0
2024-07-26,431805114.0,159693144.0,139910872.0,113758150.0,31014578.0,32201359.0,90924095.0,62925364.0,0.0
2024-07-29,431725330.0,162871784.0,140416054.0,113912150.0,30948578.0,32190359.0,90909108.0,63034364.0,0.0
2024-07-30,429966612.0,166283534.0,140492910.0,113784150.0,31069078.0,32254359.0,90316876.0,63027364.0,0.0
2024-07-31,429118056.0,164786986.0,140440293.0,113778150.0,0.0,32433359.0,90305844.0,62904329.0,0.0
2024-08-01,429097993.0,161434776.0,140522197.0,113891150.0,31387448.0,32859359.0,90404673.0,63534729.0,0.0
2024-08-02,428231439.0,160331260.0,140533735.0,113814067.0,31511998.0,33007359.0,90692873.0,63439799.0,0.0
2024-08-05,429031716.0,161205727.0,141932502.0,113750150.0,31400832.0,33109359.0,91087872.0,63420199.0,0.0
2024-08-06,429308814.0,160441430.0,142390122.0,113738149.0,31431832.0,33413359.0,90850872.0,63466409.0,0.0
2024-08-07,426531608.0,162601095.0,142776722.0,113691900.0,31177642.0,32985359.0,90528763.0,62580853.0,0.0
2024-08-08,427870702.0,162032081.0,142679974.0,113840900.0,31014842.0,33024359.0,90470805.0,62549541.0,56774476.0
2024-08-09,424554042.0,166204603.0,148084695.0,113780900.0,31016345.0,33361359.0,90218805.0,62611641.0,0.0
2024-08-12,430823266.0,163439904.0,146958243.0,115812160.0,31013345.0,33531359.0,90240805.0,62585741.0,0.0
2024-08-13,422509503.0,169773211.0,146924155.0,117018458.0,31223280.0,34069359.0,90223805.0,62521519.0,56778476.0
2024-08-14,430936408.0,162140898.0,146779627.0,115430990.0,31249280.0,34745359.0,90555236.0,62861369.0,0.0
2024-08-15,431638288.0,157771244.0,146654904.0,115686990.0,31518825.0,35051359.0,90602256.0,63401723.0,56772476.0
2024-08-16,430873523.0,160222466.0,147011080.0,115703990.0,31500825.0,35202359.0,90715209.0,63327723.0,56770529.0
2024-08-19,429690628.0,161120254.0,146800672.0,115651990.0,31504825.0,35497359.0,90692937.0,63310521.0,56766529.0
2024-08-20,431435331.0,162019814.0,146528550.0,117109990.0,31550925.0,35738359.0,90829937.0,63225521.0,0.0
2024-08-21,457839050.0,166839354.0,146240319.0,115641990.0,31415925.0,36131359.0,90488937.0,62683521.0,0.0
2024-08-22,459353711.0,167801262.0,146196666.0,114201900.0,31441925.0,35793359.0,90614856.0,62826589.0,0.0
