date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,GF SECURITIES (HONG KONG) BROKERAGE LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-05,0.0,0.0,0.0,92.40526206893345,0.0,0.0,7.594737931066539
2024-03-06,0.0,0.0,0.0,92.48480934632045,0.0,0.0,7.515190653679545
2024-03-07,0.0,30.995598732618046,28.15636083132207,22.21027128186922,16.320555916560664,0.0,2.3172132376299994
2024-03-08,0.0,31.01077667252694,28.162918716102574,22.24324304906047,16.388835509759147,0.0,2.194226052550869
2024-03-11,0.0,31.022392567472952,28.129400098307272,22.251574835692097,16.394974375405084,0.0,2.2016581231226002
2024-03-13,0.0,31.012825904205403,28.12072557399154,22.244712910933625,16.389918504914487,0.0,2.231817105954942
2024-03-14,0.0,31.012552657667026,28.120477809052495,22.244516918126685,16.3897740972907,0.0,2.2326785178630892
2024-03-15,0.0,31.009683859693943,28.117876540765064,22.242459202151114,16.38825797086188,0.0,2.241722426528007
2024-03-18,0.0,30.810043592945824,27.805555337089633,22.09926230571247,16.282750407236165,0.0,3.0023883570159073
2024-03-19,0.0,30.53951648170913,27.474645407355204,21.905220074840877,16.139779969126618,0.0,3.940838066968174
2024-03-20,0.0,30.813060149987503,27.28698188223474,21.758346570627126,16.031563478572973,0.0,4.110047918577652
2024-03-21,0.0,30.743411293792406,27.259612698477394,21.736522677163293,16.015483620102138,0.0,4.244969710464774
2024-03-22,0.0,30.7368571599975,27.257617954128467,21.73493208942255,16.014311674051402,0.0,4.256281122400077
2024-03-25,0.0,30.732359429161882,27.253629341104705,21.73175161219419,16.01196829642328,0.0,4.2702913211159395
2024-03-26,0.0,30.715770396085873,27.238155194502077,21.71941269372685,16.002876973513057,0.0,4.323784742172141
2024-03-27,0.0,30.674838610917952,27.223964276277098,21.735212764461398,16.014518475597082,0.0,4.351465872746468
2024-03-28,0.0,30.15683218063257,26.681860592461266,21.30240515464526,15.69562555566613,0.0,6.1632765165947765
2024-04-02,0.0,30.02976253329012,26.56943317980677,21.212644761566406,15.629490041424072,0.0,6.558669483912634
2024-04-10,0.0,30.030053887601454,26.56906196576135,21.212683793934534,15.629518800497532,0.0,6.558681552205137
2024-04-11,0.0,30.029927730919365,26.568950348755383,21.212594679149202,15.629453140667485,0.0,6.559074100508566
2024-04-15,0.0,29.66096891810136,26.181103281116897,20.951968885449737,15.437423891464935,0.0,7.768535023867074
2024-04-16,0.0,29.471299948807616,26.013686535965597,20.8179901757808,15.338708293666043,0.0,8.358315045779946
2024-04-17,0.0,29.34393963380914,25.981230050592096,20.792016202706595,15.319570653920387,0.0,8.56324345897178
2024-04-18,0.0,29.283769015205678,25.927954767731926,20.749381556761215,15.288157419893562,0.0,8.750737240407618
2024-04-19,0.0,29.185141894475453,25.860335361295768,20.84093197898576,15.35561182873933,0.0,8.75797893650369
2024-04-22,0.0,28.98832310555115,25.86169392351424,20.876345882116812,15.381704814905653,0.0,8.891932273912143
