date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,DBS VICKERS (HONG KONG) LTD,FORTHRIGHT SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,STOCKWELL SECURITIES LTD
2024-03-19,8690492.0,6119977.0,0.0,0.0,1791763.0,5195468.0,0.0,0.0,0.0,11239816.0
2024-03-28,8972668.0,6659952.0,0.0,3380570.0,1881063.0,5294348.0,8401660.0,0.0,4607263.0,13138684.0
2024-04-03,8916668.0,6659683.0,0.0,3444570.0,0.0,5302348.0,0.0,0.0,0.0,13682684.0
2024-05-21,7882348.0,6510523.0,0.0,5057370.0,1864763.0,9878348.0,0.0,0.0,0.0,0.0
2024-05-23,7587948.0,6298123.0,0.0,5061010.0,1832763.0,9806348.0,0.0,0.0,4711263.0,0.0
2024-05-28,7563754.0,6275323.0,0.0,4954930.0,1840763.0,9494348.0,0.0,0.0,0.0,0.0
2024-06-07,7579754.0,6342603.0,0.0,4914930.0,1840763.0,9510348.0,0.0,0.0,0.0,0.0
2024-06-24,8165354.0,7125803.0,0.0,5153330.0,2257203.0,4852908.0,8497660.0,0.0,5223263.0,15514684.0
2024-06-25,10197354.0,8293803.0,0.0,6833330.0,2361203.0,7324908.0,8593660.0,0.0,5447263.0,17714684.0
2024-06-26,10725354.0,8813803.0,0.0,7409330.0,2393203.0,8044908.0,8689660.0,0.0,5559263.0,18314684.0
2024-06-27,11365354.0,9157803.0,0.0,8241330.0,2521203.0,8316908.0,0.0,0.0,5439263.0,19314684.0
2024-06-28,11565354.0,8981803.0,0.0,8873330.0,2553203.0,8292908.0,0.0,0.0,5503263.0,0.0
2024-07-02,12317354.0,9021803.0,0.0,8041330.0,2577203.0,8028908.0,0.0,0.0,5439263.0,0.0
2024-07-03,12285354.0,9205803.0,0.0,8353330.0,2553203.0,7996908.0,0.0,0.0,0.0,0.0
2024-07-05,11949354.0,9181803.0,0.0,8409330.0,2505203.0,8124908.0,0.0,0.0,4951263.0,0.0
2024-07-11,12269354.0,8933803.0,0.0,8681330.0,0.0,7716908.0,0.0,0.0,4887263.0,0.0
2024-07-16,12189354.0,9033002.0,0.0,8865330.0,0.0,7740908.0,0.0,0.0,0.0,19586684.0
2024-07-25,12245114.0,8688002.0,0.0,9633330.0,2521203.0,0.0,0.0,0.0,0.0,19690684.0
2024-08-01,12373114.0,8776002.0,0.0,9018930.0,2545203.0,0.0,0.0,0.0,4879263.0,0.0
2024-08-08,13181114.0,9180802.0,0.0,8058930.0,2593203.0,7508908.0,0.0,0.0,0.0,20122684.0
2024-08-09,13212074.0,8396802.0,0.0,0.0,2641203.0,7564908.0,0.0,0.0,0.0,20242684.0
2024-08-15,13260074.0,8444802.0,0.0,7738930.0,0.0,7836908.0,0.0,0.0,0.0,20258684.0
2024-08-21,13268074.0,8364722.0,0.0,7794930.0,2664803.0,7916908.0,0.0,0.0,0.0,0.0
2024-09-03,13835584.0,8793522.0,0.0,7170930.0,2688803.0,8084908.0,0.0,0.0,0.0,21210684.0
