date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD,ASIA PACIFIC SECURITIES LTD,CGS INTERNATIONAL SECURITIES HK LTD,CHEONG LEE SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,SILVERBRICKS SECURITIES CO LTD
2024-03-04,81580527.0,16643450.0,16313790.0,2709390.0,1294200.0,0.0,0.0,0.0,23291200.0,0.0
2024-03-05,81620527.0,16583450.0,16323790.0,0.0,1174200.0,0.0,0.0,0.0,23351200.0,0.0
2024-03-06,82260527.0,16636050.0,16343790.0,0.0,774200.0,0.0,0.0,0.0,23371200.0,0.0
2024-04-12,100012527.0,17066050.0,15668190.0,2889390.0,814200.0,0.0,0.0,273769945.0,0.0,0.0
2024-05-02,99666527.0,16745650.0,15406190.0,2789390.0,974200.0,0.0,0.0,0.0,0.0,40010000.0
2024-05-24,99108351.0,16683050.0,15610990.0,3129390.0,21154200.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,98969231.0,16761050.0,15250990.0,3246390.0,0.0,0.0,0.0,0.0,23527200.0,0.0
2024-07-09,98909031.0,17312050.0,0.0,3278390.0,21134200.0,0.0,0.0,0.0,23387200.0,0.0
2024-08-05,80370031.0,0.0,14470990.0,3417390.0,21214200.0,0.0,0.0,295669945.0,0.0,0.0
2024-08-06,79690031.0,17363050.0,14390990.0,4037390.0,0.0,0.0,0.0,296009945.0,0.0,0.0
2024-08-09,79070031.0,17623050.0,0.0,4157390.0,42486200.0,0.0,0.0,273357945.0,0.0,40530000.0
2024-08-14,79050031.0,17673850.0,0.0,4497390.0,38746200.0,0.0,0.0,0.0,0.0,43750000.0
2024-08-22,79430031.0,17892650.0,14650990.0,4493390.0,0.0,0.0,0.0,0.0,0.0,42830000.0
2024-10-02,79464031.0,18714650.0,14940990.0,0.0,0.0,0.0,0.0,0.0,23347200.0,51730000.0
2024-10-07,78884031.0,18728650.0,15360990.0,0.0,41646200.0,0.0,0.0,0.0,0.0,51370000.0
2024-10-10,78324031.0,18689650.0,15840990.0,4883390.0,35026200.0,0.0,0.0,277497945.0,0.0,0.0
2024-10-14,78244031.0,18669650.0,15855790.0,0.0,34946200.0,0.0,0.0,0.0,0.0,51170000.0
