date,BANK OF CHINA (HONG KONG) LTD,ADVENT SECURITIES (HONG KONG) LTD,CS WEALTH SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,MONMONKEY GROUP SECURITIES LTD,OSHIDORI SECURITIES LTD,PLANETREE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-06-11,1545394019.0,0.0,0.0,602612676.0,0.0,0.0,597844127.0,1179514941.0,1441787989.0
2024-07-03,1560421519.0,0.0,0.0,640012676.0,887822522.0,829690000.0,0.0,0.0,1392162989.0
2024-07-11,1558586519.0,0.0,0.0,642672676.0,900532522.0,833690000.0,0.0,0.0,1391762989.0
2024-08-07,1547210269.0,0.0,0.0,638167676.0,900191468.0,850595000.0,0.0,0.0,1390292989.0
2024-08-08,1547410269.0,0.0,0.0,638967676.0,900891468.0,853595000.0,0.0,0.0,1385862989.0
2024-08-12,1553410269.0,0.0,0.0,638337676.0,898041468.0,859595000.0,0.0,0.0,1385828989.0
2024-08-15,1550585269.0,0.0,0.0,638532676.0,897111468.0,865955000.0,0.0,0.0,1385513989.0
2024-08-19,1551810269.0,0.0,0.0,638492676.0,898111468.0,867220000.0,0.0,0.0,1385463989.0
2024-08-26,1547677769.0,0.0,0.0,638217676.0,898321468.0,871220000.0,0.0,0.0,1385363989.0
2024-08-27,1547637769.0,0.0,0.0,637482676.0,898171468.0,873560000.0,0.0,0.0,1385313989.0
2024-09-04,1544042769.0,0.0,0.0,663192676.0,908978968.0,878710000.0,0.0,0.0,1376223989.0
2024-09-05,1544492769.0,0.0,0.0,656347676.0,908078968.0,883690000.0,0.0,0.0,1376853989.0
