date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIDAS SECURITIES LTD
2024-03-01,1087266972.0,1434508000.0,220149060.0,119557639.0,66606400.0,626858262.0,0.0,0.0
2024-03-04,1212311536.0,1418746000.0,219901060.0,135459658.0,67588400.0,513944262.0,0.0,0.0
2024-03-05,1219649552.0,1404302000.0,220115060.0,144720508.0,67738400.0,510644262.0,0.0,0.0
2024-03-06,1197237685.0,1398022000.0,219617060.0,152146276.0,68912400.0,514368262.0,0.0,0.0
2024-03-07,1206347685.0,1385506000.0,218655060.0,165413254.0,66728400.0,0.0,0.0,0.0
2024-03-08,1205409385.0,1348258000.0,217513060.0,148310172.0,64616400.0,506796262.0,0.0,0.0
2024-03-11,1192917727.0,1332292000.0,218251060.0,136407052.0,65358400.0,503462262.0,0.0,0.0
2024-03-12,1191292738.0,1319028000.0,219139060.0,145128421.0,64810400.0,571962262.0,15935078230.0,0.0
2024-03-13,1191600411.0,1329806000.0,219169060.0,156623083.0,63038400.0,574462262.0,15925366230.0,0.0
2024-03-14,1144325172.0,1383142000.0,219103060.0,173006278.0,65346400.0,900062262.0,15924366230.0,0.0
2024-03-15,1251261064.0,1443484000.0,219463060.0,152741630.0,64288400.0,869062262.0,0.0,0.0
2024-03-18,1230299374.0,1499710000.0,219607060.0,158696402.0,63472400.0,1117021659.0,0.0,0.0
2024-03-19,1360602302.0,1516186000.0,218693060.0,246294856.0,61732400.0,903421659.0,0.0,0.0
2024-03-20,1359171095.0,1483408000.0,218197060.0,298964114.0,60254400.0,905921659.0,0.0,0.0
2024-03-21,1367179181.0,1509636000.0,218253060.0,278731760.0,57610400.0,905299659.0,0.0,0.0
2024-03-22,1466367808.0,1530806000.0,217475060.0,243383222.0,52598400.0,797299659.0,0.0,0.0
2024-03-25,1460971128.0,1565942000.0,218655060.0,207210520.0,54138400.0,803519659.0,0.0,0.0
2024-03-26,1394898610.0,1625496000.0,214319060.0,169667793.0,49720400.0,803799659.0,0.0,0.0
2024-03-27,1396069036.0,1682614000.0,214073060.0,161973793.0,49304400.0,803835659.0,0.0,0.0
2024-03-28,1349544634.0,1729472000.0,213055060.0,144837793.0,48552400.0,804135659.0,0.0,0.0
2024-04-02,1348072634.0,1712340000.0,212889060.0,151666088.0,49894400.0,806855659.0,0.0,0.0
2024-04-03,1342908848.0,1701604000.0,212869060.0,164401360.0,47848400.0,0.0,0.0,0.0
2024-04-05,1347264498.0,1666212000.0,213787060.0,103220807.0,48492400.0,0.0,0.0,0.0
2024-04-08,1366141139.0,1674410000.0,213875060.0,161630294.0,47184400.0,780337659.0,15924566230.0,0.0
2024-04-09,1358721703.0,0.0,212287060.0,192892581.0,49302400.0,749261659.0,15924366230.0,0.0
2024-04-10,1363660362.0,1757808000.0,211803060.0,192450403.0,47314400.0,656811659.0,0.0,0.0
2024-04-11,1356059843.0,1765376000.0,211843060.0,205406089.0,47030400.0,670809659.0,0.0,0.0
2024-04-12,1392509277.0,1814522000.0,210669060.0,213332069.0,44434400.0,583247659.0,15923938230.0,0.0
2024-04-15,1394911276.0,1809116000.0,210347060.0,208488203.0,43716400.0,580063659.0,0.0,0.0
2024-04-16,1395242568.0,1810674000.0,210501060.0,206688900.0,42352400.0,583299659.0,0.0,0.0
