date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,EVERBRIGHT SECURITIES INVESTMENT,YUE XIU SECURITIES CO LTD
2024-03-01,72120000.0,17034636.0,10438500.0,754000.0,6203577.0,0.0,16815579.0,11088000.0,28390000.0
2024-03-04,72368000.0,16966636.0,10358500.0,706000.0,6185577.0,0.0,16791579.0,10988000.0,28370000.0
2024-03-05,71010000.0,17006636.0,10582500.0,838000.0,5864000.0,0.0,16819579.0,0.0,0.0
2024-03-06,71460000.0,16978636.0,10590500.0,794000.0,5780000.0,0.0,16834537.0,0.0,0.0
2024-03-07,74392000.0,16252636.0,10110500.0,552000.0,5774000.0,19276000.0,16758537.0,10952000.0,28330000.0
2024-03-08,72648000.0,17280636.0,10184500.0,650000.0,5792000.0,0.0,16770537.0,10960000.0,28352000.0
2024-03-11,70332000.0,17578636.0,10620500.0,930000.0,5970000.0,0.0,16798537.0,10970000.0,28330000.0
2024-03-12,69626000.0,17700636.0,10724500.0,722000.0,6000000.0,0.0,16848537.0,11088000.0,28350000.0
2024-03-14,69590000.0,17592636.0,10644500.0,758000.0,5860000.0,0.0,0.0,11124000.0,28330000.0
2024-03-15,68910000.0,17426636.0,10582500.0,846000.0,6110110.0,0.0,16858537.0,11164000.0,28310000.0
2024-03-18,68858000.0,17486636.0,10640500.0,808000.0,6242000.0,0.0,16864537.0,0.0,0.0
2024-03-19,69016000.0,17340636.0,10602500.0,820000.0,6286000.0,0.0,16862537.0,11172000.0,0.0
2024-03-20,68764000.0,17846636.0,10624500.0,828000.0,6118000.0,0.0,16856537.0,11266000.0,0.0
2024-03-21,68688000.0,17832636.0,10502500.0,772000.0,6302000.0,0.0,16854537.0,11214000.0,0.0
2024-03-22,68386000.0,17862636.0,10484500.0,790000.0,6264000.0,0.0,0.0,0.0,0.0
2024-03-25,68158000.0,17786636.0,10510500.0,766000.0,6300000.0,0.0,0.0,11204000.0,0.0
2024-03-26,67060000.0,17990636.0,10762500.0,834000.0,6436000.0,0.0,16888537.0,0.0,28330000.0
2024-03-27,66404000.0,17822636.0,10792500.0,832000.0,6450000.0,0.0,0.0,11106000.0,0.0
