date,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CCB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,NANYANG COMMERCIAL BANK LTD,SHANGHAI COMMERCIAL BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,1.174889259025386,0.0,0.0,0.0,0.0,0.0,70.63148224016658
2024-03-08,0.0,1.1731067467412897,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,1.1728096613606067,0.0,0.0,0.0,0.0,0.0,70.63177932554726
2024-03-18,0.0,1.1722154905992412,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6315416572427
2024-04-08,0.0,1.172512575979924,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,1.1754834297867516,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,1.1775036103753942,0.0,1.6996254628860206,0.0,0.0,0.0,0.0
2024-04-26,0.0,1.1769094396140287,0.0,0.0,0.0,0.0,0.0,70.63213582800407
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.63219524508021
2024-05-07,0.0,1.1767906054617556,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,1.1764935200810729,0.0,0.0,0.0,0.0,0.813566681030121,0.0
2024-05-13,0.0,1.1753645956344785,0.0,0.0,0.0,0.0,0.8131507614971651,70.6315416572427
2024-05-17,0.0,1.1758399322435709,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,1.1779195299083502,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,1.1766123542333462,0.0,0.0,5.150509857529262,0.0,0.0,0.0
2024-05-29,0.04670182184332852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,0.04652357061491887,1.1777412786799404,0.0,0.0,0.0,0.0,0.8119624199744342,70.6295808937302
2024-06-03,0.0,1.1804150471060852,0.0,0.0,0.0,0.0,0.8113682492130686,0.0
2024-06-06,0.0,1.1803556300299487,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,0.04901908781265398,1.1802367958776756,0.0,0.0,5.14985626969176,5.030932962095918,0.0,0.0
2024-06-24,0.04895967073651743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-25,0.047117741376284376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,0.04652357061491887,0.0,0.0,0.0,0.0,0.0,0.0,70.6263129545427
2024-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.811843585822161,0.0
2024-07-02,0.053534785599031805,1.1840989058265514,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,0.04771191213764987,1.1978242504140943,0.0,0.0,0.0,0.0,0.8088727320153335,70.63896879175978
2024-07-04,0.04652357061491887,1.198774923632279,0.0,0.0,0.0,0.0,0.0,70.6364138574859
2024-07-05,0.0,1.1984778382515966,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,0.0,1.2064397264538942,0.0,0.0,0.0,0.0,0.0,70.63980063082569
2024-07-10,0.04699890722401127,1.2073903996720792,0.0,0.0,0.0,0.0,0.0,70.63986004790182
2024-07-11,0.04693949014787472,1.2082222387379908,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,0.04676123891946507,1.2114307608493646,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,0.04652357061491887,1.2113119266970915,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.0,1.2258691103505461,0.0,0.0,0.0,0.0,0.0,70.64443516276434
2024-07-18,0.0,1.226700949416458,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,0.04741482675696713,1.2296718032232854,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,0.08876911174800611,1.2491606041960739,0.0,0.0,0.0,5.031230047476599,0.8103581589187472,70.64603942382003
2024-07-25,0.0961962462650749,1.2580731656165565,0.0,0.0,0.0,0.0,0.0,70.64229614802342
2024-07-26,0.15038461970160877,1.2859397743245986,0.0,0.0,0.0,5.038063011232303,0.8104175759948838,70.65923001472234
2024-07-29,0.2716548720963079,1.295505923582583,0.0,0.0,0.0,0.0,0.8103581589187472,70.66968742012237
2024-07-30,0.301363410164583,1.2980608578564548,0.0,0.0,0.0,0.0,0.0,70.67949123768491
2024-07-31,0.3034430078293623,1.2956841748109929,0.0,0.0,0.0,0.0,0.81065524429943,0.0
2024-08-01,0.30338359075322574,0.0,0.0,0.0,0.0,5.03657758432889,0.0,70.67984774014172
2024-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.68044191090308
2024-08-05,0.0,0.0,0.0,0.0,0.0,5.031230047476599,0.0,0.0
2024-08-06,0.30403717859072776,0.0,0.0,0.0,0.0,0.0,0.0,70.68341276470991
2024-08-07,0.30873112760551524,1.2983579432371375,0.0,0.0,0.0,0.0,0.0,70.6854923623747
2024-08-08,0.3104542228134752,1.301328797043965,0.0,0.0,0.0,0.0,0.0,70.6289273058927
2024-08-09,0.32221880388851215,1.302398304414423,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,1.3039431483939732,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,0.31948561838623085,1.3048344045360216,0.0,1.7208967761429057,5.155797977305415,5.034200901283428,0.0,70.66321095882348
2024-08-14,0.3311313653089947,1.3057850777542064,0.0,1.6996254628860206,0.0,0.0,0.0,70.6536448095655
2024-08-15,0.3317255360703602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,0.3367165704658304,1.3069734192769373,0.0,0.0,0.0,0.0,0.0,70.67652038387808
2024-08-19,0.0,0.0,0.0,0.0,0.0,5.0326560573038766,0.0,70.67919415230422
2024-08-21,0.0,1.2980608578564548,0.0,0.0,0.0,5.031230047476599,0.0,70.68477935746105
2024-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.8109523296801128,0.0
2024-08-26,0.0,1.2996057018360052,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,0.0,1.3004375409019169,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-29,0.336775987541967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,0.33820199736924417,1.2962783455723583,0.0,0.0,0.0,0.0,0.0,70.69089931630313
2024-09-02,0.0,1.2991897823030494,0.0,0.0,0.0,0.0,0.8112494150607954,0.0
2024-09-04,0.33879616813060964,1.303586645937154,0.0,0.0,0.0,0.0,0.0,70.68198675488264
2024-09-05,0.34176702193743724,1.3086370974087607,0.0,0.0,0.0,0.0,0.0,70.69107756753154
2024-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.8115465004414781,0.0
