date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,GET NICE SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,KINGSTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-04,0.0,0.0,0.5509171670040457,0.0,0.0,0.0,0.0,0.0
2024-03-11,1.3834973460966538,2.3828862877117443,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,1.3576685192765785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29932150943595
2024-04-15,0.0,2.3814415953316086,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,50.756057802641486,7.285546135131911
2024-05-02,0.0,2.3812972982857734,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,1.3593904410645836,0.0,0.0,0.0,0.0,0.0,50.721619366881384,7.285401838086075
2024-05-09,0.0,0.0,0.0,0.0,3.2408179769047933,0.0,0.0,0.0
2024-05-13,0.0,2.381307974200859,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,1.3611123628525887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,3.242539898692798,0.0,0.0,0.0
2024-05-20,1.3662781282166037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,1.3680000500046088,0.0,0.6025748206441961,0.0,0.0,0.0,50.592088833531776,7.369776005698321
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.323284117422187
2024-05-23,1.3697219717926137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,2.3805861445873275,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.323356093752925
2024-06-04,1.3680000500046088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,1.3593904410645836,2.4079254411998408,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,1.3680000500046088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,0.0,2.4075645263930747,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.6439009435563164,0.0,0.0,0.0,0.0,0.0
2024-06-28,1.402438485764709,0.0,0.0,0.0,0.0,0.0,0.0,7.364682216665044
2024-07-03,1.405882329340719,0.0,0.0,3.5975667660967443,0.0,0.0,0.0,0.0
2024-07-09,1.4060200830837595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,1.4077420048717644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,1.4060200830837595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,1.4008543177197443,2.4068423523951856,0.0,0.0,0.0,0.0,0.0,7.364032363382251
2024-10-07,0.0,0.0,0.721387424016542,0.0,0.0,0.0,0.0,0.0
2024-10-08,1.4094639266597695,2.3929106275927947,1.0278895022814343,0.0,0.0,0.0,0.0,0.0
2024-10-09,1.4335708316918396,2.3908105717801433,0.0,0.0,0.0,0.0,0.0,7.444962687418487
2024-10-10,1.4232393009638096,0.0,1.1449801838657754,0.0,0.0,0.0,0.0,7.429465391326443
2024-10-14,0.0,2.3903050155431855,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,0.0,0.0,1.144920949756268,0.0,0.0,0.0,0.0,0.0
2024-10-21,1.4266831445398196,2.3868611719671753,1.1587586576290339,0.0,0.0,0.0,0.0,7.369198128746267
2024-10-25,1.4094639266597695,2.3954707809072002,1.2104163112691844,0.0,0.0,0.0,0.0,7.260717056101951
2024-10-29,1.4042981612957544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.261750209174754
2024-11-05,0.0,0.0,1.3171754621254952,0.0,0.0,0.0,0.0,7.261028035176864
2024-11-08,0.0,2.3937488591191953,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,1.3974104741437343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15,0.0,2.4136897465773663,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.350568312537482
2024-11-19,1.4077420048717644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,0.0,2.412967572579477,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,1.4042981612957544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-26,0.0,2.4070462279348854,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-27,1.3681378037476493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02,1.364693960171639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-03,0.0,0.0,1.3326727582175404,0.0,0.0,0.0,0.0,0.0
2024-12-06,0.0,2.40444578165064,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-12,0.0,2.4044351057355544,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-13,0.0,2.3958254967955295,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-18,1.3836350998396942,2.3941035750075246,0.0,3.5973501483358135,0.0,0.0,0.0,0.0
2024-12-19,1.364693960171639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.350554192778821
2025-01-15,1.4611215802999198,0.0,0.0,0.0,0.0,0.0,0.0,7.08831239215281
2025-01-16,1.4593996585119149,0.0,0.0,3.5877273606157263,0.0,0.0,0.0,0.0
2025-01-17,1.4404585188438597,0.0,1.4773141884099614,0.0,0.0,0.0,0.0,0.0
2025-01-23,1.4421804406318648,0.0,0.0,0.0,0.0,1.2698171028056358,0.0,0.0
2025-01-24,1.4387365970558548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-04,1.4077420048717644,0.0,0.0,0.0,0.0,0.0,0.0,7.087951477346044
2025-02-05,1.4025762395077495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,1.4060200830837595,2.3937450708912618,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,1.4025762395077495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-12,1.4094639266597695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,1.4180735355997944,0.0,1.5186403113220817,0.0,0.0,0.0,0.0,0.0
2025-02-17,1.4215173791758047,0.0,1.5944048699943023,0.0,0.0,0.0,0.0,0.0
2025-02-18,0.0,0.0,1.6443406018464477,0.0,0.0,0.0,0.0,0.0
2025-02-25,1.4025762395077495,0.0,0.0,0.0,0.0,1.269802983046974,0.0,7.087229303348154
2025-03-10,0.0,2.3920231491032564,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,1.4047434502701324,2.3896782360123514,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,1.3858023106020774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,0.0,0.0,1.6718913504545279,0.0,0.0,0.0,0.0,0.0
2025-03-28,1.461566869274298,0.0,0.0,0.0,0.0,0.0,0.0,7.080341616196134
2025-04-02,1.4443476513942477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03,1.4460695731822528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,0.0,2.3883006985819475,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,0.0,2.3880840808210166,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.078174405433751
2025-04-29,1.454679182122278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-02,1.4564011039102829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
