date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,DL SECURITIES (HK) LTD,BOCOM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,271993422.0,338255636.0,732000.0,0.0,64251569.0,22906000.0,0.0,0.0,0.0
2024-03-05,272027422.0,338259636.0,48570000.0,0.0,0.0,22274000.0,0.0,0.0,19007283.0
2024-03-06,271819402.0,338196989.0,48654000.0,0.0,64045269.0,22902000.0,0.0,0.0,0.0
2024-03-07,271695402.0,338154556.0,48414000.0,0.0,63807569.0,23326000.0,0.0,0.0,0.0
2024-03-08,271104447.0,338101656.0,48478000.0,0.0,63767569.0,22780000.0,0.0,0.0,0.0
2024-03-11,271384447.0,338161766.0,49442000.0,0.0,63633569.0,23016000.0,0.0,0.0,0.0
2024-03-15,271007071.0,0.0,50992000.0,0.0,62836669.0,23392000.0,0.0,0.0,19009283.0
2024-03-18,270538071.0,0.0,50006000.0,0.0,62572369.0,23822000.0,0.0,0.0,19019283.0
2024-03-20,270672270.0,338163056.0,51454000.0,0.0,61820212.0,0.0,0.0,0.0,19013283.0
2024-03-22,0.0,338087056.0,54202000.0,0.0,59310412.0,25144000.0,0.0,0.0,19041283.0
2024-03-25,269965270.0,338059056.0,54698000.0,0.0,58535812.0,24830000.0,0.0,0.0,18969283.0
2024-03-27,269570510.0,338067056.0,54806000.0,0.0,58393812.0,25258000.0,0.0,0.0,15719283.0
2024-03-28,269581210.0,338163056.0,55508000.0,0.0,57909212.0,25094000.0,0.0,0.0,15705283.0
2024-04-02,269607210.0,0.0,55994000.0,0.0,57811212.0,24776000.0,0.0,0.0,15697283.0
2024-04-03,269757210.0,338171056.0,55970000.0,79714400.0,57624926.0,25148000.0,0.0,0.0,15671283.0
2024-04-05,268633948.0,0.0,56444000.0,80128400.0,57577303.0,24818000.0,0.0,0.0,15663283.0
2024-04-08,268850744.0,338177056.0,56280000.0,0.0,58178052.0,24316000.0,0.0,0.0,15467283.0
2024-04-09,268328758.0,338175042.0,0.0,0.0,61683212.0,24166000.0,0.0,0.0,15459283.0
2024-04-10,267962758.0,338083042.0,56388000.0,0.0,62080556.0,0.0,0.0,0.0,15461283.0
2024-04-11,267810758.0,338069042.0,56306000.0,0.0,62703581.0,24406000.0,0.0,0.0,0.0
2024-04-12,267842758.0,338067042.0,56254000.0,0.0,62700693.0,24378000.0,0.0,0.0,0.0
2024-04-15,267946758.0,338009042.0,56192000.0,0.0,62786378.0,24394000.0,0.0,0.0,0.0
2024-04-16,267931344.0,338019042.0,56198000.0,0.0,62845754.0,24380000.0,0.0,0.0,0.0
2024-04-22,267399344.0,338019042.0,56076000.0,0.0,63659095.0,24520000.0,0.0,0.0,0.0
2024-04-24,267051832.0,0.0,56382000.0,80110400.0,63471295.0,24862000.0,0.0,0.0,0.0
2024-04-25,266913832.0,0.0,56298000.0,80024400.0,63455295.0,24086000.0,0.0,0.0,0.0
2024-04-26,266823832.0,337869042.0,56092530.0,0.0,63517295.0,24866000.0,0.0,0.0,15477283.0
2024-04-29,266863832.0,0.0,55970530.0,0.0,63515558.0,24518000.0,0.0,0.0,15491283.0
2024-04-30,266773611.0,337819042.0,56432530.0,80060400.0,63493695.0,24878000.0,0.0,0.0,15459283.0
