date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,DBS VICKERS (HONG KONG) LTD
2024-03-01,220296112.0,186039558.0,162401965.0,33870220.0,50995204.0,25326000.0,0.0,0.0,0.0
2024-03-04,221254112.0,185871558.0,162569965.0,0.0,51601363.0,25304000.0,31559568.0,0.0,0.0
2024-03-05,221520112.0,186130435.0,162259088.0,33784220.0,51094885.0,25278000.0,31549568.0,0.0,0.0
2024-03-06,222484112.0,185607808.0,162276413.0,33814220.0,50431185.0,25196000.0,31541568.0,0.0,0.0
2024-03-07,221624112.0,185535808.0,0.0,34954220.0,50053885.0,25040000.0,0.0,0.0,27484000.0
2024-03-08,220862112.0,185233808.0,162196413.0,36042220.0,50063885.0,24922000.0,0.0,0.0,0.0
2024-03-11,221202112.0,184697808.0,162306413.0,36836220.0,50015885.0,24842000.0,31601568.0,0.0,0.0
2024-03-12,221162112.0,184783808.0,0.0,37240220.0,50049885.0,24836000.0,31501568.0,0.0,0.0
2024-03-13,221536112.0,184746252.0,162305969.0,38688220.0,50129085.0,24822000.0,0.0,0.0,0.0
2024-03-14,222138112.0,184740252.0,162289969.0,39414220.0,49894356.0,24642000.0,0.0,0.0,0.0
2024-03-15,222140112.0,176886363.0,162614516.0,39790220.0,51310356.0,24574000.0,31511568.0,0.0,0.0
2024-03-18,222258575.0,176762589.0,162648290.0,40780220.0,50400356.0,24500000.0,0.0,0.0,0.0
2024-03-19,222238575.0,176880589.0,162740790.0,41034220.0,50367856.0,24520000.0,0.0,0.0,0.0
2024-03-20,222334303.0,177184589.0,162860790.0,41856220.0,50303857.0,24364000.0,0.0,0.0,0.0
2024-03-21,222562303.0,177149589.0,162650518.0,0.0,50047857.0,24304000.0,31501568.0,0.0,0.0
2024-03-22,222940303.0,177263589.0,162878790.0,0.0,49800412.0,0.0,31491568.0,0.0,0.0
2024-03-25,223003867.0,177347589.0,162823575.0,0.0,50158094.0,24238000.0,0.0,0.0,0.0
2024-03-26,224237867.0,177325589.0,162572759.0,41862220.0,49362893.0,24156000.0,31511568.0,0.0,0.0
2024-03-27,224483867.0,0.0,162546759.0,41790220.0,48970493.0,23540000.0,31439568.0,0.0,0.0
2024-03-28,225349867.0,177359589.0,162540759.0,41796220.0,48628893.0,23134000.0,31429568.0,0.0,0.0
