date,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,CHIYU BANKING CORPORATION LTD,HANG SENG SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-08,2.8055381179794434,3.863334677585751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000269392796961
2024-03-15,0.0,3.8626553705353928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,3.8558623000318106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,2.8592033749577426,3.8541640324059148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,2.860901642583638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,2.8642981778354293,3.8507674971541235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,2.988271714525804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9445662146675864
2024-04-05,2.991328596252416,0.0,0.0,0.0,0.0,1.3919001461839902,0.0,0.0,0.0
2024-04-08,3.018500878266745,0.0,0.0,0.0,2.84493792690022,0.0,0.0,0.0,3.9360748765381084
2024-04-09,3.0609575689141337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,3.089828118554358,3.8337848208951684,0.0,0.0,0.0,1.3834088080545124,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.9360851153936254,0.0,2.8462965410009367,0.0,0.0,1.9832369335208198,0.0
2024-04-23,0.0,3.826312443341228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,0.0,3.8218969475138995,0.0,0.0,0.0,0.0,0.0,0.0,3.851161495243331
2024-04-25,0.0,3.7794402568665104,0.0,0.0,0.0,0.0,0.0,1.9764438630172374,0.0
2024-04-30,3.099678070784552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8501425346677944
2024-05-02,3.1000177243097315,3.7634765411830924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,3.1102073300651045,3.7624575806075553,0.0,0.0,2.8378052028714587,0.0,0.0,1.9747455953913418,3.850482188192973
2024-05-06,3.118698668194582,3.757362777729869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,3.123793471072269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,3.125152085172985,3.755664510103973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,3.1367003050290747,3.750569707226287,0.0,0.0,0.0,0.0,0.0,1.9706697530891926,3.846066692365645
2024-05-13,3.275618596827331,0.0,0.0,0.0,0.0,0.0,0.0,1.9839162405711777,3.5753628327978944
2024-05-20,3.27595825035251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5750231792727156
2024-05-21,3.2776565179784054,3.71490608708248,0.0,0.0,0.0,0.0,0.0,0.0,3.5743438722223573
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5577008494885813
2024-05-23,3.2783358250287638,0.0,0.0,0.0,2.8340690140944886,0.0,0.0,0.0,0.0
2024-05-24,0.0,3.714226780032122,0.0,0.0,0.0,0.0,1.1602564420118375,0.0,0.0
2024-05-27,3.28343062790645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,3.712528512406226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,3.418952384452915,0.0,0.0,0.0,2.851051690353444,0.0,0.0,1.8480548304995341,0.0
2024-06-03,0.0,0.0,0.0,0.0,2.8795825864684894,0.0,0.0,0.0,0.0
2024-06-04,0.0,0.0,0.0,0.0,2.881280854094385,0.0,0.0,0.0,3.5560025818626855
2024-06-07,0.0,3.7261146534133904,0.0,0.0,2.8799222399936686,0.0,0.0,0.0,3.5519267395605363
2024-06-12,0.0,0.0,0.0,0.0,2.862939563734713,0.0,0.0,0.0,0.0
2024-06-13,0.0,3.739361140895376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,3.4199713450284523,0.0,0.0,0.0,0.0,0.0,0.0,1.8198635879096678,0.0
2024-06-18,0.0,3.73766287326948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,0.0,0.0,0.0,0.0,2.8595430284829217,0.0,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.536302677402297
2024-06-25,3.4213299591291686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4833167274743557
2024-07-04,0.0,3.742757676147167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,3.3914404489134067,3.759740352406123,0.0,0.0,2.8592033749577426,0.0,0.0,1.835487650067907,0.0
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8348083430175486,0.0
2024-07-09,0.0,0.0,0.0,0.0,2.857505107331847,0.0,0.0,0.0,0.0
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48195811337364
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8314118077657575,0.0
2024-07-16,0.0,0.0,0.9343868477677298,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.482977073949177
2024-07-30,3.395176637690377,0.0,0.0,1.0131864656092833,2.8490137692023696,0.0,0.0,0.0,0.0
2024-07-31,3.4019697081939597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,3.4026490152443176,3.759061045355764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,0.0,3.736983566219122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,0.0,3.733587030967331,0.934726501292909,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,0.0,0.0,0.9343868477677298,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,3.4196316915032727,0.0,0.0,0.0,2.832031092943414,0.0,0.0,0.0,0.0
2024-08-19,3.423028226755064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,0.0,0.0,0.0,0.0,2.8150484166844585,0.0,0.0,1.8701323096361762,0.0
2024-08-27,3.416235156251482,0.0,0.9357454618684462,0.0,2.798065740425503,0.0,0.0,0.0,3.491468412078655
2024-08-28,0.0,0.0,0.0,0.0,2.7963674727996075,0.0,0.0,0.0,0.0
2024-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4969028684815204
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499959750208132
2024-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.498940789632595
2024-09-09,0.0,3.7250956928378534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-11,3.4179334238773778,3.7060750954278228,0.0,0.0,0.0,0.0,0.0,0.0,3.497242522006699
2024-09-12,0.0,0.0,0.9928072540985368,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,3.4216696126543473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,3.423367880280243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,3.4237075338054224,3.704716481327107,0.969031507335999,0.0,2.791951976972279,0.0,0.0,0.0,3.497921829057058
2024-10-03,3.4271040690572137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,3.433217832510437,0.0,0.0,0.0,2.788555441720488,0.0,0.0,1.8684340420102807,0.0
2024-10-07,3.441709170639915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.495544254380804
2024-10-08,0.0,0.0,0.0,0.0,2.79534851222407,0.0,1.1558409461845092,0.0,3.4870529162513266
2024-10-09,3.407743818122004,3.7026785601760324,0.9676728932352826,0.0,2.7905933628715625,0.0,0.0,1.8524703263268625,3.4867132627261475
2024-10-10,3.602025634524455,3.7172836617587337,0.0,0.0,2.775648607763682,0.0,0.0,0.0,3.4843356880498937
2024-10-14,3.687278669344411,0.0,0.9591815551058048,0.0,2.7705538048859952,0.0,0.0,0.0,0.0
2024-10-15,3.7436611545241436,3.720680197010525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-16,3.7443404615745015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-17,3.7718523971140097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-22,0.0,0.0,0.0,0.0,2.7722520725118907,0.0,0.0,0.0,3.4758443499204157
2024-10-24,0.0,0.0,0.0,0.0,2.773950340137786,0.0,0.0,0.0,0.0
2024-11-01,0.0,3.713887126506943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-13,0.0,3.726793960463749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-14,3.7803437352434877,3.7183026223342712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-15,3.793929876250652,0.0,0.0,0.0,2.760364199130622,0.0,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505733860136177
2024-11-20,3.8622002348116524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,3.8625398883368316,3.7692506511111374,0.0,0.0,0.0,0.0,1.1048929174076427,0.0,0.0
2024-11-27,3.864238155962727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-28,3.8679743447396975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02,3.876465682869175,3.7607593129816594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-04,3.876126029343996,3.757362777729869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05,3.8791829110706084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5053942066109984
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8528099798520417,0.0
2024-12-13,0.0,3.7678920370104207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,3.8788432575454292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5050545530858193
2024-12-30,0.0,3.775024761039182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,0.0,3.771628225787391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,0.0,0.0,0.0,0.0,2.755269396252935,0.0,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4935063332297296
2025-01-22,3.8873345956749064,3.7644955017586303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,3.8961655873295635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-06,0.0,0.0,0.0,0.0,2.7573073174040097,0.0,0.0,0.0,3.4918080656038337
2025-02-11,0.0,0.0,0.0,0.0,2.759005585029905,0.0,0.0,1.8504324051757879,0.0
2025-02-13,0.0,3.7617782735571974,0.0,0.0,0.0,0.0,0.0,0.0,3.491468412078655
2025-02-14,0.0,3.7607593129816594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,3.891410437977056,3.759061045355764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-18,0.0,3.750569707226287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.491128758553476
2025-02-27,0.0,3.7492110931255698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,0.0,0.0,0.0,0.0,2.7556090497781143,0.0,0.0,0.0,3.490449451503117
2025-03-07,0.0,0.0,0.0,0.0,2.759005585029905,0.0,0.0,0.0,0.0
2025-03-10,0.0,3.7458145578737794,0.0,0.0,0.0,0.0,0.0,1.8470358699239968,0.0
2025-03-14,0.0,3.8608484137814396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,0.0,3.8601691067310817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21,0.0,3.8567725714792904,0.0,0.0,2.7647796949579506,0.0,0.0,0.0,3.4880718768268633
2025-03-27,3.947453269631609,3.8540553432778575,0.0,0.0,2.7651193484831293,0.0,0.0,1.8185049738089516,3.465994397690222
2025-04-01,0.0,0.0,0.0,0.0,2.7600245456054426,0.0,0.0,0.0,0.0
2025-04-03,0.0,0.0,0.97242804258779,0.0,0.0,0.0,0.0,0.0,3.4527479102082363
2025-04-08,0.0,0.0,0.0,0.0,2.773610686612607,0.0,0.0,0.0,0.0
2025-04-09,0.0,0.0,0.0,0.0,2.7719124189867115,0.0,0.0,0.0,0.0
2025-04-10,3.952887726034475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8365066106434444,0.0
2025-04-22,3.9640962923653857,3.8204296442851255,0.9727676961129692,0.0,0.0,0.0,0.0,0.0,0.0
