date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,TAIPING SECURITIES (HK) CO LTD
2024-03-01,390582039.0,376496415.0,120252703.0,35384962.0,48545674.0,41535876.0,0.0,12915288.0,228557580.0
2024-03-04,391944239.0,375793052.0,120542783.0,35661962.0,48587874.0,41525325.0,0.0,12956488.0,0.0
2024-03-05,392397839.0,375389869.0,120967698.0,35849604.0,48620874.0,41535925.0,0.0,12960088.0,0.0
2024-03-06,392578439.0,375573691.0,120961784.0,35877404.0,48603874.0,41475019.0,0.0,12972088.0,0.0
2024-03-07,393343839.0,375887582.0,121286784.0,35806604.0,48601874.0,41423219.0,0.0,12975088.0,0.0
2024-03-08,393944039.0,375667182.0,121022184.0,35781604.0,48663274.0,41427819.0,0.0,12990488.0,0.0
2024-03-11,393307039.0,375691389.0,121175963.0,35770204.0,48671274.0,41841019.0,0.0,12975088.0,0.0
2024-03-12,393967239.0,375595589.0,121827097.0,36136604.0,48656474.0,41821775.0,9761672.0,12977088.0,0.0
2024-03-13,394051439.0,375349750.0,121699697.0,36131804.0,48678274.0,41901775.0,0.0,13000888.0,0.0
2024-03-14,393654839.0,375575596.0,121977303.0,36172404.0,48601581.0,41900937.0,9760672.0,12977288.0,0.0
2024-03-15,392762039.0,374876766.0,121761822.0,36167804.0,48583581.0,41897196.0,0.0,12999688.0,228565560.0
2024-03-18,392512067.0,374954163.0,122140124.0,36282204.0,48717581.0,41897069.0,0.0,13100288.0,0.0
2024-03-19,392463867.0,372963417.0,122588485.0,36303804.0,48734781.0,41902520.0,0.0,13066288.0,0.0
2024-03-20,392690867.0,372487780.0,124939390.0,36281434.0,48709781.0,41907670.0,0.0,13059688.0,0.0
2024-03-21,394624118.0,372091772.0,125187590.0,36248633.0,48848181.0,41943473.0,0.0,13076688.0,0.0
2024-03-22,395047211.0,372259772.0,125074446.0,36256235.0,48900381.0,41907673.0,0.0,13104088.0,228559560.0
2024-03-25,395686268.0,372274133.0,124816253.0,36590235.0,48920791.0,41897226.0,0.0,13093488.0,228555560.0
2024-03-26,396420122.0,372349352.0,122695440.0,36799034.0,49072191.0,41907827.0,9759672.0,13053488.0,0.0
2024-03-27,396667722.0,371806105.0,122973310.0,36811234.0,49300991.0,41923993.0,0.0,13065888.0,228565560.0
2024-03-28,392414122.0,372655655.0,124452775.0,36837434.0,49350791.0,42026928.0,0.0,12986488.0,228574560.0
2024-04-02,391513392.0,372768811.0,124390792.0,36832634.0,49469991.0,42541528.0,0.0,13053688.0,0.0
2024-04-03,389934192.0,372733511.0,120735459.0,37427929.0,49351541.0,42631303.0,0.0,13069088.0,228584560.0
2024-04-05,388640592.0,372165623.0,122206495.0,37479328.0,49226941.0,42570301.0,0.0,12991088.0,228574560.0
2024-04-08,388295392.0,373945405.0,123538178.0,37477728.0,49209341.0,42628301.0,0.0,12961688.0,0.0
2024-04-09,0.0,374470858.0,123502198.0,37551728.0,49291541.0,42648452.0,0.0,13004288.0,228584560.0
2024-04-10,388393004.0,374468488.0,122656268.0,37550128.0,49314341.0,42563252.0,0.0,12974288.0,0.0
2024-04-11,386886204.0,374583156.0,123151853.0,37580128.0,49268741.0,42910282.0,0.0,12959288.0,0.0
2024-04-12,386495004.0,374856507.0,119977202.0,37575128.0,49341741.0,43410122.0,0.0,12964288.0,0.0
2024-04-15,386159404.0,374693707.0,118077902.0,39109127.0,49441859.0,44316345.0,0.0,13017088.0,228574560.0
2024-04-16,389871804.0,374916746.0,112726500.0,39270762.0,49841459.0,44387859.0,0.0,13013688.0,228578560.0
2024-04-17,391875204.0,374308746.0,112948100.0,39271762.0,49761259.0,44971709.0,0.0,12936488.0,228588560.0
2024-04-18,393048204.0,374060871.0,111962415.0,39261502.0,49884259.0,44553909.0,9740072.0,12892488.0,0.0
2024-04-19,394684670.0,373350563.0,110429847.0,0.0,49800259.0,44532709.0,0.0,12889488.0,0.0
2024-04-22,394988070.0,372669463.0,108855364.0,39249302.0,49584659.0,45474109.0,9715277.0,13034488.0,0.0
2024-04-23,394926934.0,372289362.0,106832267.0,39071702.0,49561269.0,45981639.0,0.0,13026688.0,228578560.0
2024-04-24,394196334.0,367932402.0,107414743.0,39060702.0,49496469.0,50429070.0,0.0,12927688.0,0.0
2024-04-25,394695689.0,367661852.0,107804687.0,38956102.0,49514669.0,50426010.0,0.0,13032688.0,0.0
2024-04-26,395584689.0,366875699.0,109666389.0,37397702.0,49599069.0,50016811.0,0.0,12784088.0,228574360.0
2024-04-29,393161689.0,366690299.0,111291660.0,37153502.0,49160069.0,49844411.0,9714277.0,12540488.0,228545360.0
2024-04-30,393877089.0,366053854.0,111118428.0,37131102.0,48802669.0,49866411.0,0.0,12553088.0,0.0
