date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,DBS BANK LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,146101299.0,109239546.0,39448016.0,3401082.0,3832000.0,93140000.0,0.0,4222000.0,0.0
2024-03-04,146853299.0,109191546.0,39514216.0,3351082.0,3826000.0,0.0,0.0,0.0,0.0
2024-03-05,147513299.0,109016546.0,39219757.0,3334382.0,0.0,0.0,0.0,4272000.0,0.0
2024-03-06,147699299.0,109158546.0,37943757.0,3326382.0,0.0,0.0,0.0,4282000.0,0.0
2024-03-07,147871299.0,109204546.0,38937859.0,3318382.0,0.0,0.0,0.0,4254000.0,0.0
2024-03-08,148169299.0,109252626.0,38629859.0,3398382.0,3804000.0,0.0,0.0,4236000.0,0.0
2024-03-11,149075299.0,109145744.0,38332766.0,3413475.0,0.0,0.0,0.0,4184000.0,0.0
2024-03-12,149891299.0,109864744.0,37563830.0,3441475.0,3734000.0,93136000.0,0.0,4180000.0,0.0
2024-03-13,149289299.0,110508744.0,38248591.0,3430975.0,3584000.0,0.0,0.0,4182000.0,0.0
2024-03-14,150185299.0,110730744.0,38079051.0,3408275.0,3436000.0,0.0,0.0,4246000.0,0.0
2024-03-15,150535299.0,110912744.0,37995351.0,3465975.0,3428000.0,0.0,0.0,4256000.0,0.0
2024-03-19,153153299.0,108689191.0,37723643.0,3483581.0,3490000.0,0.0,0.0,0.0,450000.0
2024-03-21,153639299.0,108669191.0,37742177.0,3468906.0,3494000.0,0.0,0.0,4316000.0,0.0
2024-03-22,153679299.0,108597191.0,38713817.0,3486306.0,0.0,0.0,0.0,4292000.0,0.0
2024-03-25,153897299.0,108569191.0,38508217.0,3472306.0,0.0,0.0,0.0,4282000.0,0.0
2024-03-27,154055299.0,108051191.0,37015457.0,3478306.0,3500000.0,0.0,0.0,4286000.0,0.0
2024-03-28,97361132.0,107677191.0,37131457.0,3570306.0,3490000.0,0.0,0.0,4346000.0,0.0
2024-04-03,155645299.0,107238652.0,36471954.0,3512769.0,0.0,0.0,0.0,4342000.0,0.0
2024-04-05,156035299.0,107210652.0,36652557.0,3406557.0,3496000.0,0.0,0.0,4320000.0,0.0
2024-04-08,156783299.0,107196537.0,36170973.0,3420557.0,0.0,0.0,0.0,4322000.0,0.0
2024-04-09,0.0,107342091.0,35640646.0,3364257.0,3516000.0,0.0,0.0,4336000.0,0.0
2024-04-10,156753299.0,106924091.0,36062709.0,3526257.0,3506000.0,0.0,0.0,4324000.0,0.0
2024-04-11,157811299.0,106365015.0,35655617.0,3435057.0,3504000.0,0.0,0.0,4258000.0,0.0
2024-04-12,158033299.0,105860020.0,35927532.0,3531057.0,3502000.0,0.0,0.0,4238000.0,0.0
2024-04-15,158895299.0,105603020.0,35658608.0,3670057.0,3496000.0,0.0,0.0,4198000.0,0.0
2024-04-16,159595299.0,105463020.0,35410302.0,3628057.0,3502000.0,0.0,0.0,4178000.0,0.0
2024-04-17,159761299.0,105244198.0,35456809.0,3640057.0,3512000.0,0.0,0.0,4148000.0,0.0
2024-04-18,160261299.0,105019667.0,35186309.0,3626557.0,3514000.0,0.0,0.0,4162000.0,0.0
2024-04-19,160839299.0,104663667.0,34736309.0,3682557.0,3504000.0,93132000.0,0.0,4142000.0,0.0
2024-04-23,161703299.0,104214667.0,34644469.0,3658872.0,3514000.0,93114000.0,0.0,0.0,0.0
2024-04-25,162483299.0,104132667.0,34041269.0,3700072.0,3468000.0,0.0,0.0,0.0,0.0
2024-04-26,162149299.0,104054667.0,34210656.0,3700685.0,3470000.0,0.0,0.0,0.0,0.0
2024-04-30,161469299.0,103931667.0,34358755.0,3677586.0,3476000.0,0.0,0.0,4222000.0,0.0
2024-05-02,161427299.0,103899667.0,34423894.0,3666447.0,3484000.0,93062000.0,0.0,4260000.0,0.0
2024-05-03,162907299.0,103979667.0,32890294.0,3728047.0,3486000.0,0.0,0.0,4280000.0,0.0
2024-05-06,0.0,104011383.0,32742094.0,3634247.0,3496000.0,93082000.0,0.0,0.0,0.0
2024-05-08,164871299.0,103739383.0,31024094.0,3824247.0,3532000.0,93012000.0,0.0,4200000.0,0.0
2024-05-09,165601299.0,103581383.0,31192394.0,3695947.0,3494000.0,0.0,0.0,0.0,0.0
2024-05-10,165279299.0,103351383.0,31771741.0,3668600.0,3388000.0,0.0,0.0,4150000.0,0.0
2024-05-14,166567299.0,103662483.0,30630709.0,3789980.0,2778000.0,93008000.0,0.0,3940000.0,0.0
2024-05-16,167121299.0,103935483.0,30604261.0,3765980.0,2756000.0,0.0,2786000.0,3690000.0,0.0
2024-05-17,166729299.0,103857483.0,31151863.0,3802378.0,2686000.0,0.0,0.0,0.0,0.0
2024-05-20,167283299.0,103873483.0,30804263.0,3689978.0,0.0,0.0,0.0,3730000.0,0.0
2024-05-21,166849299.0,103530483.0,31414645.0,3809316.0,2676000.0,0.0,0.0,3710000.0,0.0
2024-05-22,167351299.0,103202483.0,31390645.0,3775316.0,2672000.0,0.0,0.0,3720000.0,0.0
2024-05-23,167403299.0,103191483.0,31263645.0,3789316.0,2688000.0,0.0,0.0,3740000.0,0.0
2024-05-24,167105299.0,102925483.0,31141545.0,3855416.0,3042000.0,0.0,0.0,0.0,0.0
2024-05-27,166625299.0,102950483.0,30992545.0,3821416.0,3050000.0,0.0,0.0,0.0,0.0
2024-05-29,166023299.0,102661943.0,31576079.0,3974216.0,2990000.0,0.0,0.0,3714000.0,0.0
2024-05-30,166429299.0,102251943.0,31798525.0,3932216.0,2978000.0,0.0,0.0,0.0,0.0
2024-05-31,166627299.0,102309943.0,32090828.0,3853590.0,2970000.0,0.0,0.0,3688000.0,0.0
2024-06-03,166463299.0,102304105.0,31785328.0,3816090.0,2978000.0,93014000.0,0.0,3778000.0,0.0
2024-06-04,166917299.0,101847613.0,33213463.0,4041490.0,0.0,0.0,0.0,3716000.0,0.0
2024-06-05,166643299.0,101667613.0,31594569.0,4231490.0,2928000.0,0.0,0.0,3656000.0,0.0
2024-06-06,166233299.0,101541613.0,31604569.0,4199490.0,2868000.0,0.0,0.0,3734000.0,950000.0
2024-06-07,167671299.0,101451613.0,31492380.0,4154590.0,2902000.0,0.0,0.0,3940000.0,0.0
2024-06-11,166503299.0,99503980.0,27000078.0,7830286.0,2922000.0,0.0,2806000.0,3952000.0,1465463.0
2024-06-12,164599299.0,100041980.0,27136686.0,7970286.0,2946000.0,92986000.0,0.0,3972000.0,1986296.0
2024-06-13,166399299.0,100892448.0,30933257.0,4236638.0,3034000.0,0.0,0.0,3898000.0,0.0
2024-06-14,167139299.0,100928448.0,31627149.0,4287838.0,2948000.0,0.0,0.0,3798000.0,0.0
2024-06-17,167605299.0,100930448.0,32195864.0,4301838.0,2940000.0,0.0,0.0,3788000.0,0.0
2024-06-18,168617299.0,100754448.0,31786001.0,4273538.0,2886000.0,0.0,0.0,3638000.0,2286296.0
2024-06-19,168097299.0,101157448.0,31778001.0,4321538.0,0.0,0.0,0.0,3738000.0,0.0
2024-06-20,168579299.0,100844448.0,31597001.0,4183538.0,2882000.0,0.0,0.0,0.0,0.0
