date,ORIENT SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,I WIN SECURITIES LTD,LIVERMORE HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.9284543568146137,0.0,0.0,0.0,0.0,0.0,0.9284543568146137
2024-03-05,0.0,0.0,0.0,0.0,0.9307915609853239,0.0,0.0,0.5582996462783911,0.0,0.31523041252453377,1.804321619788249
2024-03-07,0.0,0.0,0.0,0.0,0.970231881366058,0.0,0.0,0.5574231947143747,0.0,0.27871159735718737,1.80636667343762
2024-03-11,0.0,0.0,0.0,0.0,0.9751984402288172,0.0,0.0,0.5577153452357135,0.0,0.28601536039065667,1.8189291458551873
2024-03-12,0.0,0.0,0.0,0.0,0.9900981168170944,0.0,0.0,0.5547938400223259,0.0,0.23488901915637178,1.779780975995792
2024-03-14,0.0,0.0,0.0,0.0,0.997109729329225,0.0,0.0,0.5404784644767261,0.0,0.20567396702249469,1.7432621608284455
2024-03-15,0.0,0.0,0.0,0.0,1.0117172553961633,0.0,0.0,0.5396020129127097,0.0,0.1945722472116214,1.7458915155204944
2024-03-18,0.0,0.0,0.0,0.0,1.0117172553961633,0.0,0.0,0.5390177118700322,0.0,0.1945722472116214,1.7453072144778172
2024-03-20,0.0,0.0,0.0,0.0,1.0117172553961633,0.0,0.0,0.5387255613486934,0.0,0.1945722472116214,1.7450150639564783
2024-03-21,0.0,0.0,0.0,1.5340823875498857,1.0114251048748246,0.0,0.0,0.538141260306016,0.0,0.1945722472116214,3.2782209999423473
2024-03-22,0.0,0.0,0.0,1.5340823875498857,1.0184367173869553,0.0,0.0,0.5349276045712894,0.016068278673632398,0.1945722472116214,3.298087235393384
2024-03-25,0.0,0.0,0.0,1.5340823875498857,1.0330442434538936,0.0,0.0,0.535511905613967,0.014023225024261001,0.1945722472116214,3.3112340088536287
2024-03-26,0.0,0.0,0.0,1.5340823875498857,1.0330442434538936,0.0,0.0,0.5337590024859343,0.02337204170710167,0.1945722472116214,3.3188299224084368
2024-03-27,0.0,0.0,0.0,1.5340823875498857,1.0394715549233466,0.0,0.0,0.5337590024859343,0.026293546920489373,0.1945722472116214,3.3281787390912774
2024-03-28,0.0,0.0,0.0,1.5340823875498857,1.0394715549233466,0.0,0.0,0.5331747014432568,0.026293546920489373,0.1945722472116214,3.3275944380486
2024-04-05,0.0,0.0,0.0,1.5340823875498857,1.0371343507526365,0.0,0.0,0.5314217983152242,0.026293546920489373,0.1945722472116214,3.3235043307498575
2024-04-09,0.0,0.0,0.0,1.533790237028547,1.0371343507526365,0.0,0.0,0.5276238415378202,0.026293546920489373,0.18989783887020106,3.3147398151096943
