date,CHINA CONSTRUCTION BANK (ASIA),EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD
2024-03-01,0.0,69.50540849791359,0.0,0.0,30.49459150208641,0.0,0.0,0.0,0.0
2024-03-04,0.0,52.087208138165686,0.0,0.0,22.840863763906942,0.0,17.608242691802506,0.0,7.463685406124869
2024-03-05,0.0,52.12666063556218,0.0,0.0,22.85816415589165,0.0,17.621579731236693,0.0,7.393595477309475
2024-03-06,0.0,32.75587149552097,27.42848829380002,0.0,14.363841431328922,0.0,11.07405924501453,9.731678183162218,4.646061351173341
2024-03-07,0.0,32.76803367685754,27.377364317811022,0.0,14.359760260806928,0.0,11.08195554377873,9.728347596370504,4.68453860437528
2024-03-08,0.0,32.77308418245555,27.375307713797962,0.0,14.358681547011251,0.0,11.081123060637573,9.727616797069489,4.684186699028175
2024-03-11,0.0,32.78598758339613,27.370053351508584,0.0,14.355925570142075,0.0,11.078996171846313,9.72574969758705,4.683287625519848
2024-03-12,0.0,32.803304958362894,27.366399332425235,0.0,14.333148950025187,0.0,11.090033104136813,9.724451268441205,4.682662386608667
2024-03-13,0.0,32.804426320392174,27.36594264863936,0.0,14.332909761937401,0.0,11.089848036373901,9.724288989174328,4.682584243482832
2024-03-14,0.0,32.80801131823022,27.367541108577793,0.0,14.333746955172428,0.0,11.078813689274915,9.724856990305458,4.687029938439196
2024-03-15,0.0,32.81323966479352,27.370510172505004,0.0,14.322784096394683,0.0,11.080015613333442,9.7259120256107,4.687538427362653
2024-03-18,0.0,32.83275620096995,27.343231327236783,0.0,14.318626842350286,0.0,11.085196115086694,9.730459411287669,4.689730103068612
2024-03-19,0.0,29.592890963195167,24.630136120605304,0.0,12.841404223001875,9.921245961964022,9.98355381269828,8.770055743929364,4.26071317460599
2024-03-20,0.0,29.60419806755943,24.630766375957716,0.0,12.785436716933916,9.924532019382564,10.01245433092698,8.717256306583474,4.325356182655923
2024-03-21,0.0,29.60525787380058,24.630395560664574,0.0,12.785244232648537,9.924382605913495,10.012303593790705,8.71712506860641,4.3252910645756995
2024-03-22,27.61117751231548,21.43553984656833,17.828982283722283,0.0,9.237847991579084,7.183873325213421,7.247515897715728,6.30998670039149,3.145076442494187
2024-03-25,27.607416795224317,21.4326202680381,17.826553928091215,0.0,9.236589771685638,7.182894862227449,7.2465287664391695,6.309127263128499,3.1582683451656166
2024-03-26,27.605875974175976,21.43499398165492,17.826262569867374,0.0,9.236438808330574,7.182777464580234,7.24641032875576,6.309024146389235,3.1582167262459317
2024-03-27,27.603319456134734,21.446627721766948,17.82025370808101,0.0,9.235583442521047,7.182112283725564,7.245739255004759,6.3084398818628,3.157924250903134
2024-03-28,27.602868355044315,21.447911462729603,17.819962484560158,0.0,9.235432512058924,7.181994911657765,7.245620843127373,6.308336787591326,3.157872643230538
2024-04-02,27.584686226276446,21.43487239816623,17.800603025844875,0.0,9.256568279703451,7.177264100547329,7.240848121340697,6.304181458865784,3.200976389255191
2024-04-03,27.583484946221393,21.43393893513956,17.79329551050876,0.0,9.256165167238752,7.176951539289858,7.240532791075256,6.303906919311925,3.211724191214496
2024-04-05,27.58048220378413,21.462630777309784,17.77394090486226,0.0,9.260600547400022,7.176714556008607,7.239744585555812,6.2536893046601705,3.252197120419215
2024-04-08,27.55858197386449,21.473869581545507,17.75982754058101,0.0,9.265212293576926,7.173191373628784,7.233995880010649,6.216091460115308,3.3192298966773173
2024-04-09,27.553187261322083,21.47020974008329,17.747650783206936,0.0,9.263398587885694,7.171787190151233,7.232579793785943,6.198018007780594,3.3631686357842305
2024-04-10,27.547195612863618,21.467715456432703,17.716609229514702,0.0,9.260296904245576,7.17022763091568,7.23100701474005,6.196670202000826,3.4102779492868454
2024-04-11,27.547195612863618,21.480762909132032,17.712260078614925,0.0,9.260296904245576,7.17022763091568,7.222308712940498,6.196670202000826,3.4102779492868454
2024-04-12,27.522841417149223,21.48636177473839,17.70253996264206,0.0,9.244891483059483,7.166292760728872,7.2183452617507555,6.193269599664268,3.4654577402669418
2024-04-15,27.521794648077382,21.489347863527943,17.701866686542214,0.0,9.241823250219174,7.157327009263814,7.218070728302141,6.1930340526517975,3.4767357614155365
2024-04-16,27.52044891911919,21.48884040048234,17.70100112109059,0.0,9.241371354209726,7.156977038546324,7.217717787408367,6.192731232818633,3.4809121463248336
2024-04-17,27.51058425987839,21.4811377613047,17.68922519115629,0.0,9.24348983544511,7.15441163200492,7.215130608446343,6.190511458585983,3.5155092531782595
2024-04-18,27.500726670045044,21.43272247155647,17.68288678973388,0.0,9.240177709080735,7.151848063935954,7.264121632971721,6.188293275131902,3.539223387544293
2024-04-19,27.53331348896514,21.337450444544487,17.703840018959973,0.0,9.239712204081522,7.16032260283086,7.286318016195585,6.190190533057949,3.548852691364489
2024-04-22,27.609399747425094,21.223087622535232,17.752763260543528,0.0,9.198748832159792,7.1801096203445365,7.317899353440755,6.159331882438694,3.55865968111237
2024-04-23,27.60699217775183,21.22123694622207,17.75121520028746,0.0,9.197946691261297,7.179483506979856,7.31726122466155,6.158794782002487,3.5670694708334465
2024-04-24,27.65658243112413,21.143607523882878,17.783101588119234,0.0,9.158778350468943,7.192379964656265,7.322215384720885,6.169857783424047,3.573476973603624
2024-04-25,27.774562367807103,21.05779474293328,17.858962342231504,0.0,9.032257590489053,7.223061865970114,7.349612945333208,6.037714710999857,3.6660334342358865
2024-04-26,27.80459634660896,21.06080487418728,17.878274102730437,0.0,9.015677032430423,7.230872512420425,7.295533853777357,6.044243584191106,3.669997693654007
2024-04-29,27.79422194985336,21.05349541076596,17.871603395969043,0.0,9.023287180880295,7.228174543372506,7.292811758415874,6.041988367814352,3.694417392928604
2024-04-30,5.011666819691439,3.7914753857015766,3.242274788430061,0.0,1.6298875584528245,1.3033357289625238,1.314990676042336,1.0894506305148282,0.670109987874106
2024-05-02,27.759797890275305,21.00166286200489,17.953045254114105,0.0,9.025264104683083,7.219222211065074,7.283779370788107,6.034505166164786,3.7227231409046437
2024-05-03,27.75721191786655,21.002994279973915,17.95137283272747,0.0,9.024423353462605,7.218549702226057,7.283100848107257,6.034490992378028,3.72785607325812
2024-05-06,27.76405818948539,21.071755108448528,17.955800509927457,0.0,8.93456714750551,7.2203301458852325,7.290378288526666,6.034335067266031,3.7287755429551845
2024-05-07,27.759341507191227,21.069271373347313,17.969738545225912,0.0,8.931953274471361,7.219103523929442,7.2891397664793285,6.0333099274548925,3.7281420819005247
2024-05-09,27.75308141967659,21.086429780051656,17.98343724944019,0.0,8.888854959218007,7.224606796201193,7.29469642883066,6.037909244685984,3.730984121895721
2024-05-10,27.75643037399399,21.065937340830917,17.99986826166406,0.0,8.888830577418867,7.225478586895559,7.295576677215698,6.036443843577899,3.7314343384030066
2024-05-13,27.745929542180264,21.06180569689656,18.02814915359985,0.0,8.88437116722421,7.222745038871108,7.292816609633544,6.034160131994662,3.730022659599804
2024-05-14,27.7433436005298,21.06093920015143,18.04785026668931,0.0,8.84845579310717,7.222071873562361,7.2921369136013245,6.0335977436995725,3.7516046086590378
2024-05-16,27.74288730792181,21.06497865839179,18.045360512171623,0.0,8.847762032511936,7.221953092709637,7.292016980394353,6.033498509588153,3.7515429063106955
2024-05-17,27.78355621229098,21.09750537382514,18.07181360023096,0.0,8.860732160097704,7.2325399114652384,7.3027065073330055,5.883123171842424,3.7680230629145486
2024-05-20,27.800804077678336,21.111151954107655,18.083032473938147,0.0,8.877220354257917,7.23702982894911,7.307239983819581,5.795579090692902,3.7879422365563498
2024-05-21,27.794696190591893,21.107612304797755,18.057638672036333,0.0,8.866481940282949,7.2354398403677385,7.305634569939823,5.794305791453513,3.8381906905299967
2024-05-22,27.80746708230551,21.11898000642985,18.067363781899054,0.0,8.874554368941425,7.239336554031726,7.309569087630644,5.742471334808484,3.840257783953307
2024-05-23,27.829949200679305,21.13605453562134,18.125970675242346,0.0,8.881179381684026,7.245189500683563,7.315478816733374,5.600815501264765,3.865362388091283
2024-05-24,27.834774275736883,21.148056392441372,18.134847596764075,0.0,8.880026165713511,7.248737723273126,7.313558822459472,5.561738352428476,3.8782606711830834
2024-05-27,27.82145531933753,21.138487035309293,18.126170061172893,0.0,8.979177199065454,7.245269197869246,7.310059280120256,5.491976972064766,3.887404935060565
2024-05-28,27.822526487967163,21.13930089942712,18.148868821438594,0.0,8.979522911136414,7.245548151827225,7.304840509854657,5.460837174764022,3.898555043584806
2024-05-29,27.888639136306747,21.043430538803047,18.155055626848196,0.0,9.155232377364575,7.240712067454467,7.319441827393591,5.289669529131144,3.9078188966982355
2024-05-30,27.964014339614685,20.88360003078759,18.206391335452064,0.0,9.151229828929129,7.268573974192079,7.336460139905316,5.248131315814718,3.9415990353044164
2024-05-31,5.0047411295761,3.7286494825124348,3.277408022877731,0.0,1.6302833121737013,1.305116620706468,1.3134076611588301,0.919177592107721,0.709388544671097
2024-06-03,27.942542777690065,20.83442134328934,18.311176763562013,0.0,9.191156785442692,7.286745919474487,7.336350942790698,5.131413180329788,3.966192287420918
2024-06-04,27.933562197837965,20.835202931330162,18.27020346104998,0.0,9.249879142225247,7.282964234463106,7.329782974765919,5.128750072747102,3.9696549855805183
2024-06-05,27.926007296460366,20.851094229780408,18.253119022065604,0.0,9.261176384768435,7.280994486525542,7.3278005642483715,5.1119081158277995,3.987899900323477
2024-06-06,27.919226784909696,20.85375706887806,18.249790763344993,0.0,9.300314579114142,7.268190152060358,7.326021354072014,5.079212936985571,4.003486360635166
2024-06-07,27.92508248732264,20.86089057988398,18.25361842464206,0.0,9.300609381151805,7.269714562422401,7.33583699656494,5.049921527076311,4.004326040935869
2024-06-11,27.945596803482925,20.886709968761373,18.28801702735823,0.0,9.312965248681781,7.270636272860365,7.35448234267775,4.9343246383835835,4.007267697793997
2024-06-12,27.913373537784903,20.88083249188093,18.305549252742765,0.0,9.371742039103319,7.262252710825115,7.346002100145589,4.9286350102471355,3.9916128572702463
2024-06-13,27.91013990138013,20.882275057036907,18.30342863875131,0.0,9.373966234801019,7.261411412129544,7.345151099467065,4.926960760779583,3.9966668956544416
2024-06-14,27.926315579785253,20.89437764652171,18.283678574192532,0.0,9.340761517790593,7.265619855949063,7.349408075692974,4.92981624387865,4.0100225061892205
2024-06-17,27.944825043353934,20.90822636640506,18.29579693192947,0.0,9.30828941381523,7.270435483189375,7.354279237470108,4.905467188859708,4.012680334977118
2024-06-18,27.948066722380066,20.914518541294356,18.297919296306013,0.0,9.313235963091719,7.2712788743424825,7.3551323547367025,4.878416513527728,4.021431734320931
2024-06-19,27.947757958641724,20.920916142955083,18.297717145151086,0.0,9.307609188965007,7.27119854294532,7.3550510969457985,4.878362617917171,4.021387306478815
2024-06-20,27.95161799579158,20.926015518301377,18.300244355671598,0.0,9.314419366851965,7.272202813003094,7.334520826655301,4.879036398653482,4.021942725071603
2024-06-21,27.952081271903893,20.928572245838055,18.29502292967992,0.0,9.31070642931957,7.2723233440524115,7.334642390576746,4.879117264849313,4.02753412378009
2024-06-24,27.939285682352356,20.92216387744625,18.288455399388432,0.0,9.332216477655074,7.269712732191734,7.339188988854986,4.877365763877939,4.03161107823323
2024-06-25,27.92478883649637,20.91406794739764,18.278966075936022,0.0,9.351109798309702,7.265940699288172,7.349732619045672,4.874835047077728,4.040558976448691
2024-06-26,27.924634695603768,20.91616044823197,18.278865178623487,0.0,9.35105818150359,7.265900592321149,7.333684458914154,4.875360124560693,4.05433632024119
2024-06-27,27.928488728490812,20.919047202924265,18.286908566315624,0.0,9.34958846229587,7.266903399345916,7.334696621164294,4.8484298965612895,4.0659371229019285
2024-06-28,27.972345345529277,20.954661410538527,18.17462794362732,0.0,9.362058576267703,7.278314750763419,7.3539554352401755,4.772551198776846,4.131485339256736
2024-07-02,27.94777486143576,20.929073390782538,18.062538492522457,0.0,9.2637868287497,7.300648640799176,7.334237193175272,5.034084287367457,4.127856305167644
2024-07-03,27.933423443205164,20.91887829459629,17.98976487127754,0.0,9.20878327140578,7.313464484456053,7.333231798542932,5.1767172203945035,4.125736616121737
2024-07-04,27.946230990640785,20.928469654803276,17.992489097567603,0.0,9.213557935309293,7.317922552535048,7.3338320405410435,5.134345323712314,4.133152404890636
2024-07-05,27.885491103288867,20.903642660282497,17.943557120660966,0.0,9.264976682481342,7.329656484135348,7.338926009506351,5.2055006047730785,4.128249334871552
2024-07-08,27.85736307371629,20.884210807602315,17.956875948261924,0.0,9.2539775194805,7.334940697644956,7.321601635717351,5.255921120019516,4.135109197557146
2024-07-09,27.841556393871432,20.8988034285273,17.942830734223776,0.0,9.26745687274362,7.33132963194893,7.3174472506558095,5.262303931127347,4.138271756901787
2024-07-10,27.831743800106718,20.891437767451766,17.973954079709863,0.0,9.265291999733046,7.31497839795442,7.311013401231846,5.274767306595293,4.136813247217056
2024-07-11,27.84063616928394,20.89811267717375,17.980798579954254,0.0,9.264947083185818,7.284263370631139,7.313349303383372,5.279757838456432,4.138134977931297
2024-07-12,27.829138492426793,20.8894821363691,17.973372836862435,0.0,9.314533144993796,7.266387756359641,7.310329023008941,5.2748241822093895,4.141932427769905
2024-07-15,27.848153117377393,20.903755149827404,18.03855117288099,0.0,9.279020003151496,7.282372984837239,7.296038247925265,5.193571399591782,4.158537924408426
2024-07-16,27.82775940934808,20.88844695048488,18.050669511408838,0.0,9.292597568991157,7.289704119404685,7.315472908514913,5.193622359045316,4.141727172802136
2024-07-17,27.789506101537825,20.859732738207818,18.102286534400864,0.0,9.329860641230505,7.279683359507228,7.310365449925116,5.1925314095391375,4.136033765651502
2024-07-18,27.78751980592183,20.858241758284052,18.10154246592908,0.0,9.38307603281854,7.281912128232426,7.299396370819958,5.15257330140872,4.135738136585396
2024-07-19,27.74907225223286,20.829381738553604,18.076496688879786,0.0,9.466727602610426,7.271836680352803,7.316749641532251,5.144345947123839,4.14538944871443
2024-07-22,27.730953422292952,20.81578113879143,18.097066874745295,0.0,9.50005265596634,7.267088515406442,7.2955111596656685,5.143730431345507,4.14981580178636
2024-07-23,27.71559380901304,20.80425169934006,18.087043276044454,0.0,9.522210558392324,7.261966630741807,7.3040834268361845,5.151849338919578,4.153001260712548
2024-07-24,27.69903667098393,20.79182335775907,18.089391815488597,0.0,9.527483407468962,7.238994055285379,7.303556486177751,5.199193925444741,4.150520281391573
2024-07-25,27.687503944790265,20.78316650775016,18.081860145514078,0.0,9.59144871752386,7.237623559349996,7.296132869339895,5.170732878358438,4.151531377373309
2024-07-26,27.624849197770924,20.736135759062936,18.062806261150747,0.0,9.70475425199386,7.221245359493607,7.293833874067662,5.173790104286574,4.182585192173692
2024-07-29,27.59377869853255,20.71281320313887,18.094359100210028,0.0,9.719500340512036,7.2131234075207304,7.285630279607956,5.188718435193813,4.192076535284015
2024-07-30,27.589109090089952,20.70930803886036,18.078195614597362,0.0,9.74787965981231,7.211902753317142,7.284397355294292,5.187840364681038,4.19136712334754
2024-07-31,5.00028890021624,3.7533840900672146,3.259203351717413,0.0,1.7675109148876218,1.3070953893108503,1.31795882894891,0.9410429851861466,0.7596492672224104
2024-08-01,27.609908530411957,20.726013403704435,17.941590998512286,0.0,9.81422949087582,7.2173398096728185,7.293713197812599,5.202677572320313,4.1945269966897705
2024-08-02,27.614434298456885,20.730503564039118,17.8800574389238,0.0,9.83386923037587,7.267698340119486,7.289991222887722,5.180035436176342,4.20341046902078
2024-08-05,27.623339305325327,20.737188664832015,17.878171352362653,0.0,9.83704042237254,7.290265106477131,7.275398392010697,5.15000479369556,4.208591962924076
2024-08-06,27.584139952955656,20.708852806918504,17.890460879087723,0.0,9.86346982155835,7.279919736295111,7.291272267409875,5.143788184518124,4.238096351256656
2024-08-07,27.588958483872766,20.713016219546912,17.84554774184833,0.0,9.873927061865011,7.2713654059383765,7.293637722312177,5.147962066948039,4.265585297668389
2024-08-08,27.565183337670966,20.69571192629888,17.860167189785045,0.0,9.91450584707077,7.265099211594217,7.29389737065881,5.143525743233443,4.261909373687874
2024-08-09,27.53979827365047,20.677742864738537,17.85189333701872,0.0,9.998011432944594,7.263857880137387,7.299713444833568,5.110998229656015,4.257984537020715
2024-08-12,27.534096826473526,20.68054449927618,17.8481975355514,0.0,9.998665610130768,7.2623540745687,7.293843779562629,5.108850512284927,4.273447162151872
2024-08-13,27.539348073554777,20.68557846774054,17.85160150757216,0.0,10.014195247566448,7.2637391360028,7.294145029671983,5.074405810123815,4.276986727767474
2024-08-14,27.546252759556573,20.691309816595428,17.856077274489728,0.0,10.016706014108939,7.2960828322056885,7.293248597641176,5.022263648315137,4.278059057087333
2024-08-15,27.53799756157781,20.68510894199855,17.850726076477,0.0,10.013704157850547,7.3020695323295595,7.291607802408305,5.033290832010646,4.28549509534758
2024-08-16,27.533046817364,20.681390200896274,17.84751689691927,0.0,10.02497871897389,7.3007567760768515,7.282125169822051,5.040012927066038,4.290172492881624
2024-08-19,27.531696923320315,20.68037623082487,17.846641866381837,0.0,10.02448721292479,7.300398833559562,7.271962512997836,5.041944853007728,4.302491566983063
2024-08-20,27.52659851793705,20.677091230564834,17.84333696965796,0.0,10.025898784476011,7.325735077700902,7.2771517429600845,5.0214035460703705,4.302784130632788
2024-08-21,27.50697230290948,20.66343718786407,17.830614832269728,0.0,10.06991159070328,7.320511895048083,7.282848557466686,5.017823330895176,4.307880302843495
2024-08-22,27.492906607168422,20.652870935160998,17.821497143839867,0.0,10.06857026642319,7.3575677677866045,7.278580481840178,4.9837060707272505,4.344300727053488
2024-08-23,27.486327605901078,20.64792874167094,17.817232492816583,0.0,10.096073143171699,7.3721228974524875,7.27738259050488,4.929759117657307,4.37317341082503
2024-08-26,27.495449337583295,20.656957212236918,17.823145396731917,0.0,10.110304467405818,7.380009840919854,7.281973853736934,4.8775351802983264,4.374624711086939
2024-08-27,27.51460971529973,20.671896562480168,17.835565568292076,0.0,10.117349896998375,7.385152647439106,7.276704382218551,4.821048031295687,4.37767319597631
2024-08-28,27.529897270483954,20.68338219730223,17.845475292460016,0.0,10.119158207237254,7.389255955819992,7.29109714332635,4.756181217574874,4.385552715795327
2024-08-29,27.53319681376224,20.685861164587532,17.847614127831264,0.0,10.117647085742405,7.390141580985281,7.282709628653556,4.75675126059438,4.386078337843342
2024-08-30,27.57826964362652,20.71972466061287,17.876831311745956,0.0,10.082370568457364,7.3553111469540715,7.288083541954907,4.706150621386335,4.393258505261976
2024-09-02,27.557067047668998,20.703795019050617,17.91761323871176,0.0,10.091522119255437,7.3502015302118275,7.287387683512193,4.702532460731954,4.389880900857214
2024-09-03,27.549856579053355,20.725633570139717,17.9129249898607,0.0,10.072528120688862,7.3700829633932585,7.29093205983527,4.702937364711985,4.375104352316851
2024-09-04,27.548054551442604,20.72427791284849,17.91175331096907,0.0,10.056607018460953,7.385408230576662,7.296451050578573,4.702629747031344,4.374818178092307
2024-09-05,27.549105705565474,20.725068691381722,17.90807595922625,0.0,10.052629937044095,7.405858794068661,7.281466618419365,4.702809185787634,4.374985108506799
2024-09-09,27.548505036244293,20.725161900218144,17.90768549893527,0.0,10.049685305286712,7.40569731978263,7.285668573715581,4.702706647678722,4.374889718138654
2024-09-10,27.54595248382333,20.72433165430566,17.906026232637007,0.0,10.048209095861068,7.406101210950035,7.292624056351207,4.702270910595248,4.374484355476441
2024-09-11,27.544301084301857,20.724724235299075,17.918577915869342,0.0,10.039431601175716,7.405657209893876,7.29109684534819,4.70198900609635,4.37422210201559
2024-09-12,27.530497128620585,20.714337942541995,17.9095979365021,0.0,10.075255294872257,7.442800831979975,7.2809060776570895,4.674574847733544,4.3720299400924585
2024-09-13,27.54370062447608,20.724817435389102,17.91818729473357,0.0,10.075727382643272,7.446370363960426,7.284397965681178,4.632672188199631,4.3741267449167385
2024-09-16,27.539047948334826,20.721316603568134,17.889550138426227,0.0,10.097456202544812,7.445112524637973,7.294065537707412,4.640063176437598,4.373387868343022
2024-09-17,27.543550513610203,20.72470448686658,17.89247503500931,0.0,10.093657194906335,7.446329781864426,7.284358266321207,4.640821815130301,4.374102906291636
2024-09-19,27.544451203349006,20.72538219646912,17.89306012910086,0.0,10.093987263226975,7.446573281075719,7.281871421662032,4.64042856317635,4.374245941939934
2024-09-20,27.55841943074197,20.736437651828368,17.90213398324281,0.0,10.096379654789674,7.433445695116299,7.27847545799008,4.618243934964128,4.3764641913266695
2024-09-23,27.574507938821817,20.74854351100317,17.912585185930965,0.0,10.091361802010141,7.382133688050254,7.2909086690082585,4.620940049487281,4.379019155688115
2024-09-24,27.60176588517006,20.769053856539774,17.93029213058578,0.0,10.053276682812507,7.340278156247653,7.288285293010888,4.6337000929203125,4.38334790271303
2024-09-25,27.59242284292541,20.76202364882153,17.924222827718275,0.0,10.06243075435768,7.407676221272522,7.267255655234928,4.602103885526054,4.381864164143605
2024-09-26,27.577818184860043,20.751034318241093,17.91473554394561,0.0,10.041825962879303,7.473055390552623,7.263409099804746,4.598576654473332,4.37954484524325
2024-09-27,27.581129225766084,20.75352572358033,17.92234377024422,0.0,10.03211689813743,7.465766590705967,7.277924537189133,4.587122593348045,4.3800706610287925
2024-09-30,5.00028890021624,3.757539504136418,3.238920973522493,0.0,1.8130225927884176,1.3407344555853513,1.3144959838912407,0.8314192045033607,0.7940798409386645
2024-10-02,27.645248913112823,20.778798662704556,17.92243673958697,0.0,9.95533751445246,7.426234349719274,7.278433895888736,4.603256621634006,4.390253302901172
2024-10-03,27.637538813936196,20.773003576577313,17.90923550603187,0.0,9.94435825854599,7.471192431721768,7.276403982996138,4.599238543408291,4.389028886782429
