date,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,SOUTH CHINA SECURITIES LTD
2024-03-01,98862000.0,79296700.0,53145726.0,0.0,11025161.0,9850613.0,0.0,0.0,0.0
2024-03-07,99922000.0,79164700.0,52735726.0,0.0,10926911.0,9710613.0,0.0,0.0,0.0
2024-03-08,100578000.0,79152700.0,0.0,0.0,11032911.0,10340613.0,0.0,0.0,18910000.0
2024-03-11,100762000.0,79316700.0,52795726.0,0.0,10968911.0,10216613.0,0.0,0.0,0.0
2024-03-12,100336000.0,79276700.0,52889726.0,0.0,10898911.0,10018613.0,0.0,0.0,0.0
2024-03-15,100650000.0,79260700.0,52889726.0,0.0,10910911.0,10042613.0,0.0,17046200.0,0.0
2024-03-18,101230000.0,79240700.0,0.0,0.0,10820911.0,9788613.0,14222600.0,0.0,0.0
2024-03-19,101626000.0,79234700.0,0.0,0.0,10800911.0,9776613.0,0.0,16996200.0,0.0
2024-03-21,103508000.0,79360700.0,52795726.0,0.0,10344911.0,9808613.0,0.0,0.0,0.0
2024-03-22,103702000.0,79180700.0,52745726.0,0.0,10372911.0,9700613.0,14220600.0,16914200.0,0.0
2024-03-25,103282000.0,79214700.0,52703726.0,0.0,10828911.0,9598613.0,0.0,0.0,17500000.0
2024-03-26,105336000.0,79014700.0,52203726.0,19912600.0,10978911.0,9584613.0,14290600.0,0.0,17516000.0
2024-03-27,106080000.0,79204700.0,52201726.0,0.0,11008911.0,9574613.0,14280600.0,0.0,17020000.0
2024-03-28,109228000.0,79234700.0,52295726.0,19932600.0,11046911.0,0.0,0.0,16918200.0,13884000.0
2024-04-02,108984000.0,79384700.0,52587726.0,19962600.0,11132911.0,0.0,0.0,17036200.0,13886000.0
2024-04-03,108180000.0,79404700.0,52191726.0,20258600.0,11188911.0,9626613.0,0.0,17048200.0,0.0
2024-04-05,108646000.0,79414700.0,52189726.0,0.0,11172911.0,0.0,0.0,17036200.0,0.0
2024-04-08,108750000.0,79434700.0,52155726.0,0.0,11252911.0,0.0,14310600.0,0.0,0.0
2024-04-11,105500000.0,79482700.0,51927726.0,0.0,11453161.0,9506613.0,0.0,0.0,0.0
2024-04-12,104818000.0,79682700.0,52227726.0,0.0,11183161.0,0.0,14350600.0,0.0,0.0
2024-04-17,105500000.0,79642700.0,52243726.0,20558600.0,11173161.0,11996113.0,0.0,17136200.0,0.0
2024-04-18,105728000.0,79730700.0,52247726.0,0.0,11177161.0,11884113.0,0.0,17036200.0,0.0
2024-04-19,106456000.0,79678700.0,52263726.0,0.0,11183161.0,11722613.0,0.0,0.0,0.0
2024-04-23,107544000.0,79778700.0,52201726.0,20548600.0,10675161.0,11356613.0,14106600.0,0.0,0.0
2024-04-24,107930000.0,79760700.0,50351726.0,20538600.0,10645161.0,11286613.0,0.0,0.0,0.0
2024-04-26,108442000.0,79760700.0,50143726.0,0.0,10727161.0,11194613.0,0.0,0.0,0.0
2024-04-29,108578000.0,79784700.0,50147726.0,0.0,10733161.0,11196613.0,0.0,16882200.0,0.0
2024-04-30,108202000.0,79754700.0,49255726.0,20548600.0,10815161.0,0.0,0.0,16888200.0,0.0
2024-05-02,109102000.0,79844700.0,48743726.0,20518600.0,10939161.0,11236613.0,0.0,16908200.0,0.0
2024-05-03,108996000.0,79644700.0,48799726.0,0.0,10803161.0,11298613.0,14126600.0,0.0,0.0
2024-05-06,0.0,79784700.0,48409726.0,0.0,10775161.0,11318613.0,0.0,16898200.0,0.0
2024-05-07,0.0,79488700.0,48059726.0,0.0,10783161.0,0.0,14146600.0,16878200.0,0.0
2024-05-08,108964000.0,0.0,47859726.0,20538600.0,10747161.0,11350613.0,13936600.0,0.0,0.0
2024-05-10,109860000.0,79470700.0,0.0,20528600.0,10599161.0,11420613.0,0.0,0.0,0.0
2024-05-14,108418000.0,79218700.0,47663726.0,0.0,10395161.0,13946456.0,14136600.0,16890200.0,0.0
2024-05-16,109060000.0,78638700.0,47373726.0,0.0,10725161.0,13998456.0,14836600.0,16990200.0,0.0
2024-05-17,109188000.0,78614700.0,0.0,20498600.0,10713161.0,14062456.0,0.0,0.0,0.0
2024-05-20,107710000.0,77864700.0,47397726.0,20500600.0,10473161.0,14122456.0,14866600.0,17060200.0,0.0
2024-05-21,107820000.0,78104700.0,47147726.0,20476600.0,10569161.0,14220456.0,14736600.0,17054200.0,0.0
2024-05-22,109302000.0,77950700.0,47463726.0,20462600.0,10441161.0,14238456.0,14738600.0,17092200.0,0.0
