date,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,494509134.0,253998900.0,224768691.0,0.0,43723318.0,3424889.0,10772200.0,27963820.0,0.0
2024-03-04,494061934.0,256163700.0,223805891.0,0.0,43860918.0,3425689.0,10751000.0,27916220.0,0.0
2024-03-05,494218334.0,256864500.0,223510691.0,0.0,43027318.0,3462489.0,10722600.0,27920220.0,0.0
2024-03-06,494267134.0,257168100.0,223593370.0,0.0,42974303.0,3437010.0,10721000.0,27920620.0,0.0
2024-03-07,492352734.0,259527300.0,223753370.0,0.0,42203503.0,3443410.0,10543000.0,2864000.0,0.0
2024-03-08,492800334.0,258833700.0,222074970.0,0.0,42296303.0,3449410.0,10343000.0,0.0,0.0
2024-03-11,488999934.0,264492100.0,222707170.0,0.0,42086103.0,3471610.0,10363000.0,2765200.0,0.0
2024-03-12,488876334.0,191320100.0,222663770.0,0.0,41748603.0,0.0,10386600.0,2747600.0,0.0
2024-03-13,489087134.0,265513700.0,222874970.0,0.0,41501803.0,3491210.0,10446600.0,2787600.0,0.0
2024-03-14,488955934.0,266126100.0,222797570.0,0.0,41101730.0,3491311.0,10460200.0,2749600.0,0.0
2024-03-15,489015934.0,267888100.0,223532855.0,0.0,40448130.0,3530911.0,10265800.0,2711600.0,0.0
2024-03-18,488873534.0,269777700.0,224339255.0,80891116.0,38884694.0,3535847.0,10344600.0,2803200.0,0.0
2024-03-19,488670334.0,269901700.0,224656055.0,84391116.0,38291809.0,3553047.0,10467400.0,2773200.0,0.0
2024-03-20,488635534.0,270258900.0,223980299.0,0.0,38521809.0,3589847.0,10422600.0,2741600.0,0.0
2024-03-21,488722734.0,270545300.0,224005299.0,0.0,39214953.0,3614647.0,10621800.0,0.0,0.0
2024-03-22,488707534.0,269536900.0,224078299.0,0.0,38885164.0,3522187.0,11085000.0,2748000.0,0.0
2024-03-25,488911934.0,270073300.0,225289955.0,0.0,38536163.0,0.0,11009400.0,2707600.0,0.0
2024-03-26,488851134.0,270156100.0,226025555.0,84521116.0,38549907.0,0.0,10970600.0,2731600.0,0.0
2024-03-27,488410334.0,272067300.0,226044755.0,85421116.0,37513807.0,0.0,11051800.0,2736800.0,5780400.0
2024-03-28,489098334.0,272977700.0,225937755.0,0.0,36696463.0,3030987.0,11038600.0,2857600.0,5056400.0
2024-04-02,487509534.0,269830100.0,227536355.0,0.0,37168511.0,3032787.0,11218600.0,27908620.0,4873600.0
2024-04-03,486799534.0,280417300.0,227286155.0,0.0,33714711.0,3092787.0,10626600.0,27462620.0,4836000.0
2024-04-05,486989534.0,288404500.0,227336155.0,0.0,33115811.0,3229587.0,10505400.0,27595820.0,4236000.0
2024-04-08,486991134.0,292363300.0,226370155.0,0.0,32148055.0,3030443.0,10165400.0,27733420.0,0.0
2024-04-09,487181534.0,0.0,223678155.0,0.0,33894455.0,0.0,10039400.0,27614620.0,4234800.0
2024-04-10,487301934.0,294746500.0,221998607.0,0.0,33733205.0,3111754.0,9739400.0,27351020.0,0.0
2024-04-11,487347534.0,293402500.0,223631471.0,0.0,34286899.0,3188954.0,9878600.0,27369020.0,0.0
2024-04-12,487604734.0,295290100.0,224836371.0,0.0,34633399.0,3351254.0,9858600.0,28426780.0,0.0
2024-04-15,486241934.0,296988100.0,224799171.0,0.0,34544924.0,3029729.0,9442600.0,28418780.0,0.0
2024-04-16,487765134.0,298120500.0,224488371.0,0.0,33155324.0,3022129.0,9269800.0,0.0,0.0
2024-04-17,487326734.0,297109700.0,224501171.0,0.0,33012524.0,0.0,9271800.0,28599180.0,0.0
2024-04-18,488015134.0,296965300.0,224366571.0,0.0,33131930.0,0.0,9241800.0,28686380.0,0.0
2024-04-19,487275134.0,296974900.0,224382971.0,0.0,33949334.0,0.0,9197400.0,28677180.0,0.0
2024-04-22,487511534.0,297945300.0,224342971.0,0.0,33911930.0,3027329.0,9239400.0,28697580.0,0.0
2024-04-23,487981534.0,298831700.0,224461349.0,0.0,33558930.0,3036651.0,9089400.0,28821580.0,0.0
2024-04-24,487962334.0,298868100.0,196945020.0,0.0,33447730.0,30437780.0,9039400.0,28736780.0,0.0
2024-04-25,488079134.0,298492900.0,196861020.0,0.0,33480930.0,30432580.0,9046200.0,28415580.0,0.0
2024-04-26,486464334.0,300498500.0,196864698.0,0.0,34607867.0,30436602.0,9028600.0,28473180.0,3982800.0
2024-04-29,487004334.0,302199300.0,196973787.0,0.0,34699565.0,30436713.0,9022200.0,28546380.0,0.0
2024-04-30,484629663.0,301340500.0,195520429.0,0.0,35165775.0,30431635.0,8616200.0,27355580.0,3880800.0
2024-05-02,483862463.0,306017700.0,195122829.0,0.0,33059775.0,30424435.0,8693800.0,26774780.0,0.0
2024-05-03,483765663.0,306766900.0,195066829.0,0.0,30870023.0,30224687.0,8561400.0,26747180.0,0.0
2024-05-06,484072697.0,0.0,194373629.0,0.0,31754665.0,29724687.0,0.0,26519180.0,0.0
2024-05-07,484213897.0,0.0,191105348.0,0.0,29761018.0,29637510.0,8546600.0,26672380.0,5697600.0
2024-05-08,483630697.0,306340900.0,190546448.0,0.0,28748914.0,29036269.0,8519400.0,26669980.0,5862800.0
2024-05-09,481762297.0,308975300.0,190500848.0,0.0,22787074.0,29143869.0,8544600.0,26667180.0,0.0
2024-05-10,483433897.0,308935700.0,190393248.0,0.0,30620744.0,29098941.0,8474600.0,26663180.0,0.0
2024-05-13,483523097.0,308140500.0,190365248.0,79591116.0,29493544.0,29117341.0,8456600.0,26660380.0,5838800.0
2024-05-14,483383291.0,308906100.0,190640448.0,0.0,28104805.0,29206141.0,8454600.0,26637180.0,0.0
2024-05-16,483992891.0,308623300.0,190651248.0,0.0,28916703.0,29194541.0,8349400.0,26660780.0,0.0
2024-05-17,484621691.0,306535300.0,190589146.0,0.0,28239132.0,28689674.0,8366600.0,26670780.0,0.0
2024-05-20,484233691.0,311900100.0,190599846.0,80591116.0,26490926.0,27943274.0,8386600.0,26637580.0,0.0
2024-05-21,484628891.0,314130100.0,0.0,0.0,24116926.0,27963674.0,8411400.0,26635980.0,0.0
2024-05-22,484488091.0,313748900.0,190584646.0,0.0,26670281.0,28610874.0,8389400.0,26631980.0,0.0
2024-05-23,484437691.0,313601700.0,190593446.0,0.0,27979101.0,28635674.0,0.0,0.0,5938800.0
2024-05-24,483672891.0,314972500.0,190554646.0,0.0,28513541.0,28610874.0,8355800.0,0.0,5939200.0
2024-05-27,484142491.0,313991700.0,0.0,0.0,28033541.0,28604874.0,8371000.0,26603180.0,0.0
2024-05-28,480142491.0,315067300.0,190517546.0,0.0,26693995.0,0.0,8403000.0,26597980.0,6005200.0
2024-05-29,479422891.0,320669700.0,190556546.0,0.0,21946983.0,27604274.0,8462200.0,26599580.0,6369200.0
2024-05-30,479876891.0,322188100.0,190580246.0,0.0,19353521.0,27618074.0,8562200.0,26597180.0,0.0
2024-05-31,479890091.0,323104900.0,190480646.0,0.0,18873321.0,27643274.0,8537000.0,0.0,0.0
2024-06-03,479109291.0,325391300.0,190420848.0,0.0,17884063.0,27608430.0,8547000.0,26617180.0,0.0
2024-06-04,479712491.0,325845700.0,190378848.0,0.0,16810147.0,27617230.0,8531000.0,26597180.0,0.0
2024-06-05,480106891.0,326917300.0,190348048.0,0.0,17933998.0,27610330.0,8588200.0,26599580.0,6399200.0
2024-06-06,479738891.0,327208900.0,190253177.0,0.0,17435105.0,27724894.0,0.0,0.0,0.0
2024-06-07,479665691.0,328230900.0,190194492.0,0.0,17301025.0,27725579.0,0.0,0.0,0.0
2024-06-11,478938091.0,329091700.0,190210174.0,0.0,18346625.0,27726297.0,8578200.0,26596380.0,0.0
2024-06-12,477597691.0,329524100.0,0.0,0.0,18549825.0,0.0,8542200.0,26597580.0,0.0
2024-06-13,478223691.0,328888100.0,190318135.0,0.0,18961105.0,27725936.0,8538200.0,0.0,0.0
2024-06-14,478529291.0,330331700.0,190431516.0,79591116.0,18683605.0,27725755.0,8589400.0,0.0,0.0
2024-06-17,478632091.0,330756500.0,190494477.0,0.0,18620805.0,27783194.0,8607800.0,26595180.0,6389200.0
2024-06-18,478567291.0,330213300.0,190588877.0,0.0,19281259.0,27832034.0,8726600.0,0.0,6579200.0
2024-06-19,478246091.0,330141700.0,190638877.0,0.0,17883380.0,27744878.0,8877400.0,0.0,6810400.0
2024-06-20,478877691.0,329941700.0,0.0,0.0,17913580.0,27720878.0,8977400.0,0.0,0.0
2024-06-21,478555691.0,331556500.0,190773277.0,0.0,18813565.0,27722785.0,8966600.0,0.0,6670000.0
2024-06-24,478664091.0,332426900.0,190897475.0,0.0,18657767.0,27713615.0,8960600.0,26597180.0,6805600.0
2024-06-25,478595291.0,332617700.0,190893939.0,0.0,18221247.0,27761345.0,8963000.0,26595180.0,0.0
2024-06-26,478204891.0,333027300.0,0.0,0.0,19073171.0,27911745.0,8995000.0,26586780.0,0.0
2024-06-27,478013691.0,333969300.0,191924139.0,0.0,17263747.0,27731945.0,0.0,26582780.0,0.0
2024-06-28,478128891.0,334030900.0,191882539.0,0.0,17229747.0,27729145.0,0.0,0.0,0.0
2024-07-02,478026891.0,334354900.0,192116539.0,0.0,16839147.0,27671545.0,0.0,0.0,0.0
2024-07-03,477806891.0,335538900.0,192516929.0,0.0,16844347.0,27656345.0,0.0,26585580.0,0.0
2024-07-04,477609291.0,337537700.0,192430914.0,0.0,15737747.0,28604745.0,9005000.0,0.0,0.0
2024-07-05,477580491.0,338316900.0,192409314.0,0.0,13924520.0,28590745.0,9047000.0,26630380.0,0.0
2024-07-08,477556491.0,346563300.0,191346126.0,0.0,13185220.0,28568345.0,8855000.0,26525980.0,0.0
2024-07-09,476769291.0,348176100.0,0.0,0.0,12583593.0,28918345.0,8863000.0,26538780.0,0.0
2024-07-10,476599291.0,348058100.0,191336926.0,0.0,13175136.0,28517944.0,8893000.0,26534780.0,0.0
2024-07-11,475599291.0,348338100.0,192083930.0,0.0,12988215.0,28490744.0,8903000.0,0.0,0.0
2024-07-12,475705691.0,348941300.0,192032330.0,0.0,13441699.0,28528744.0,8829400.0,0.0,0.0
2024-07-15,472617291.0,351913700.0,192007130.0,0.0,13552099.0,28529944.0,0.0,0.0,0.0
2024-07-16,470000491.0,355613700.0,191679130.0,0.0,13676715.0,0.0,8827400.0,0.0,0.0
2024-07-17,465240891.0,360270500.0,191689530.0,0.0,12453760.0,28523944.0,8877400.0,0.0,0.0
2024-07-18,465363291.0,360661700.0,191693530.0,0.0,12730560.0,28524344.0,0.0,26556780.0,0.0
2024-07-19,465644491.0,360824100.0,191788247.0,0.0,12186872.0,28613144.0,9021400.0,26526780.0,0.0
2024-07-22,465437691.0,360847300.0,279860339.0,0.0,11746072.0,28944744.0,9029400.0,26536780.0,0.0
2024-07-23,465836891.0,363626900.0,278962955.0,0.0,10972072.0,28723928.0,9065400.0,26406780.0,0.0
2024-07-24,464993691.0,364260900.0,279241155.0,0.0,10692612.0,28560728.0,9009400.0,0.0,0.0
2024-07-25,467946091.0,360996100.0,278724955.0,0.0,12250312.0,28410728.0,8949400.0,0.0,0.0
2024-07-26,468652091.0,362147300.0,278710555.0,0.0,12335094.0,28444728.0,8979400.0,26771580.0,6807200.0
2024-07-29,469446891.0,362280900.0,0.0,0.0,11879316.0,27769128.0,9009400.0,26819580.0,0.0
2024-07-30,470441691.0,364560500.0,278678451.0,0.0,8645367.0,28769432.0,0.0,26936380.0,0.0
2024-07-31,470750091.0,367397300.0,278778451.0,0.0,29145125.0,37106632.0,9029400.0,49724380.0,0.0
2024-08-01,470664891.0,369364100.0,278776851.0,0.0,30776725.0,36495432.0,9030600.0,49713980.0,0.0
2024-08-02,470442091.0,373197300.0,279132751.0,0.0,38862607.0,32358632.0,9072600.0,49693980.0,0.0
2024-08-05,471427291.0,376808100.0,279145551.0,0.0,38669800.0,31506232.0,9132600.0,49663580.0,0.0
2024-08-07,472541291.0,381806100.0,282928951.0,0.0,34830936.0,31811032.0,0.0,49975980.0,0.0
