date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA CONSTRUCTION BANK (ASIA),DBS BANK (HONG KONG) LTD,DBS BANK LTD,HGNH INTERNATIONAL SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-09-03,123000.0,0.0,55396.0,52500.0,10500.0,31500.0,0.0,0.0,0.0,0.0
2024-10-03,143906.0,29081.0,38396.0,0.0,0.0,31500.0,0.0,0.0,8000.0,0.0
2024-10-04,139706.0,28581.0,41396.0,83000.0,0.0,32000.0,0.0,0.0,0.0,0.0
2024-10-09,0.0,26081.0,35396.0,82500.0,0.0,34500.0,0.0,0.0,8500.0,0.0
2024-10-15,143706.0,42081.0,25396.0,69000.0,0.0,35000.0,0.0,0.0,0.0,0.0
2025-02-10,212601.0,49981.0,24896.0,18500.0,9500.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,220354.0,50481.0,24396.0,13000.0,0.0,0.0,0.0,0.0,10500.0,0.0
2025-02-20,0.0,49281.0,25396.0,13500.0,0.0,0.0,0.0,0.0,10000.0,45000.0
2025-02-25,224754.0,47981.0,24896.0,22000.0,0.0,30000.0,0.0,0.0,0.0,43000.0
2025-03-21,228519.0,44481.0,25396.0,19500.0,0.0,0.0,0.0,0.0,9500.0,0.0
2025-04-09,247659.0,0.0,28896.0,15500.0,10000.0,0.0,20000.0,0.0,19500.0,0.0
2025-04-10,0.0,48981.0,29396.0,16000.0,14000.0,0.0,0.0,0.0,16500.0,0.0
2025-04-25,272159.0,0.0,31396.0,17000.0,16000.0,0.0,0.0,0.0,19000.0,0.0
2025-04-30,280659.0,51481.0,35896.0,17500.0,16500.0,0.0,0.0,0.0,0.0,0.0
