date,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-04-18,154702200.0,823515900.0,61740000.0,0.0,0.0,0.0,0.0,0.0,1822499900.0,997502000.0
2024-10-04,0.0,824875900.0,64120000.0,0.0,0.0,253362000.0,0.0,0.0,1823959900.0,1000622000.0
2024-10-07,154122200.0,0.0,71700000.0,513728600.0,0.0,252382000.0,0.0,87282900.0,1823979900.0,993462000.0
2024-10-08,154922200.0,0.0,70900000.0,508008600.0,0.0,251882000.0,0.0,89282900.0,0.0,992822000.0
2024-10-09,161922200.0,825175900.0,68220000.0,506028600.0,0.0,0.0,0.0,91282900.0,1824379900.0,992722000.0
2024-10-10,0.0,0.0,66000000.0,509128600.0,132280000.0,0.0,0.0,0.0,1824399900.0,995722000.0
2024-10-14,161122200.0,0.0,66060000.0,506828600.0,0.0,0.0,0.0,0.0,1822399900.0,1001422000.0
2024-10-21,0.0,0.0,65840000.0,508408600.0,0.0,0.0,106285000.0,0.0,1821459900.0,1006602000.0
2025-03-31,162542200.0,128673900.0,89040000.0,506091100.0,129840000.0,134062000.0,0.0,92480400.0,1823249600.0,1016521000.0
2025-04-03,166222200.0,0.0,82620000.0,507131100.0,0.0,115642000.0,0.0,0.0,1823269600.0,1022681000.0
