date,GET NICE SECURITIES LTD,CHONG HING BANK LTD,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,PLANETREE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,IMAGI BROKERAGE LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,88.28001216365871,0.0,0.0,0.0,0.0,11.719987836341286,0.0,0.0,0.0,0.0
2024-03-05,84.01725334716753,0.0,0.0,0.0,0.0,11.148960582355423,4.8337860704770526,0.0,0.0,0.0
2024-03-06,84.01959222746045,0.0,0.0,0.0,0.0,11.148796416513497,4.83161135602605,0.0,0.0,0.0
2024-03-07,84.02067760961334,0.0,0.0,0.0,0.0,11.148772964645026,4.830549425741623,0.0,0.0,0.0
2024-03-08,71.96771582491955,0.0,14.359255259019498,0.0,0.0,9.539127855376815,4.133901060684128,0.0,0.0,0.0
2024-03-13,71.96847274675197,0.0,14.358867533433706,0.0,0.0,9.538870281855838,4.133789437958475,0.0,0.0,0.0
2024-03-14,71.95632746073437,0.0,14.355869829161511,0.0,0.0,9.536878849583811,4.1509238605203125,0.0,0.0,0.0
2024-03-18,71.38240965434245,0.0,14.241190483268603,0.0,0.0,9.460695167135777,4.117764933973851,0.0,0.7979397612793179,0.0
2024-03-20,70.19427904499581,0.0,14.00345128399341,0.0,0.0,9.302760470857118,4.049023901448758,0.0,0.7846191361434307,1.6658661625614741
2024-03-25,70.19985261008974,0.0,14.00298767924324,0.0,0.0,9.297947164555183,4.048839093755003,0.0,0.7845833241411911,1.6657901282156415
2024-03-27,70.2003757371036,0.0,14.002741863642601,0.0,0.0,9.29778394363981,4.048768018364771,0.0,0.7845695511646313,1.6657608860845847
2024-03-28,70.2038866392949,0.0,14.002741863642601,0.0,0.0,9.29778394363981,4.0452571161734845,0.0,0.7845695511646313,1.6657608860845847
2024-04-03,70.20277750141075,0.0,14.002520636980856,0.0,0.0,9.291317525613719,4.053092611051097,0.0,0.7845571558991611,1.665734569044416
2024-04-10,70.20942605230177,0.0,13.99753549420896,0.0,0.0,9.290339016924868,4.052665762401731,0.0,0.7844745308040836,1.6655591433585928
2024-04-11,70.21808834565044,0.0,13.997547778726277,0.0,0.0,9.2885919302815,4.049158839040643,0.0,0.7844752192746335,1.6621378870264996
2024-04-12,70.22193429180015,0.0,13.998320202277773,0.0,0.0,9.287939827729915,4.045364335562123,0.0,0.7844201454490218,1.6620211971810037
2024-04-19,70.22127674288527,0.0,13.99955933098389,0.0,0.0,9.287597510542112,4.04521523923197,0.0,0.7843912347860301,1.6619599415707347
2024-04-23,70.29609241820857,0.0,13.936325539642668,0.0,0.0,9.286978143576992,4.034415863339723,0.0,0.7843389256697055,1.6618491095623502
2024-04-24,70.29737821773064,0.0,13.936545659238252,0.0,0.0,9.287124828287201,4.032724622790885,0.0,0.7843513140404154,1.6618753579125969
2024-04-25,57.93788708827813,18.895809695228817,10.873744307892354,0.0,0.0,7.246024341836732,3.1379333216689593,0.0,0.6119685929898991,1.2966326521051166
