date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,KINGSTON SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,SOOCHOW SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-26,818790742.0,716228715.0,423857421.0,417198354.0,404709445.0,253592549.0,324070023.0,358718854.0,270251729.0,5946673514.0
2024-04-02,817784937.0,716189893.0,423834946.0,416868729.0,0.0,0.0,322812223.0,0.0,270158729.0,5946658864.0
2024-04-03,817517304.0,715859421.0,0.0,416713615.0,0.0,253592831.0,322603461.0,0.0,270262377.0,0.0
2024-05-13,842386061.0,709138512.0,419302493.0,414266369.0,401709445.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,844386061.0,709136931.0,420902493.0,412166369.0,0.0,0.0,0.0,0.0,270862377.0,0.0
2024-05-16,844400398.0,0.0,418262493.0,402866369.0,399709445.0,0.0,0.0,0.0,270962377.0,0.0
2024-05-21,844771436.0,0.0,418222493.0,393346369.0,397709445.0,0.0,0.0,0.0,270557331.0,0.0
2024-05-22,839627702.0,710474001.0,418080963.0,392546369.0,395709445.0,0.0,0.0,0.0,270257331.0,0.0
2024-05-24,837973641.0,710122554.0,413451663.0,391406369.0,386309445.0,0.0,322467054.0,0.0,269450006.0,0.0
2024-05-27,0.0,709922890.0,413331663.0,391026369.0,384169445.0,0.0,322527022.0,0.0,0.0,0.0
2024-06-19,835930257.0,709460485.0,412749453.0,393058894.0,0.0,0.0,322807022.0,0.0,268942681.0,0.0
2024-06-20,838130257.0,710360485.0,412769453.0,0.0,0.0,0.0,323547022.0,0.0,268582681.0,0.0
2024-09-10,852998533.0,718750593.0,0.0,394655581.0,0.0,0.0,324235302.0,0.0,269230522.0,0.0
2024-09-12,853498533.0,718950593.0,0.0,392735581.0,383499425.0,0.0,0.0,0.0,268630522.0,0.0
2024-09-23,855518530.0,722376655.0,0.0,0.0,384499425.0,0.0,324915302.0,0.0,269950522.0,0.0
2024-09-24,858512130.0,726576655.0,0.0,395135581.0,0.0,0.0,324975302.0,0.0,270750522.0,0.0
2024-09-30,857952130.0,726736655.0,409827153.0,0.0,382879425.0,0.0,0.0,0.0,272550522.0,0.0
2024-10-03,857732043.0,727556343.0,0.0,396714322.0,382871745.0,0.0,324955302.0,0.0,271830522.0,0.0
2024-10-04,859291711.0,738292681.0,409808553.0,393634322.0,378871745.0,0.0,324595302.0,0.0,271586285.0,0.0
2024-10-07,859309975.0,781788512.0,409275803.0,390421298.0,0.0,0.0,324555302.0,0.0,0.0,0.0
2024-10-08,860275325.0,792702950.0,410275803.0,386366648.0,0.0,0.0,323740902.0,0.0,0.0,0.0
2024-10-09,859020316.0,864836349.0,404215803.0,388326648.0,0.0,0.0,323580902.0,0.0,270846285.0,0.0
2024-10-10,858995684.0,944770445.0,403635803.0,388238748.0,0.0,0.0,323600902.0,0.0,0.0,0.0
2024-10-15,862455684.0,989950445.0,403435803.0,388638748.0,0.0,0.0,323600815.0,0.0,0.0,0.0
2024-10-16,862155684.0,1042811827.0,0.0,388734408.0,380871745.0,0.0,0.0,0.0,271806285.0,0.0
2024-11-06,862106946.0,1032989098.0,380415803.0,393917438.0,0.0,0.0,324254340.0,0.0,0.0,0.0
2025-03-13,856361817.0,1062106208.0,343415821.0,396018434.0,0.0,0.0,0.0,0.0,283162839.0,0.0
2025-03-21,856279177.0,1055736598.0,342180461.0,0.0,347271744.0,0.0,0.0,0.0,281722839.0,0.0
2025-04-08,854622694.0,1059116893.0,327220461.0,390714274.0,0.0,0.0,0.0,0.0,283622839.0,0.0
2025-04-09,854602694.0,1057616893.0,316740461.0,0.0,340571744.0,0.0,0.0,0.0,282722839.0,0.0
2025-04-14,852502694.0,1064649446.0,306260461.0,389483274.0,0.0,0.0,323957948.0,0.0,282682839.0,0.0
