date,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,DBS BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,1133435909.0,0.0,0.0,16826000.0,0.0,2720021.0,641000.0,0.0,0.0,3873000.0
2024-03-07,1133454909.0,0.0,5269925.0,0.0,11128379.0,2689021.0,634000.0,375401000.0,0.0,3869000.0
2024-03-08,1133476909.0,0.0,5308925.0,0.0,11106379.0,0.0,643000.0,0.0,0.0,3863000.0
2024-03-11,1133570909.0,0.0,5306925.0,0.0,11081379.0,2691021.0,648000.0,0.0,0.0,3838000.0
2024-03-12,1133603909.0,0.0,5302925.0,16884000.0,11071379.0,2675021.0,652000.0,0.0,0.0,3833000.0
2024-03-13,1133599909.0,0.0,5306925.0,0.0,11049379.0,2672021.0,657000.0,0.0,0.0,3838000.0
2024-03-14,1133609909.0,0.0,5344925.0,16894000.0,11030379.0,2682021.0,668000.0,0.0,0.0,0.0
2024-03-15,1133785129.0,0.0,5231925.0,16917000.0,10978379.0,2668021.0,672000.0,0.0,0.0,3842000.0
2024-03-18,0.0,115237603.0,5229925.0,0.0,10967379.0,2662021.0,696000.0,0.0,0.0,0.0
2024-03-19,0.0,115150603.0,5228925.0,16937000.0,10947379.0,2664021.0,697000.0,0.0,0.0,3844000.0
2024-03-25,1135036129.0,111168603.0,5206925.0,16954000.0,10916379.0,2671021.0,703000.0,375402000.0,0.0,0.0
2024-03-26,0.0,0.0,5199925.0,0.0,10901379.0,2663021.0,725000.0,0.0,0.0,3846000.0
2024-04-02,1135040129.0,111100603.0,5196925.0,0.0,10903379.0,2665021.0,727000.0,0.0,0.0,0.0
2024-04-03,1134996129.0,111086603.0,5184925.0,0.0,10897379.0,2690021.0,728000.0,0.0,0.0,0.0
2024-04-05,1134951129.0,111066603.0,5201925.0,0.0,10898379.0,2727021.0,726000.0,0.0,0.0,0.0
2024-04-10,1134863129.0,111074603.0,5200925.0,0.0,10918379.0,2738021.0,728000.0,0.0,0.0,0.0
2024-04-11,1134738129.0,111022603.0,5199925.0,16955000.0,10948379.0,2747021.0,0.0,0.0,0.0,3866000.0
2024-04-12,1134629069.0,110805603.0,5200925.0,0.0,10968379.0,2746021.0,0.0,0.0,0.0,3916000.0
2024-04-15,1134583069.0,110765603.0,5201925.0,16939000.0,10969379.0,2748021.0,0.0,0.0,0.0,3924000.0
2024-04-16,1134524069.0,110752603.0,5239925.0,0.0,11029379.0,2751021.0,731000.0,0.0,0.0,3953000.0
2024-04-17,1134453069.0,110656603.0,5284925.0,16949000.0,11034379.0,2763021.0,0.0,0.0,0.0,4060000.0
2024-04-19,1134399069.0,110635603.0,5287925.0,0.0,11034379.0,2766021.0,0.0,0.0,0.0,4229000.0
2024-04-22,1134394069.0,110384603.0,5291925.0,0.0,11036379.0,2765021.0,737000.0,0.0,0.0,0.0
2024-04-23,1134369069.0,110375603.0,5282925.0,0.0,11044379.0,0.0,742000.0,0.0,0.0,4284000.0
2024-04-24,1127930069.0,110377603.0,0.0,0.0,11036379.0,0.0,743000.0,0.0,0.0,4318000.0
2024-04-25,0.0,110307603.0,5326925.0,17019000.0,11061379.0,2686021.0,0.0,0.0,0.0,4328000.0
2024-04-26,1127869069.0,110296603.0,5325925.0,0.0,11085379.0,2693021.0,747000.0,0.0,0.0,4352000.0
2024-04-29,1127868069.0,110252603.0,0.0,0.0,11029379.0,2695021.0,748000.0,0.0,0.0,4401000.0
2024-04-30,1127773069.0,110106603.0,5323925.0,17025000.0,11086379.0,2681021.0,760000.0,0.0,0.0,4431000.0
2024-05-02,1127775069.0,110079603.0,5322925.0,17024000.0,11088379.0,2683021.0,768000.0,0.0,0.0,0.0
