date,KINGSTON SECURITIES LTD,OSHIDORI SECURITIES LTD,PLANETREE SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,CHONG HING SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,0.0,0.0,0.0,0.0,2.1880320026797433,0.0,0.0,0.0,2.1880320026797433
2024-03-07,0.0,0.0,0.0,0.0,0.0,2.1876756174148144,0.0,0.0,0.0,2.1876756174148144
2024-03-08,0.0,0.0,0.0,0.0,0.0,2.1875642470195236,0.0,0.0,0.0,2.1875642470195236
2024-03-20,0.0,0.0,0.0,0.0,0.0,2.1875642470195236,1.6478448506856556,0.0,0.0,3.8354090977051793
2024-03-21,0.0,0.0,0.0,0.0,0.0,2.187341506228943,1.6478448506856556,0.0,0.0,3.8351863569145985
2024-03-25,0.0,0.0,0.0,0.0,0.0,2.186628735699085,1.6478448506856556,0.0,0.0,3.834473586384741
2024-04-03,0.0,0.0,0.0,0.0,0.0,2.158251558979098,1.6478448506856556,0.0,0.0,3.806096409664754
2024-04-11,0.0,0.0,0.0,0.0,0.0,2.158251558979098,1.6477000869910416,0.0,0.0,3.8059516459701395
2024-04-22,0.0,0.0,0.0,0.0,0.0,2.157901410456305,1.6477000869910416,0.0,0.0,3.8056014974473467
2024-04-26,0.0,0.0,0.0,0.0,0.0,2.157879136377247,1.6477000869910416,0.0,0.0,3.805579223368288
2024-04-29,0.0,0.0,0.0,0.0,0.0,2.1571663658473885,1.6477000869910416,0.0,0.0,3.80486645283843
2024-05-06,0.0,0.0,0.0,0.0,0.0,2.15761184742855,1.6477000869910416,0.0,0.0,3.805311934419592
2024-05-14,0.0,0.0,0.0,0.0,0.0,2.15761184742855,1.6475887165957512,0.0,0.0,3.805200564024301
2024-05-16,0.0,0.0,0.0,0.0,0.0,2.157968232693479,1.6475887165957512,0.0,0.0,3.80555694928923
2024-05-20,0.0,0.0,0.0,0.0,0.0,2.1565426916337627,1.6490142576554678,0.0,0.0,3.80555694928923
2024-05-22,0.0,0.0,0.0,0.0,0.0,2.1565426916337627,1.6465195608009637,0.0,1.1098282631476193,4.912890515582345
2024-05-23,0.0,0.0,0.0,0.0,0.0,2.1568434095203095,1.645094019741247,0.0,1.1087591073528318,4.910696536614388
2024-05-27,0.0,0.0,0.0,0.0,0.0,2.157556180050168,1.6443812492113883,0.0,1.1087591073528318,4.910696536614388
2024-05-28,0.0,0.0,0.0,0.0,0.0,2.153635942135947,1.6440248639464594,0.0,1.1087591073528318,4.906419913435238
2024-05-29,0.0,0.0,0.0,0.0,0.0,2.1525667863411595,1.645094019741247,0.0,1.1087591073528318,4.906419913435238
2024-06-03,0.0,0.0,0.0,0.0,0.0,2.1525667863411595,1.645094019741247,1.354803609660558,1.1087591073528318,6.261223523095796
2024-06-04,0.0,0.0,0.0,0.0,0.0,2.1525667863411595,1.645094019741247,1.354803609660558,1.107333566293115,6.259797982036079
2024-06-05,0.0,0.0,0.0,0.0,0.0,2.151497630546372,1.645094019741247,1.354803609660558,1.107333566293115,6.258728826241292
2024-06-06,0.0,0.0,0.0,0.0,0.0,2.151497630546372,1.645094019741247,1.354803609660558,1.1034133283788938,6.254808588327071
2024-06-11,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.151497630546372,1.64482673079255,1.354803609660558,1.1034133283788938,21.368822743954784
2024-06-17,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.1479337778970797,1.64482673079255,1.354803609660558,1.1034133283788938,21.36525889130549
2024-06-20,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.146686429469828,1.64482673079255,1.354803609660558,1.1034133283788938,21.364011542878238
2024-06-25,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.146686429469828,1.6430448044679038,1.354803609660558,1.1034133283788938,21.362229616553595
2024-07-05,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.146686429469828,1.6430448044679038,1.354803609660558,1.1030569431139647,21.361873231288662
2024-07-09,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.147042814734757,1.6430448044679038,1.354803609660558,1.1030569431139647,21.362229616553595
2024-07-19,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.1463300442048987,1.642688419202975,1.354803609660558,1.1030569431139647,21.361160460758803
2024-07-22,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.1463306856983753,1.642688419202975,1.354803609660558,1.3011626022564793,21.559266761394795
2024-07-23,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.1463306856983753,1.642688419202975,1.354803609660558,1.3029445285811252,21.561048687719442
2024-07-24,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.1463306856983753,1.642688419202975,1.354803609660558,1.3022317580512668,21.560335917189587
2024-08-01,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.146308411619317,1.642688419202975,1.354803609660558,1.3022317580512668,21.560313643110526
2024-08-02,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.146308411619317,1.642688419202975,1.354803609660558,1.3004498317266209,21.558531716785883
2024-08-12,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.146308411619317,1.642688419202975,1.3576546917799917,1.2993806759318332,21.560313643110526
2024-08-19,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.146308411619317,1.6425770488076845,1.3576546917799917,1.2993806759318332,21.560202272715237
2024-08-23,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.1431009442349547,1.6425770488076845,1.3576546917799917,1.2993806759318332,21.556994805330874
2024-08-27,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.1431009442349547,1.6425770488076845,1.3575990244016096,1.2993806759318332,21.55693913795249
2024-09-02,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.147021182149176,1.6425770488076845,1.3575990244016096,1.2954604380176122,21.55693913795249
2024-09-03,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.152689953088719,1.6425770488076845,1.3575990244016096,1.2894018885138159,21.55654935938824
2024-09-04,0.0,7.769092038069535,7.345189406506875,0.0,0.0,2.1541154941484355,1.6425770488076845,1.3575990244016096,1.2894018885138159,21.557974900447956
2024-09-09,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.177280536368833,1.6425770488076845,1.3575990244016096,1.2894018885138159,27.93968155441984
2024-09-10,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.177280536368833,1.6422206635427552,1.3575990244016096,1.2894018885138159,27.939325169154905
2024-09-16,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.184051856402488,1.6422206635427552,1.3575990244016096,1.2894018885138159,27.94609648918856
2024-09-19,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1839404860071974,1.6422206635427552,1.3575990244016096,1.2894018885138159,27.94598511879327
2024-09-23,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1839182119281393,1.6422206635427552,1.3575990244016096,1.2894018885138159,27.945962844714213
2024-09-24,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1803543592788475,1.6422206635427552,1.3575990244016096,1.2894018885138159,27.94239899206492
2024-09-26,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1803098111207313,1.6425770488076845,1.3575990244016096,1.2894018885138159,27.942710829171734
2024-09-27,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.180198440725441,1.6432675452584848,1.3575990244016096,1.2894018885138159,27.943289955227247
2024-09-30,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.180198440725441,1.6450494715831308,1.3575990244016096,1.2894018885138159,27.945071881551893
2024-10-02,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1800870703301505,1.64540585684806,1.3575990244016096,1.2894018885138159,27.94531689642153
2024-10-03,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1854328493040884,1.647544168437635,1.3575990244016096,1.2894018885138159,27.952800986985043
2024-10-04,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1854328493040884,1.6500388652921396,1.3575990244016096,1.2851252653346654,27.9510190606604
2024-10-07,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.18472007877423,1.6500388652921396,1.3575990244016096,1.2851252653346654,27.950306290130538
2024-10-08,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.18472007877423,1.6493717833532449,1.3575990244016096,1.2851252653346654,27.949639208191645
2024-10-09,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1836509229794423,1.6493717833532449,1.3575990244016096,1.2851252653346654,27.948570052396853
2024-10-10,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1835061592848284,1.6493717833532449,1.3575990244016096,1.2851252653346654,27.94842528870224
2024-10-22,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1795859213706072,1.6493717833532449,1.3575990244016096,1.2851252653346654,27.94450505078802
2024-10-30,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1795859213706072,1.6493717833532449,1.3575990244016096,1.282274183215232,27.94165396866859
2024-11-01,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.179196142806354,1.6493717833532449,1.3575990244016096,1.282274183215232,27.94126419010433
2024-11-04,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.1742067490973453,1.6493717833532449,1.3575990244016096,1.282274183215232,27.936274796395328
2024-11-06,0.0,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.128589435186409,1.6493717833532449,1.3575990244016096,1.282274183215232,27.89065748248439
2024-11-12,8.34254472527001,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.128945820451338,1.6497281686181742,1.3575990244016096,1.282274183215232,36.23391497828426
2024-11-18,8.34254472527001,7.769092038069535,7.345189406506875,6.358541611751484,0.0,2.134778029673378,1.6497281686181742,1.3575990244016096,1.282274183215232,36.239747187506296
2024-11-25,8.34254472527001,7.769092038069535,7.345189406506875,6.313280683105477,0.0,2.1344216444084485,1.6497281686181742,1.3575990244016096,1.2787103305659402,36.19056602094607
2024-11-26,8.34254472527001,7.769092038069535,7.345189406506875,6.310429600986043,0.0,2.1344216444084485,1.6532920212674658,1.3597373359911848,1.2787103305659402,36.1934171030655
2024-11-27,8.34254472527001,7.769092038069535,7.345189406506875,6.309716830456185,0.0,2.1308577917591567,1.6532920212674658,1.3597373359911848,1.2787103305659402,36.18914047988635
2024-11-28,8.34254472527001,7.769092038069535,7.345189406506875,6.302589125157601,0.0,2.1308577917591567,1.6532920212674658,1.3597373359911848,1.2787103305659402,36.18201277458777
2024-11-29,8.34254472527001,7.769092038069535,7.345189406506875,6.300094428303097,0.0,2.130145021229298,1.6532920212674658,1.3597373359911848,1.2787103305659402,36.178805307203405
2024-12-02,8.34254472527001,7.769092038069535,7.345189406506875,6.243785556444284,0.0,2.1247992422553605,1.6532920212674658,1.3597373359911848,1.2787103305659402,36.117150656370654
2024-12-09,8.34254472527001,7.769092038069535,7.345189406506875,6.243785556444284,0.0,2.1244428569904312,1.6532920212674658,1.3597373359911848,1.2787103305659402,36.116794271105725
2024-12-19,8.34254472527001,7.769092038069535,7.345189406506875,6.243785556444284,0.0,2.124086471725502,1.6532920212674658,1.3597373359911848,1.2787103305659402,36.116437885840796
2024-12-20,8.34254472527001,7.769092038069535,7.345189406506875,6.243785556444284,0.0,2.1237300864605726,1.6532920212674658,1.3597373359911848,1.2787103305659402,36.116081500575866
2025-01-03,8.34254472527001,7.769092038069535,7.345189406506875,6.243785556444284,0.0,2.1409591044312566,1.6532920212674658,1.3597373359911848,1.2726517810621438,36.12725196904275
2025-01-06,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.142028260226044,1.6532920212674658,1.3597373359911848,1.2726517810621438,36.12807610996791
2025-01-10,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.141972592847662,1.6532920212674658,1.3597373359911848,1.2726517810621438,36.12802044258952
2025-02-05,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1419057706104883,1.6532920212674658,1.3597373359911848,1.2726517810621438,36.12795362035235
2025-02-11,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.142262155875417,1.6532920212674658,1.3597373359911848,1.2726517810621438,36.12831000561727
2025-02-13,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.142262155875417,1.6532920212674658,1.3597373359911848,1.2662368462934184,36.12189507084855
2025-02-14,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1497462464389305,1.65216584383029,1.3597373359911848,1.2662368462934184,36.12825298397489
2025-02-20,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1504033495904067,1.65216584383029,1.3597373359911848,1.2662368462934184,36.128910087126364
2025-02-21,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1518288906501235,1.65216584383029,1.3604501065210433,1.2644549199687725,36.12926647239129
2025-02-26,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.153209883551724,1.65216584383029,1.3604501065210433,1.2644549199687725,36.130647465292896
2025-02-27,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1539226540815823,1.65216584383029,1.3604501065210433,1.263385764173985,36.130291080027966
2025-02-28,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1542790393465117,1.65216584383029,1.3604501065210433,1.2623166083791972,36.12957830949811
2025-03-03,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.155348195141299,1.65216584383029,1.3604501065210433,1.2623166083791972,36.130647465292896
2025-03-05,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1639001228741197,1.6520544734349996,1.3604501065210433,1.2548325178156843,36.131603932066916
2025-03-06,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.170315057642845,1.6520544734349996,1.3604501065210433,1.2509122799014631,36.13409862892142
2025-03-10,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.175972673723596,1.6520544734349996,1.3604501065210433,1.2477048125171004,36.136548777617804
2025-03-11,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.179536526372888,1.6520544734349996,1.3604501065210433,1.2477048125171004,36.1401126302671
2025-03-12,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1827439937572506,1.6520544734349996,1.3604501065210433,1.2477048125171004,36.14332009765146
2025-03-13,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1827439937572506,1.6520210801356756,1.3604501065210433,1.2477048125171004,36.143286704352136
2025-03-17,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.18310037902218,1.6520210801356756,1.3604501065210433,1.2477048125171004,36.14364308961706
2025-03-18,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.183099737528703,1.6520210801356756,1.3604501065210433,1.2477048125171004,36.143642448123586
2025-03-19,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1859508196481365,1.6520210801356756,1.3604501065210433,1.2477048125171004,36.14649353024302
2025-03-24,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,0.0,2.1859508196481365,1.6519097097403852,1.3604501065210433,1.2477048125171004,36.146382159847725
2025-03-27,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.190940213357145,1.6517983393450948,1.3604501065210433,1.246992041987242,39.78394572401527
2025-03-28,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.1941254066624496,1.6517983393450948,1.3604501065210433,1.246992041987242,39.787130917320574
2025-03-31,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.1951945624572375,1.6517983393450948,1.3597373359911848,1.246992041987242,39.787487302585504
2025-04-01,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.1987584151065294,1.6517983393450948,1.3597373359911848,1.246992041987242,39.79105115523479
2025-04-02,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.2115882846439803,1.6517983393450948,1.3597373359911848,1.246992041987242,39.803881024772245
2025-04-03,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.2105191288491928,1.661420741498183,1.3597373359911848,1.2409334924834459,39.80637572162674
2025-04-07,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.2108755141141216,1.6689048320616962,1.3597373359911848,1.2409334924834459,39.81421619745519
2025-04-08,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.211231899379051,1.6774580784199966,1.3597373359911848,1.2409334924834459,39.82312582907842
2025-04-09,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.2140829814984846,1.6771016931550673,1.3596259655958944,1.2391515661588,39.82372722921299
2025-04-11,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.2147957520283432,1.6771016931550673,1.3596259655958944,1.2391515661588,39.82443999974284
2025-04-28,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.2155085225582014,1.6771016931550673,1.3596259655958944,1.2391515661588,39.8251527702727
2025-04-30,8.34254472527001,7.768847023199895,7.345189406506875,6.243785556444284,3.633398311383677,2.215341484784529,1.6771016931550673,1.3596259655958944,1.2391515661588,39.82498573249904
