date,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,CHINA INDUSTRIAL SECURITIES,EMPEROR SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD
2024-03-06,2.869487325711644,0.0,1.8056986055095998,0.0,0.0,3.444653370337113,0.0,17.236714933134042,0.0
2024-03-13,2.8697521925000644,0.0,0.0,0.0,0.0,3.4445209369429026,0.0,17.236582499739832,0.0
2024-03-14,2.870149492682695,4.282403846267306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0290661410074473,17.23552303258615,0.0
2024-03-28,2.891338835756339,0.0,0.0,0.0,0.0,3.4234640272634698,0.0,0.0,0.0
2024-04-02,2.891603702544759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0291985744016576,17.235390599191938,0.0
2024-04-12,0.0,0.0,1.805433738721179,0.0,0.0,3.42359646065768,0.0,0.0,0.0
2024-04-15,2.8918685693331803,0.0,0.0,0.0,0.0,3.4234640272634698,0.0,0.0,0.0
2024-04-16,2.892795603092652,0.0,0.0,0.0,0.0,3.3956530144793127,0.0,0.0,0.0
2024-04-17,2.8929280364868624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,2.8931929032752826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,2.893722636852124,0.0,0.0,0.0,0.0,0.0,0.0,17.236714933134042,0.0
2024-04-24,2.893855070246334,0.0,1.8051688719327588,0.0,0.0,0.0,0.0,1.137670794597465,16.714322536634214
2024-04-29,2.8939875036405445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,0.0,9.651639161162272,0.0,0.0,0.0,0.0,0.0
2024-05-02,2.7722812143613043,0.0,0.0,0.0,0.0,0.0,0.0,1.137657551258044,16.833512591423457
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.137644307918623,0.0
2024-05-08,2.7732082481207763,0.0,0.0,0.0,0.0,0.0,0.0,1.1376045779003598,0.0
2024-05-13,2.7738704150918276,4.2821654661577275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,2.8004895273280925,0.0,0.0,0.0,0.0,3.3691663356372583,0.0,0.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1375913345609387,0.0
2024-05-23,2.8006219607223026,0.0,1.8039769713848661,0.0,0.0,0.0,0.0,1.1353399668593642,0.0
2024-05-24,0.0,4.28216242018966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,0.0,4.282161758022689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,0.0,4.280175257109535,0.0,0.0,5.971021531223854,0.0,0.0,0.0,0.0
2024-06-18,2.800754394116513,0.0,0.0,0.0,0.0,3.369033902243048,0.0,0.0,0.0
2024-06-19,2.8008868275107233,0.0,0.0,0.0,0.0,3.367842001695155,0.0,0.0,0.0
2024-06-20,2.8019462946644054,4.279645523532694,0.0,0.0,0.0,3.366252800964632,0.0,0.0,0.0
2024-06-21,2.802476028241246,0.0,0.0,0.0,0.0,3.36532576720516,0.0,0.0,0.0
2024-06-24,2.8038003621833494,0.0,0.0,0.0,0.0,3.364001433263057,0.0,0.0,0.0
2024-06-25,2.8039327955775595,4.279632280193273,0.0,0.0,0.0,3.3634716996862166,1.1086586109278207,0.0,0.0
2024-06-26,2.804594962548611,0.0,0.0,0.0,0.0,3.362544665926744,0.0,0.0,0.0
2024-06-28,2.8055219963080824,0.0,0.0,0.0,0.0,3.3622797991383244,0.0,0.0,0.0
2024-07-11,0.0,0.0,0.0,9.671901470476444,0.0,3.3424147900067833,0.0,0.0,0.0
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1352869935016803,0.0
2024-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.135305799043658,0.0
2024-07-25,2.8057868630965035,0.0,1.8039637280454452,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,0.0,4.282280948077479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08,2.807111197038606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,2.8072436304328163,4.282148514683269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,2.8073760638270264,4.282016081289059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
