date,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SUNHIGH FINANCIAL HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,1.6671040125754735,0.0,6.656174549983615,0.0,0.0,0.0,0.0,1.2843531026239499,0.0,0.0
2024-03-04,1.690205920868431,0.0,6.634704841733095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,1.7013802134666547,0.0,6.615997318169777,0.0,0.0,1.6183874240242269,0.0,0.0,0.0,0.0
2024-03-06,1.7174511061921902,0.0,6.6200778182758695,0.0,0.0,0.0,0.0,0.0,0.0,11.755732474879814
2024-03-07,1.809544854740474,4.795905940078169,6.370476765632397,0.0,0.0,1.6144952546922613,3.3711836338046206,1.345560604215345,0.0,11.742549320690898
2024-03-08,1.9000064032463202,4.796094270852297,6.4016768972128295,0.0,7.8313585805384,1.6039487313411285,0.0,1.3743124357321235,0.0,11.710030873691572
2024-03-11,1.8318306630122128,4.795027063132242,6.437773628920576,0.0,0.0,1.610226423812041,0.0,1.2912585643419534,0.0,11.82189935352323
2024-03-12,1.9332781733421556,0.0,6.449764021540018,0.0,0.0,0.0,0.0,1.2903169104713166,0.0,11.847010123406879
2024-03-13,1.9625949971813161,0.0,6.555229255051345,0.0,0.0,0.0,0.0,0.0,0.0,11.85761942368272
2024-03-14,2.016520375506453,0.0,6.457736690978077,0.0,0.0,1.6008098851056722,0.0,1.4133596829011978,0.0,11.801371299143346
2024-03-15,1.7227009546270984,0.0,5.372260426224236,0.0,6.5542722794494,0.0,2.820579923087514,1.2340365602314731,0.0,9.841760810366264
2024-03-18,1.7338941491648194,0.0,5.3770424952520885,0.0,0.0,1.3405544152160183,0.0,0.0,0.0,9.847015831275993
2024-03-19,1.8592789480709342,0.0,5.3690023132602045,2.140790418205074,0.0,1.2623597040792625,2.8167437578234122,1.2418665413869683,0.0,9.901037446227999
2024-03-20,1.859594249325518,0.0,5.361802934613877,0.0,0.0,0.0,0.0,1.2397645330230769,0.0,9.979442358201144
2024-03-21,1.8463515966330029,0.0,5.313088890780696,0.0,0.0,0.0,0.0,1.239239030932104,0.0,10.015964753523754
2024-03-22,1.8516591677518284,0.0,5.307886420080066,0.0,0.0,0.0,0.0,0.0,0.0,10.005454711704298
2024-03-25,1.8361043058590332,0.0,5.335685480692528,0.0,0.0,1.2676147249889909,0.0,0.0,0.0,10.019643268160564
2024-03-26,1.8505556133607857,0.0,5.3288539535098804,0.0,0.0,1.2623597040792625,0.0,0.0,0.0,0.0
2024-03-28,1.8537611761157198,0.0,5.326226443055017,0.0,0.0,1.264882114115932,0.0,0.0,0.0,0.0
2024-04-02,1.8216004481481831,0.0,5.349190884430529,0.0,3.1400326441898914,0.0,0.0,0.0,11.442860581142252,0.0
2024-04-03,1.8152944230565091,0.0,5.352291346767269,0.0,0.0,1.2623597040792625,0.0,1.240552786159536,0.0,10.048966284836848
2024-04-05,1.8265401678033275,0.0,5.3495061856851125,0.0,0.0,0.0,0.0,0.0,0.0,10.061735985647486
2024-04-08,1.8290100276309,0.0,5.356074961822273,0.0,0.0,0.0,0.0,1.2300427443400799,0.0,10.103460851670729
2024-04-09,1.8864474061742291,0.0,5.303524752724991,0.0,0.0,1.2593643421607175,0.0,0.0,0.0,10.1194886654454
2024-04-10,1.911040904031757,0.0,5.321391823818066,0.0,0.0,1.2541093212509893,0.0,1.24685881125121,0.0,10.127371196809992
2024-04-11,1.934846148752826,0.0,0.0,0.0,0.0,1.2593643421607175,0.0,0.0,0.0,10.122116175900263
2024-04-12,1.9482990022817301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.118017259590676
2024-04-15,1.9512943642002751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.114864247044839
2024-04-16,1.9692665357115458,0.0,5.3266468447277955,0.0,0.0,1.2474354446956346,0.0,0.0,0.0,10.120119267954566
2024-04-17,1.989813667468583,0.0,5.326331543473212,0.0,0.0,0.0,0.0,0.0,0.0,10.125374288864295
2024-04-18,1.9935972825235873,0.0,0.0,0.0,0.0,1.2421804237859062,0.0,0.0,0.0,10.130576759564926
2024-04-19,2.008836843161799,4.012839067086648,5.322180076954526,0.0,0.0,1.2474354446956346,0.0,0.0,0.0,10.135358828592778
2024-04-22,2.008994493789091,4.012733966668454,5.322232627163624,0.0,0.0,1.2511139593324443,0.0,0.0,0.0,0.0
2024-04-23,2.0224998975270925,0.0,5.327487648073351,0.0,0.0,1.2616240011519004,2.8198967703692492,0.0,0.0,10.14387196246654
2024-04-24,2.039421064856417,0.0,0.0,0.0,0.0,1.2668790220616288,0.0,0.0,0.0,7.443001415702632
2024-04-25,2.0920238241627964,0.0,0.0,0.0,0.0,1.24733034427744,0.0,0.0,0.0,0.0
2024-04-26,2.108209288564759,0.0,5.327014696191476,0.0,0.0,1.2578403860968963,2.8193712682782763,0.0,0.0,7.448256436612362
2024-04-29,2.167538474635591,0.0,5.315401099980977,0.0,0.0,0.0,0.0,0.0,0.0,7.460921037004805
2024-04-30,2.1774179139458796,0.0,0.0,0.0,0.0,1.2630954070066245,0.0,1.246490959787529,0.0,0.0
2024-05-02,2.182725485064705,0.0,0.0,0.0,0.0,0.0,0.0,1.249118470242393,0.0,0.0
2024-05-03,2.1943916314843017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,2.193708478766037,4.042792686272099,5.320130618799732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,2.1905554662202,0.0,0.0,0.0,0.0,1.26898103042552,0.0,0.0,0.0,7.454720112331327
2024-05-08,2.1903978155929082,0.0,5.318133710854036,0.0,0.0,1.264671913279543,0.0,0.0,0.0,0.0
2024-05-09,2.2178290247416896,0.0,5.307098166943606,0.0,0.0,1.264882114115932,0.0,0.0,0.0,7.445734026575692
2024-05-10,2.2207718364511373,0.0,5.3489281333850425,2.0873468555531383,0.0,1.2756023567717776,2.817269259914385,1.246490959787529,0.0,7.432018422001301
2024-05-13,2.2930809241689976,0.0,5.321864775699942,0.0,0.0,1.2493272522231365,0.0,0.0,0.0,7.430967417819355
2024-05-14,2.3110530956802675,0.0,5.315663851026463,0.0,0.0,1.2498527543141094,0.0,1.2201633050297906,0.0,7.429548562173729
2024-05-16,2.333702235801196,0.0,5.284133725568094,0.0,0.0,0.0,0.0,0.0,0.0,7.426500650046086
2024-05-17,2.3421102692567612,0.0,5.270470671202801,0.0,0.0,1.2524802647689735,0.0,0.0,0.0,7.431755670955814
2024-05-20,2.3133127546714505,0.0,5.272047177475719,0.0,3.1320450124071044,1.2472252438592453,0.0,0.0,0.0,7.4312301688648414
2024-05-21,2.3111581960984626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,2.31294490320777,0.0,5.270470671202801,0.0,0.0,1.2577352856787016,0.0,0.0,0.0,7.425975147955113
2024-05-23,2.325556953391118,0.0,0.0,0.0,0.0,0.0,0.0,1.2195327025206233,0.0,0.0
2024-05-24,0.0,0.0,5.270155369948217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,2.3257146040184096,0.0,0.0,0.0,0.0,1.2588388400697446,0.0,0.0,0.0,7.425712396909627
2024-05-28,2.336224645837866,0.0,5.265005449456684,0.0,0.0,1.268245327498158,0.0,0.0,0.0,0.0
2024-05-29,2.3412694659112048,0.0,0.0,0.0,0.0,1.2696641831437847,0.0,0.0,0.0,0.0
2024-05-30,2.3421102692567612,0.0,5.262115187956333,0.0,0.0,1.2800165743359493,0.0,0.0,0.0,0.0
2024-05-31,2.3521473591943423,0.0,5.256965267464799,0.0,0.0,1.2905266161554056,0.0,0.0,0.0,0.0
2024-06-03,2.343213823647804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.422244083109207
2024-06-04,2.3432663738569013,0.0,0.0,0.0,0.0,1.292838825355686,0.0,0.0,0.0,0.0
2024-06-05,2.359031436586086,0.0,0.0,0.0,0.0,1.3010366579748622,0.0,0.0,0.0,7.4089488802075945
2024-06-06,2.363813505613939,0.0,0.0,0.0,1.9344257470800474,1.3016147102749323,0.0,0.0,12.64047984646931,0.0
2024-06-07,2.3701195307056127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,2.3691210767327644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-12,2.373587844506033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,2.3680700725508186,0.0,0.0,0.0,1.933006891434421,0.0,0.0,0.0,15.267990301333409,7.3946026731240355
2024-06-14,2.375216900988049,0.0,0.0,0.0,0.0,1.2569470325422425,0.0,0.0,0.0,7.395653677305981
2024-06-17,2.3687532252690833,0.0,0.0,0.0,0.0,1.2674570743616989,0.0,1.1932575979719824,0.0,0.0
2024-06-18,2.3716960369785314,0.0,5.253812254918962,0.0,0.0,1.267667275198088,0.0,0.0,0.0,0.0
2024-06-19,2.376425555797286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,2.377266359142843,0.0,0.0,0.0,0.0,1.2781773170175446,0.0,0.0,0.0,0.0
2024-06-21,2.3975507398543936,0.0,5.257806070810355,0.0,0.0,1.2783875178539337,0.0,1.1662993407050766,0.0,7.385143635486526
2024-06-24,2.397603290063491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-26,0.0,0.0,0.0,0.0,0.0,1.2888975596733898,0.0,0.0,0.0,0.0
2024-06-27,2.3969201373452265,0.0,5.257753520601258,0.0,0.0,0.0,0.0,0.0,0.0,7.38524873590472
2024-06-28,2.3947130285631406,0.0,5.253549503873476,0.0,0.0,1.3099176433123028,0.0,0.0,0.0,0.0
2024-07-03,2.389615658280704,0.0,5.25249849969153,0.0,0.0,1.3204276851317591,0.0,0.0,0.0,0.0
2024-07-04,2.3938196750084866,0.0,5.239255846999015,0.0,0.0,1.3340907394970525,0.0,0.0,0.0,7.3820957233588835
2024-07-05,0.0,0.0,5.212612890986693,0.0,0.0,1.3446007813165088,0.0,0.0,0.0,0.0
2024-07-08,2.393872225217584,0.0,5.211614437013845,2.07300064846958,0.0,1.3440752792255362,0.0,0.0,0.0,7.369326022548243
2024-07-09,2.4017547565821764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,2.396447185463351,0.0,5.2104057822046075,0.0,0.0,1.3440227290164388,0.0,0.0,0.0,0.0
2024-07-11,2.4001257001001606,0.0,5.210458332413705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,2.4075352795828775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.358448129265106
2024-07-15,2.408323532719337,0.0,0.0,0.0,0.0,1.354532770835895,0.0,0.0,0.0,7.348200838491136
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.346729432636412
2024-07-17,2.410110239828644,0.0,5.210826183877386,0.0,0.0,1.3524833126811011,0.0,0.0,0.0,0.0
2024-07-18,2.4029108611823164,0.0,0.0,0.0,1.8714705965815037,0.0,0.0,0.0,0.0,0.0
2024-07-19,0.0,0.0,5.207042568822382,0.0,0.0,1.3567924298270784,0.0,0.0,0.0,0.0
2024-07-22,2.4006512021911335,0.0,0.0,0.0,0.0,1.3673024716465345,0.0,1.1689268511599409,0.0,28.4695487303344
2024-07-23,2.4080607816738504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,2.4088490348103098,0.0,5.20126204582168,0.0,0.0,1.372557492556263,0.0,0.0,0.0,0.0
2024-07-25,2.410951043174201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.469023228243422
2024-07-26,2.4021751582549546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.43644209860311
2024-07-29,0.0,0.0,5.200736543730708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,0.0,0.0,5.200473792685221,0.0,0.0,0.0,0.0,0.0,0.0,28.434865592330194
2024-07-31,0.0,0.0,5.202786001885502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,2.401019053654814,0.0,5.203626805231059,0.0,0.0,1.3729253440199438,0.0,0.0,0.0,0.0
2024-08-02,2.3957640327450864,0.0,5.1983717843213295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,2.3871983486622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,2.3847810390437543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.429610571420465
2024-08-08,2.384360637370976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,2.3680700725508186,0.0,5.207410420286062,0.0,0.0,0.0,0.0,1.1687692005326489,0.0,0.0
2024-08-14,0.0,0.0,0.0,0.0,0.0,1.3725049423471656,0.0,0.0,0.0,0.0
2024-08-16,0.0,0.0,5.202155399376334,0.0,0.0,1.3804925741299525,0.0,0.0,0.0,0.0
2024-08-20,2.365442562095955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,2.358821235749697,0.0,5.201892648330848,0.0,0.0,0.0,0.0,0.0,0.0,28.43118707769338
2024-08-23,0.0,0.0,5.201367146239875,0.0,0.0,0.0,0.0,0.0,0.0,28.42729836222018
2024-08-26,2.3561411750857357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-02,2.3611859951590746,0.0,5.217132208969059,0.0,0.0,0.0,0.0,1.1561571503493013,0.0,0.0
2024-09-03,2.361921698086437,0.0,5.216922008132671,0.0,0.0,1.385800145248778,2.8176896615871634,1.1488001210756817,0.0,0.0
2024-09-04,2.3639186060321333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.42530145427449
