date,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,CITIC SECURITIES BROKERAGE (HK) LTD,DBS BANK (HONG KONG) LTD,ONSHINE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD
2024-06-25,280226826.0,0.0,70803300.0,40049681.0,0.0,0.0,0.0,82704023.0,1014688879.0
2024-10-03,292223826.0,0.0,74842300.0,40369681.0,116785000.0,0.0,0.0,88813023.0,0.0
2024-10-08,297623826.0,0.0,75553300.0,40237681.0,116967000.0,57906504.0,0.0,91640023.0,0.0
2024-10-09,293389826.0,0.0,76841300.0,40349681.0,116785000.0,58106504.0,0.0,93343023.0,0.0
2025-01-22,295970826.0,85649000.0,76891300.0,66874681.0,0.0,59396504.0,0.0,82906995.0,0.0
2025-02-26,298038826.0,83596000.0,76610300.0,67089681.0,0.0,0.0,0.0,82619495.0,0.0
2025-03-04,193683452.0,0.0,76767300.0,66939681.0,116580000.0,0.0,1768467429.0,82514495.0,0.0
2025-03-19,192811452.0,0.0,77443300.0,66904681.0,0.0,59005504.0,0.0,83825768.0,0.0
2025-03-24,192710452.0,0.0,77340300.0,66894681.0,0.0,59105504.0,0.0,83771768.0,0.0
2025-03-31,191721452.0,83521000.0,76507300.0,66949681.0,0.0,58900504.0,0.0,83727768.0,0.0
2025-04-09,192248452.0,0.0,76238300.0,66899681.0,0.0,58900504.0,0.0,83727768.0,0.0
