date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS BANK CO LTD,CITIBANK N.A.,CITIC SECURITIES BROKERAGE (HK) LTD,CMB WING LUNG BANK LTD,DBS BANK (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),ORIENT SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-04,93316249.0,51411139.0,26562194.0,10704960.0,187198968.0,0.0,15542000.0,530888763.0,9772000.0,149045044.0
2024-03-05,93208249.0,0.0,0.0,10677058.0,187250968.0,0.0,15702000.0,0.0,9911000.0,0.0
2024-03-06,93041249.0,51408139.0,26591194.0,9853058.0,187314968.0,33263000.0,16341000.0,0.0,0.0,0.0
2024-03-07,93026379.0,51423139.0,26611194.0,9248058.0,0.0,33265000.0,17107000.0,0.0,0.0,149043044.0
2024-03-08,92714379.0,51442139.0,0.0,9154058.0,187364968.0,0.0,17507000.0,0.0,0.0,0.0
2024-03-12,92267379.0,51403139.0,26661194.0,0.0,0.0,33263000.0,17920000.0,0.0,0.0,0.0
2024-03-18,92113379.0,51439139.0,0.0,9141058.0,187544968.0,33267000.0,18431000.0,0.0,0.0,0.0
2024-03-19,91084379.0,51478139.0,0.0,13085384.0,187574968.0,33068335.0,19071000.0,530895763.0,0.0,0.0
2024-03-20,91019379.0,51452139.0,0.0,13076384.0,0.0,0.0,19303000.0,530888763.0,0.0,0.0
2024-03-21,90936379.0,51450139.0,26608194.0,13065384.0,0.0,0.0,19383000.0,0.0,0.0,0.0
2024-03-22,90915379.0,51448139.0,26579194.0,13049384.0,0.0,0.0,19503000.0,0.0,0.0,0.0
2024-03-28,90830379.0,51446139.0,26571194.0,13008384.0,0.0,0.0,19803000.0,0.0,0.0,0.0
2024-04-03,89793379.0,51399139.0,26581194.0,12960384.0,0.0,0.0,19959000.0,0.0,0.0,0.0
2024-04-05,89787379.0,51396139.0,26532194.0,12897384.0,0.0,0.0,20203000.0,0.0,0.0,0.0
2024-04-09,89770379.0,51400139.0,0.0,12890384.0,0.0,0.0,20515000.0,530887763.0,0.0,149044044.0
2024-04-11,89712379.0,0.0,0.0,12884384.0,0.0,33069335.0,20522000.0,0.0,9971000.0,149043044.0
2024-04-12,89690379.0,0.0,25599194.0,12875384.0,0.0,33068335.0,21153000.0,0.0,0.0,0.0
2024-04-15,89682379.0,51401139.0,25703194.0,12871384.0,0.0,0.0,21980000.0,0.0,0.0,0.0
2024-04-16,89585379.0,51392139.0,25668194.0,12877384.0,0.0,0.0,22120000.0,0.0,0.0,0.0
2024-04-23,89920379.0,51395139.0,0.0,12353384.0,187594968.0,0.0,23058000.0,0.0,0.0,148838044.0
2024-04-24,87420379.0,51418139.0,0.0,12357384.0,187604968.0,0.0,23210000.0,0.0,0.0,151265044.0
2024-04-25,87389379.0,0.0,0.0,12333384.0,187614968.0,0.0,23281000.0,0.0,9993000.0,151234044.0
2024-04-26,87390379.0,51421139.0,0.0,12326384.0,0.0,0.0,0.0,0.0,10049000.0,151222044.0
2024-05-02,87310379.0,51420139.0,0.0,11964484.0,0.0,33063335.0,23637000.0,0.0,0.0,151075044.0
2024-05-03,87285379.0,51462139.0,25614194.0,12093484.0,187609968.0,0.0,24329000.0,0.0,11371000.0,150365044.0
2024-05-06,87259307.0,51459139.0,25591194.0,12101479.0,0.0,37261335.0,24522000.0,0.0,0.0,150265044.0
2024-05-07,87247307.0,51485139.0,25631194.0,12116479.0,0.0,0.0,24575000.0,0.0,11460000.0,150133044.0
2024-05-08,0.0,0.0,0.0,12129479.0,0.0,54061335.0,24586000.0,530888763.0,0.0,150122044.0
2024-05-09,87251307.0,51508139.0,25621194.0,12157479.0,0.0,0.0,25498000.0,0.0,12211000.0,149659044.0
2024-05-10,87212307.0,51521139.0,0.0,12148479.0,187634968.0,0.0,26381000.0,0.0,12266000.0,0.0
2024-05-13,87207094.0,51549139.0,0.0,12164479.0,187664968.0,54062335.0,26447000.0,530889763.0,0.0,0.0
2024-05-14,87182094.0,51556139.0,0.0,12160479.0,187684968.0,0.0,26477000.0,0.0,0.0,0.0
2024-05-16,87150094.0,51625139.0,0.0,12670479.0,187685968.0,0.0,26456000.0,0.0,0.0,0.0
2024-05-17,87118094.0,51577139.0,25571194.0,12690479.0,187700968.0,54045335.0,26550000.0,0.0,12366000.0,0.0
2024-05-22,86982094.0,51641139.0,25478194.0,12020580.0,0.0,37244335.0,26573000.0,0.0,12511000.0,0.0
2024-05-23,86952094.0,51656139.0,0.0,12034580.0,187721968.0,0.0,0.0,0.0,12611000.0,0.0
2024-05-27,86891094.0,51664139.0,25418194.0,12020580.0,0.0,0.0,26624000.0,530888763.0,12841000.0,0.0
2024-05-28,86855094.0,51634139.0,0.0,12708460.0,0.0,37266335.0,0.0,0.0,12921000.0,0.0
2024-05-31,86799094.0,0.0,0.0,9764160.0,187725968.0,0.0,26680000.0,530889763.0,0.0,0.0
2024-06-04,86722094.0,0.0,0.0,12160487.0,187744968.0,0.0,27172000.0,0.0,12141000.0,0.0
2024-06-05,86679094.0,51487139.0,0.0,11524757.0,187774968.0,0.0,27292000.0,0.0,12051000.0,0.0
2024-06-06,86670094.0,51495139.0,25518194.0,12025722.0,0.0,54064335.0,28011000.0,530899763.0,11535000.0,0.0
2024-06-07,86640094.0,0.0,25558194.0,12045722.0,0.0,0.0,28093000.0,0.0,11383000.0,0.0
2024-06-11,86614094.0,51487139.0,0.0,9334213.0,0.0,0.0,28336000.0,530889763.0,11158000.0,0.0
2024-06-12,86546094.0,51454139.0,0.0,9455213.0,0.0,0.0,28766000.0,0.0,11118000.0,0.0
2024-06-13,86249094.0,51460139.0,25568194.0,8895248.0,0.0,0.0,29672000.0,0.0,11144000.0,0.0
2024-06-14,85949094.0,51453139.0,0.0,0.0,0.0,0.0,30313000.0,0.0,11132000.0,149673044.0
2024-06-17,85895094.0,51434139.0,0.0,0.0,187794968.0,0.0,30995000.0,0.0,11126000.0,0.0
2024-06-18,85824094.0,51446139.0,0.0,8906248.0,0.0,0.0,31244000.0,0.0,11120000.0,0.0
2024-06-20,85809094.0,51425139.0,0.0,0.0,0.0,54065335.0,31411000.0,0.0,11006000.0,0.0
2024-06-25,85764094.0,51405139.0,0.0,8903248.0,0.0,0.0,32212000.0,0.0,10884000.0,149674044.0
2024-07-08,85711094.0,51418139.0,0.0,8922248.0,0.0,53731994.0,32615000.0,530895763.0,11120000.0,0.0
2024-07-10,85740094.0,51424139.0,25700194.0,8936248.0,0.0,52584616.0,33690000.0,0.0,0.0,0.0
2024-07-11,85732094.0,51414139.0,25596194.0,8937248.0,0.0,52028616.0,34180000.0,0.0,11325000.0,0.0
2024-07-15,85705094.0,51440139.0,25434194.0,7928248.0,0.0,0.0,35655000.0,0.0,0.0,0.0
2024-07-19,85690094.0,51434139.0,25433194.0,7908248.0,187877968.0,0.0,0.0,530889763.0,0.0,0.0
2024-07-22,87736094.0,51435139.0,0.0,7895248.0,187897968.0,51898616.0,0.0,0.0,0.0,0.0
2024-07-23,0.0,51440139.0,25382194.0,7907248.0,188253968.0,0.0,0.0,0.0,11120000.0,0.0
2024-07-26,87719094.0,51446139.0,25387194.0,0.0,0.0,0.0,35732000.0,0.0,11125000.0,0.0
2024-08-07,87677094.0,51444139.0,0.0,8382248.0,0.0,0.0,36142000.0,0.0,11179000.0,0.0
2024-08-19,89514379.0,51447139.0,25887194.0,0.0,0.0,51303616.0,0.0,0.0,0.0,149683044.0
2024-10-02,89711531.0,51832139.0,25831194.0,8371248.0,0.0,51111616.0,0.0,530871763.0,0.0,149224944.0
2024-10-03,89639531.0,51869139.0,25897194.0,8417248.0,0.0,50942275.0,0.0,530872763.0,0.0,148978944.0
2024-10-04,89277531.0,51960139.0,25857194.0,8328648.0,0.0,50877275.0,36611000.0,530897763.0,12095000.0,148614944.0
2024-10-07,89251531.0,51991139.0,25833194.0,8299648.0,0.0,50880275.0,0.0,530921763.0,12375000.0,148357944.0
2024-10-08,89247531.0,52106139.0,25821194.0,8265648.0,0.0,0.0,0.0,0.0,12370000.0,148261944.0
2024-10-09,89252531.0,52131139.0,25783194.0,8215648.0,0.0,50884275.0,0.0,530923763.0,0.0,148084944.0
2024-10-10,89244531.0,52189139.0,25758194.0,8252648.0,0.0,50883275.0,0.0,530933763.0,0.0,148086944.0
2024-10-14,89320531.0,52120139.0,25767194.0,8285648.0,0.0,50884275.0,0.0,530949763.0,0.0,148034944.0
2024-10-17,89313531.0,52171139.0,0.0,8312648.0,0.0,50909275.0,0.0,0.0,0.0,148029944.0
2024-10-22,89305531.0,52215139.0,0.0,8311648.0,0.0,50926275.0,0.0,530929763.0,0.0,148011944.0
2024-10-25,89256531.0,52235139.0,0.0,8353648.0,0.0,51331275.0,0.0,0.0,0.0,147926944.0
2024-10-28,89255531.0,52261139.0,0.0,8464648.0,0.0,51303275.0,0.0,0.0,0.0,147916944.0
2024-10-29,89257531.0,52273139.0,0.0,8478648.0,0.0,51405275.0,0.0,0.0,0.0,147907944.0
2024-10-30,89244531.0,52276139.0,25069194.0,8503648.0,0.0,0.0,0.0,530931763.0,12380000.0,0.0
2024-11-08,89192531.0,52280139.0,0.0,9279648.0,0.0,51205275.0,0.0,530936763.0,12628000.0,0.0
2024-11-12,89122531.0,52443139.0,0.0,9269648.0,0.0,50874275.0,0.0,0.0,0.0,147893271.0
2024-12-12,89200479.0,51816139.0,25092194.0,9626648.0,0.0,50108261.0,0.0,530926763.0,0.0,0.0
2024-12-13,89184479.0,51823139.0,25095194.0,0.0,0.0,0.0,0.0,530924763.0,12635000.0,0.0
2024-12-17,89180479.0,51851139.0,25098194.0,9626648.0,0.0,50135261.0,0.0,530927763.0,0.0,0.0
2025-01-02,89158479.0,51715139.0,25124194.0,10224375.0,0.0,49807920.0,0.0,530932763.0,0.0,0.0
2025-01-06,89161479.0,51803139.0,0.0,10235375.0,0.0,49808920.0,0.0,530924763.0,0.0,0.0
2025-01-13,89100479.0,51887139.0,25132194.0,11301375.0,0.0,0.0,0.0,0.0,0.0,147369271.0
2025-01-15,89082479.0,51872139.0,0.0,10799975.0,188776968.0,49792920.0,0.0,530924763.0,12635000.0,0.0
2025-02-06,89104479.0,51865139.0,0.0,10849975.0,0.0,49795920.0,0.0,0.0,12688000.0,0.0
2025-02-11,89121479.0,0.0,25785194.0,11271975.0,0.0,49116237.0,0.0,530926763.0,0.0,0.0
2025-02-12,89109479.0,51845139.0,0.0,10840975.0,0.0,49118237.0,0.0,530924763.0,0.0,0.0
2025-02-14,89105479.0,51860139.0,25773194.0,0.0,0.0,48728237.0,36601000.0,0.0,0.0,0.0
2025-02-17,89117479.0,51883139.0,25763194.0,10710975.0,0.0,0.0,0.0,530928763.0,0.0,0.0
2025-02-19,89140479.0,51878139.0,25752194.0,10710975.0,0.0,0.0,0.0,530926763.0,0.0,0.0
2025-02-25,89149483.0,51873139.0,25673194.0,0.0,0.0,0.0,0.0,530926763.0,0.0,147372276.0
2025-03-03,89156483.0,51969139.0,25634194.0,0.0,0.0,0.0,0.0,0.0,12635000.0,147373276.0
2025-03-05,89067483.0,51961139.0,25814194.0,10712975.0,0.0,48729237.0,0.0,0.0,0.0,147372276.0
2025-03-07,89104483.0,51946139.0,25771194.0,10713975.0,0.0,0.0,0.0,530924763.0,0.0,0.0
2025-03-12,89081483.0,52103139.0,25778194.0,10708975.0,0.0,0.0,0.0,530928763.0,0.0,147377276.0
2025-03-18,89148495.0,53071139.0,25743194.0,10676975.0,188785968.0,48311237.0,0.0,530950763.0,0.0,0.0
2025-03-19,89225495.0,53697139.0,25725194.0,10046975.0,188776968.0,48411237.0,0.0,530921763.0,0.0,0.0
2025-03-31,87313986.0,53459139.0,25828194.0,12127484.0,0.0,0.0,0.0,530923763.0,0.0,0.0
2025-04-01,87312986.0,53446139.0,25980194.0,0.0,0.0,48585237.0,0.0,530921763.0,0.0,0.0
2025-04-02,87310986.0,53097139.0,26099194.0,12123278.0,0.0,48758237.0,0.0,530926763.0,0.0,0.0
2025-04-15,87142986.0,52738139.0,26217194.0,12127278.0,0.0,48903237.0,0.0,530932763.0,0.0,0.0
2025-04-16,87058986.0,53038139.0,26198194.0,12558278.0,0.0,48901237.0,0.0,530931763.0,0.0,0.0
