date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,DBS BANK (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,HAFOO SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-18,37316000.0,7781000.0,0.0,2504000.0,11360000.0,0.0,64326000.0,0.0,0.0
2024-03-28,37376000.0,8549000.0,0.0,2656000.0,11344000.0,0.0,64934000.0,0.0,0.0
2024-04-05,37292000.0,8673000.0,0.0,2676000.0,11344000.0,0.0,64950000.0,0.0,0.0
2024-04-17,37952000.0,9317000.0,0.0,0.0,11352000.0,0.0,65122000.0,16148000.0,0.0
2024-04-25,37988000.0,9753000.0,0.0,3620000.0,11344000.0,0.0,65094000.0,16168000.0,0.0
2024-04-26,38000000.0,9777000.0,0.0,3472000.0,0.0,0.0,65194000.0,0.0,74580000.0
2024-04-29,37948000.0,9541000.0,0.0,3796000.0,11404000.0,0.0,0.0,16196000.0,0.0
2024-04-30,0.0,9545000.0,0.0,3792000.0,11448000.0,0.0,64674000.0,0.0,74732000.0
2024-05-02,37928000.0,9593000.0,0.0,3796000.0,11464000.0,0.0,64590000.0,0.0,0.0
2024-05-08,37928000.0,9713000.0,0.0,3608000.0,11352000.0,0.0,64570000.0,0.0,0.0
2024-05-13,37684000.0,10781000.0,0.0,3788000.0,0.0,0.0,62590000.0,16052000.0,0.0
2024-05-14,37040000.0,9717000.0,0.0,5000000.0,11428000.0,0.0,61438000.0,0.0,74860000.0
2024-05-16,29284000.0,11529000.0,0.0,13636000.0,11960000.0,25134000.0,50318000.0,16948000.0,75668000.0
2024-05-17,32688000.0,15493000.0,0.0,17404000.0,12432000.0,0.0,49974000.0,19016000.0,0.0
2024-05-20,34092000.0,14829000.0,0.0,19064000.0,12494000.0,0.0,50034000.0,18488000.0,75740000.0
2024-05-21,34832000.0,14973000.0,0.0,19000000.0,12296000.0,0.0,0.0,17120000.0,75640000.0
2024-05-22,31800000.0,18413000.0,0.0,16760000.0,12056000.0,0.0,50982000.0,16736000.0,75212000.0
2024-05-23,31352000.0,19181000.0,0.0,17464000.0,12220000.0,0.0,51634000.0,17156000.0,0.0
2024-05-27,30648000.0,18025000.0,0.0,17216000.0,12196000.0,0.0,0.0,16996000.0,0.0
2024-05-28,29812000.0,18689000.0,0.0,17084000.0,12300000.0,0.0,51594000.0,0.0,75140000.0
2024-05-29,29924000.0,18145000.0,0.0,17416000.0,12304000.0,0.0,51722000.0,17036000.0,0.0
2024-05-30,29984000.0,17913000.0,0.0,17296000.0,12296000.0,0.0,51718000.0,0.0,0.0
2024-05-31,30208000.0,15721000.0,0.0,17864000.0,12340000.0,0.0,51250000.0,16964000.0,0.0
2024-06-03,30008000.0,14613000.0,0.0,18320000.0,12320000.0,0.0,51366000.0,0.0,75060000.0
2024-06-04,30264000.0,14509000.0,0.0,18648000.0,12300000.0,0.0,51334000.0,0.0,0.0
2024-06-05,0.0,14109000.0,0.0,18712000.0,12212000.0,0.0,51382000.0,17116000.0,0.0
2024-06-07,30244000.0,14881000.0,0.0,19220000.0,0.0,0.0,51342000.0,16960000.0,0.0
2024-06-11,0.0,14929000.0,0.0,18960000.0,12276000.0,0.0,51298000.0,16896000.0,0.0
2024-06-14,29876000.0,15381000.0,0.0,19160000.0,12480000.0,0.0,50974000.0,0.0,0.0
2024-10-08,30752000.0,12293000.0,0.0,18624000.0,0.0,0.0,51754000.0,23968000.0,0.0
2024-10-09,30852000.0,12241000.0,0.0,18048000.0,0.0,0.0,52058000.0,24388000.0,0.0
2025-01-24,27248000.0,12821000.0,0.0,21976000.0,12060000.0,0.0,52282000.0,26492000.0,0.0
2025-01-27,28676000.0,14145000.0,0.0,20388000.0,11736000.0,0.0,52306000.0,26312000.0,74552000.0
2025-02-03,28288000.0,14021000.0,0.0,20324000.0,11728000.0,0.0,52250000.0,26656000.0,74472000.0
2025-02-05,28292000.0,14061000.0,0.0,22580000.0,11724000.0,0.0,51854000.0,0.0,0.0
