date,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CLSA LTD,TIGER BROKERS (HK) GLOBAL LTD
2024-03-01,29931000.0,124411120.0,104170000.0,20055828.0,30206443.0,26517864.0,25765000.0,18189000.0,0.0,11328000.0
2024-03-04,28806000.0,124294120.0,103042000.0,26677631.0,27869443.0,26233864.0,25766000.0,18164000.0,0.0,11245000.0
2024-03-05,28683000.0,125041120.0,102905000.0,29047379.0,28573443.0,26132864.0,25675000.0,17835000.0,0.0,11272000.0
2024-03-06,28403000.0,123615120.0,102799000.0,30279337.0,28213443.0,26118864.0,25411000.0,17279000.0,0.0,11341000.0
2024-03-07,29792000.0,123419120.0,102733000.0,33584720.0,27636443.0,26196864.0,25548000.0,17043000.0,0.0,11423000.0
2024-03-08,30044000.0,123452120.0,102762000.0,32266268.0,27557443.0,26256864.0,25634000.0,16831000.0,0.0,11196000.0
2024-03-11,30173001.0,123602120.0,102539000.0,10955651.0,27304443.0,25704864.0,25581000.0,16780000.0,0.0,10991000.0
2024-03-12,30237001.0,124038120.0,102618000.0,10186741.0,26828443.0,25549864.0,25607000.0,16778000.0,0.0,11001000.0
2024-03-13,29713001.0,123894120.0,102551000.0,11443825.0,26649443.0,25194864.0,25675000.0,16773000.0,0.0,11012000.0
2024-03-14,29877001.0,124150120.0,102557000.0,12169707.0,25874443.0,25022864.0,25437000.0,16808000.0,0.0,11011000.0
2024-03-15,29865001.0,123939120.0,102553000.0,11991207.0,25995443.0,24475864.0,25384000.0,16767000.0,0.0,11010000.0
2024-03-18,29629001.0,123843120.0,102630000.0,11957207.0,25811443.0,23879864.0,24813000.0,17693000.0,0.0,10951000.0
2024-03-19,29283001.0,123559120.0,102650000.0,11883585.0,25705443.0,23897864.0,24785000.0,17695000.0,0.0,11021000.0
2024-03-20,29216001.0,120970120.0,102649000.0,11736885.0,25293443.0,23433864.0,24649000.0,17315000.0,0.0,11008000.0
2024-03-21,29326001.0,121379120.0,102670000.0,11451485.0,25237443.0,23428864.0,24709000.0,17317000.0,0.0,11010000.0
2024-03-22,29308001.0,121252120.0,102671000.0,11862765.0,25358443.0,22770864.0,24700000.0,17320000.0,0.0,11001000.0
2024-03-25,29114001.0,121554120.0,102667000.0,11739765.0,25143443.0,22866864.0,24608000.0,17071000.0,0.0,11011000.0
2024-03-26,29168001.0,121596120.0,102689000.0,11690485.0,25149443.0,22846864.0,24725000.0,16979000.0,0.0,11022000.0
2024-03-27,29556001.0,120480120.0,102700000.0,8886144.0,25080443.0,22337864.0,24849000.0,17032000.0,0.0,11076000.0
2024-03-28,29674001.0,121831120.0,102670000.0,11233588.0,24895443.0,22516864.0,24881000.0,17055000.0,0.0,11274000.0
2024-04-02,28623001.0,121963120.0,102677000.0,11572952.0,24962443.0,21506468.0,24482000.0,17496000.0,0.0,11432000.0
2024-04-03,28700001.0,122171120.0,102686000.0,11370196.0,24803443.0,21028016.0,24504000.0,17497000.0,0.0,11404000.0
2024-04-05,28761001.0,122191120.0,102040000.0,10973533.0,24661443.0,20148016.0,25525000.0,17377000.0,0.0,11403000.0
2024-04-08,29220001.0,121487120.0,0.0,11498098.0,24683443.0,20143016.0,25545000.0,17375000.0,0.0,11354000.0
2024-04-09,29189001.0,122046120.0,0.0,11309298.0,24033443.0,20161016.0,25507000.0,17544000.0,0.0,11349000.0
2024-04-10,29248001.0,122186120.0,0.0,11355999.0,23873443.0,20051529.0,25491000.0,17543000.0,0.0,11346000.0
2024-04-11,29344001.0,121795120.0,101315000.0,11415999.0,23842443.0,20050529.0,25488000.0,17544000.0,0.0,11326000.0
2024-04-12,29501001.0,121748120.0,0.0,11390999.0,23832443.0,20068529.0,25471000.0,17543000.0,0.0,11333000.0
2024-04-15,29254001.0,121852120.0,101275000.0,11226173.0,23653443.0,20023529.0,25302000.0,17617000.0,0.0,11325000.0
2024-04-16,29228001.0,122058120.0,0.0,11230173.0,23592443.0,20700529.0,25278000.0,17619000.0,0.0,0.0
2024-04-17,29386001.0,121836120.0,0.0,11031673.0,23467443.0,20802529.0,25320000.0,0.0,0.0,11327000.0
2024-04-18,29621001.0,122143120.0,0.0,11041673.0,22584443.0,21498589.0,25365000.0,0.0,0.0,11334000.0
2024-04-19,29153001.0,122312120.0,0.0,11035673.0,22366443.0,21189589.0,25354000.0,0.0,0.0,11497000.0
2024-04-22,29370001.0,122334120.0,0.0,10981673.0,21722443.0,20285589.0,25558000.0,17618000.0,0.0,11641000.0
2024-04-23,29337001.0,122336120.0,0.0,11521054.0,21646443.0,20000589.0,25696000.0,0.0,0.0,11803000.0
2024-04-24,29246001.0,122027120.0,0.0,11863880.0,21424443.0,20012589.0,25744000.0,17549000.0,0.0,11870000.0
2024-04-25,29215001.0,121926120.0,101448000.0,12984288.0,21937443.0,20000589.0,25690000.0,17385000.0,0.0,11887000.0
2024-04-26,29122001.0,121531120.0,101460000.0,13871941.0,22042443.0,0.0,25659000.0,17396000.0,0.0,11643000.0
2024-04-29,29985001.0,121904120.0,101542000.0,13291768.0,21297443.0,20126589.0,25269000.0,17397000.0,0.0,11934000.0
2024-04-30,29934201.0,121243120.0,101452000.0,13317768.0,21014443.0,20270589.0,25203000.0,17424000.0,0.0,11855000.0
2024-05-02,29832201.0,121748120.0,101454000.0,12261768.0,21443443.0,20139589.0,25004000.0,17476000.0,0.0,12178000.0
2024-05-03,30038200.0,121677120.0,101461000.0,8105849.0,21432443.0,20140589.0,24972000.0,17475000.0,0.0,12359000.0
2024-05-06,29810200.0,121723120.0,101401000.0,7925349.0,21457443.0,20135589.0,24894000.0,17776000.0,0.0,12731000.0
2024-05-07,29631200.0,121593120.0,101169000.0,8511349.0,21509443.0,20202589.0,24549000.0,17963000.0,0.0,12773000.0
2024-05-08,29444200.0,121128120.0,101172000.0,7728149.0,21904443.0,20348589.0,0.0,18571000.0,0.0,12981000.0
2024-05-09,29484200.0,121346120.0,0.0,8134049.0,21699443.0,20123589.0,24532000.0,18669000.0,0.0,13006000.0
2024-05-10,29724200.0,121317120.0,101112000.0,12508265.0,21597443.0,20127589.0,24569000.0,18675000.0,0.0,12994000.0
2024-05-13,28780200.0,121058120.0,101036000.0,13916017.0,21250443.0,20079589.0,23840000.0,18748000.0,0.0,12991000.0
2024-05-14,29008200.0,120932120.0,100989000.0,14145617.0,21107443.0,21100646.0,22426000.0,18686000.0,0.0,13063000.0
2024-05-16,29450200.0,120908120.0,101018000.0,13233518.0,21112443.0,20436377.0,21653000.0,18668000.0,0.0,13152000.0
2024-05-17,29967200.0,121181120.0,101140000.0,14528206.0,22374443.0,20535377.0,20782000.0,15676000.0,0.0,13105000.0
2024-05-20,31330200.0,121254120.0,101154000.0,14139676.0,22305443.0,20142377.0,20807000.0,15795000.0,0.0,13201000.0
2024-05-21,31468200.0,121378120.0,101115000.0,13938896.0,22478443.0,20678377.0,21209000.0,16004000.0,0.0,13392000.0
2024-05-22,31389200.0,121182120.0,0.0,13720896.0,22332443.0,20609377.0,20571000.0,16087000.0,0.0,13367000.0
2024-05-23,31275200.0,121464120.0,61115000.0,53772682.0,22114443.0,20116377.0,20701000.0,16240000.0,0.0,13424000.0
2024-05-24,31218200.0,121232120.0,0.0,53684882.0,22087443.0,20107377.0,20696000.0,16161000.0,0.0,13441000.0
2024-05-27,31268200.0,121482120.0,0.0,53465582.0,22078443.0,0.0,20597000.0,16167000.0,0.0,13542000.0
2024-05-28,31503200.0,121215120.0,60835000.0,53213582.0,21973443.0,20104377.0,20704000.0,16132000.0,0.0,13657000.0
2024-05-29,31787200.0,121648120.0,0.0,53049582.0,21750443.0,20147377.0,20737000.0,15812000.0,0.0,13663000.0
2024-05-30,31817200.0,121718120.0,0.0,52987504.0,21690443.0,20080377.0,21561000.0,15381000.0,0.0,13692000.0
2024-05-31,32070200.0,121790120.0,0.0,52636304.0,21838443.0,20000377.0,21568000.0,0.0,0.0,13703000.0
2024-06-03,32287200.0,121803120.0,60815000.0,59150650.0,21997443.0,0.0,21580000.0,15383000.0,0.0,13756000.0
2024-06-04,33236568.0,121847120.0,0.0,58915650.0,21481443.0,0.0,21560000.0,15364000.0,0.0,13810000.0
2024-06-05,33637723.0,121664120.0,0.0,58755477.0,21506443.0,20005572.0,21755000.0,15199000.0,0.0,14088000.0
2024-06-06,34117723.0,121567120.0,60841000.0,58735477.0,21976443.0,20004572.0,21717000.0,15198000.0,0.0,14037000.0
2024-06-07,34283723.0,121661120.0,60186000.0,59076147.0,22170443.0,20184572.0,21705000.0,15260000.0,0.0,14130000.0
2024-06-11,34695723.0,121679120.0,60128000.0,58960020.0,22205443.0,20243572.0,21769000.0,15380000.0,0.0,14262000.0
2024-06-12,35088723.0,121666120.0,0.0,58760420.0,22160443.0,20008572.0,21792000.0,0.0,0.0,14323000.0
2024-06-13,35077723.0,121673120.0,0.0,59056710.0,22303443.0,20019572.0,21757000.0,15510000.0,0.0,14329000.0
2024-06-14,35056723.0,121608120.0,0.0,52112164.0,22419443.0,20038572.0,21812000.0,15210000.0,0.0,14344000.0
2024-06-17,35301723.0,121731120.0,60089000.0,51079874.0,22411443.0,20175572.0,21897000.0,14516000.0,0.0,14546000.0
2024-06-18,35415723.0,121859120.0,60092000.0,52055564.0,22669443.0,20260572.0,0.0,14352000.0,0.0,14644000.0
2024-06-19,0.0,121869120.0,0.0,54272895.0,22600443.0,20230572.0,21875000.0,0.0,0.0,14643000.0
2024-06-20,35427723.0,121699120.0,60023000.0,55373751.0,22509443.0,20130572.0,22065000.0,14402000.0,0.0,14640000.0
2024-06-21,35421723.0,121225120.0,60003000.0,55309874.0,22290443.0,20015572.0,22231000.0,14401000.0,0.0,14634000.0
