date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,43.931884076487975,9.650010481629701,4.711823136340213,2.280822687262714,6.3406051709688676,2.959699908338976,0.0,0.0,0.0
2024-03-04,43.95374643731063,0.0,4.714378477215587,2.280538760498784,6.342498016061738,2.9578070632461064,0.0,0.0,0.0
2024-03-05,44.10943294619919,9.704902989322935,4.6588707948671715,2.2796869802069923,6.334926635690256,2.955819575898593,0.0,0.4479891123550258,0.0
2024-03-06,44.10157763906378,9.620257985321933,4.649974422930683,2.281958394318436,6.338712325875997,0.0,0.0,0.0,0.0
2024-03-07,44.1151114814778,9.620352627576576,4.641645904522054,2.283661954902019,6.331140945504517,0.0,0.0,0.0,0.0
2024-03-08,44.12239893508535,9.615431230335114,4.699377679854591,2.283094101374158,6.332087368050951,2.952128527967496,0.0,0.0,0.0
2024-03-11,44.14653271001944,9.619216920520854,0.0,2.283378028138089,6.330005238448795,0.0,0.0,0.0,0.0
2024-03-12,44.14501843394515,9.621488334632298,4.698052688289582,2.2843244506845237,6.330573091976656,0.0,0.0,0.0,0.0
2024-03-13,44.15561836646522,9.615809799353688,0.0,2.289813701453847,6.330951660995229,0.0,0.0,0.0,0.0
2024-03-14,44.11359720540351,9.614295523279392,4.6876420402787975,2.2992779269181973,6.326030263753768,0.0,1.898050416875471,0.0,0.0
2024-03-15,44.10829723914347,9.613916954260818,0.0,2.299183284663554,0.0,2.950235682874626,1.8979557746208278,0.0,0.0
2024-03-18,44.12987567320219,9.612970531714383,4.679029595106239,2.298994000154267,6.323758849642323,0.0,0.0,0.0,0.0
2024-03-19,44.25442488031304,9.611456255640087,4.631045972001982,2.293315464875657,0.0,0.0,0.0,0.0,0.0
2024-03-20,44.25830521275343,9.614295523279392,0.0,2.2971011550613967,6.321866004549453,0.0,0.0,0.0,0.0
2024-03-21,44.28366933699789,0.0,4.629247769163755,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,44.205684119171636,9.621866903650872,4.629153126909111,2.3877684350098733,6.322623142586601,0.0,0.0,0.0,0.0
2024-03-25,44.22413935882712,9.616197643313216,0.0,2.3895666378481004,0.0,2.9508981786571304,0.0,0.0,0.0
2024-03-26,44.224612570100334,9.585297136456623,4.629815622691616,2.3933523280338402,0.0,2.9527910237500006,0.0,0.0,0.0
2024-03-27,44.22309829402604,9.589650680170223,4.6194996169354745,2.3988415788031636,0.0,0.0,0.0,0.0,0.0
2024-03-28,44.194043121850484,0.0,4.6198781859540485,2.399314790076381,0.0,2.9459767814156685,0.0,0.0,0.0
2024-04-02,44.17710215826929,9.594761361920973,0.0,2.394204108325632,6.322717784841244,0.0,0.0,0.0,0.0
2024-04-03,44.195841324688715,9.428427599385014,4.619404974680831,2.4010183506599643,0.0,2.908119879558267,0.0,0.0,0.0
2024-04-05,44.217609043256715,0.0,4.615146073221873,2.4156879001297074,6.32073029749373,2.9062270344653967,0.0,0.0,0.0
2024-04-08,44.262090902939164,0.0,4.6064389857946715,2.41521468885649,6.330857018740586,0.0,0.0,0.0,0.0
2024-04-09,0.0,9.423884771162125,4.607669335105037,2.4205146551165257,6.332749863833456,0.0,0.0,0.0,0.0
2024-04-10,44.34523412364348,0.0,4.600760450516061,2.364202513603641,0.0,2.9005484991867863,0.0,0.0,0.0
2024-04-11,44.51047950025104,9.446807125236784,4.597353329348895,2.3536972233382123,6.329248100411647,0.0,0.0,0.0,0.0
2024-04-12,44.6013360647088,9.453999936589689,4.584292698208091,2.3631614488025625,6.33123558775916,0.0,0.0,0.0,0.0
2024-04-15,44.764499311714204,0.0,4.581264146059499,2.364391798112928,6.329815953939508,0.0,0.0,0.0,0.0
2024-04-16,44.85914156635771,9.457217773247569,4.5648910360061725,2.3644864403675716,6.330951660995229,0.0,0.0,0.0,0.0
2024-04-17,44.969873004290605,9.459687936093763,4.564796393751529,2.3787774208187407,6.359817548661498,0.0,0.0,0.0,0.0
2024-04-18,45.13701122599103,9.454766538852303,0.0,2.3761274376887225,6.354801509165392,2.9052806119189616,0.0,0.0,0.0
2024-04-19,45.11032211018157,9.444355890841516,4.484312620402693,2.367514992516164,6.317796387599782,2.910959147197572,0.0,0.0,0.0
2024-04-22,45.05372604190475,9.445652489730131,4.486016180986276,2.3748970883783573,6.315146404469764,2.908119879558267,0.0,0.0,2.0186250278603137
2024-04-23,44.98406934248713,9.44582284578849,4.487814383824503,2.3761274376887225,6.315004441087798,2.9033877668260915,0.0,0.0,0.0
2024-04-24,44.93883034476754,9.291416278751726,4.611620459951894,2.363256091057206,6.3181276354910345,2.9018734907517953,0.0,0.0,2.0167321827674436
2024-04-25,44.85270589304195,9.276699597439169,4.60934904584045,2.3866327279541513,6.313206238249573,2.917300178258687,0.0,0.0,0.0
2024-04-26,44.9357071503643,9.275753174892735,4.617015068466573,2.386159516680934,6.309704474827763,2.917016251494756,0.0,0.0,0.0
2024-04-29,44.94990348856083,0.0,4.612661524752972,2.3860648744262907,6.31017768610098,0.0,0.0,0.0,0.0
2024-04-30,44.96798015919774,9.300360161100047,4.614459727591198,2.3728149587761997,6.316518717162095,2.890327135685288,0.0,0.0,0.0
2024-05-02,44.96353197322949,9.294208414548217,4.602866051397369,2.3713953249565476,6.304688435331657,0.0,0.0,0.4477998278457388,0.0
2024-05-03,45.02060125277953,9.284649546829224,4.409915858303509,2.36363466007578,0.0,2.888434290592418,0.0,0.0,0.0
2024-05-06,0.0,9.293924487784286,0.0,2.362120384001484,6.310366970610268,0.0,0.0,0.0,0.0
2024-05-07,0.0,9.294208414548217,4.411808703396379,2.3618364572375534,6.3058241423873795,0.0,0.0,0.0,0.0
2024-05-08,44.896288651305284,9.288151310251033,4.575808966501847,2.3789193842007057,6.293709933793011,0.0,0.0,0.0,0.0
2024-05-09,44.93783660109378,0.0,4.577323242576143,2.378162246163558,6.28424570832866,2.8887182173563484,1.8979084534935058,0.0,0.0
2024-05-10,44.962443587301095,9.278403158022753,4.7748747528062605,2.3668998178609812,6.285759984402957,0.0,0.0,0.0,0.0
2024-05-13,44.85436213249821,9.267613940993394,4.886074669899646,2.4225494635913614,6.2759171899200314,2.9455035701424506,0.0,0.44704268980859074,2.020517872953184
