date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,BNP PARIBAS,BOCI SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-05,0.0,24748665.0,8261600.0,3754000.0,182700.0,0.0,0.0,0.0,984428.0,13962612.0
2024-03-07,0.0,24751665.0,8285600.0,3747000.0,169700.0,195591000.0,0.0,0.0,0.0,0.0
2024-03-11,34063522.0,24789665.0,8292600.0,3741000.0,150700.0,0.0,0.0,0.0,985428.0,0.0
2024-03-26,0.0,24862665.0,8201600.0,3798000.0,0.0,195545000.0,0.0,0.0,0.0,14107912.0
2024-03-28,34052522.0,24879497.0,8199600.0,3811000.0,152700.0,0.0,0.0,0.0,0.0,14105912.0
2024-04-03,0.0,24797497.0,8200600.0,3830000.0,150700.0,195566000.0,0.0,0.0,1015428.0,14125912.0
2024-04-05,0.0,24805497.0,8215600.0,3823000.0,0.0,195595000.0,0.0,2304000.0,0.0,0.0
2024-04-09,0.0,24769497.0,8113600.0,3862000.0,0.0,195662000.0,0.0,0.0,0.0,14135912.0
2024-04-30,0.0,24716497.0,8062600.0,4388000.0,159700.0,0.0,0.0,0.0,0.0,14134912.0
2024-05-02,34051042.0,24800497.0,8034600.0,4423000.0,179700.0,195428000.0,0.0,0.0,0.0,14078912.0
2024-05-03,0.0,24891497.0,8009600.0,4421000.0,193700.0,0.0,0.0,0.0,1014428.0,0.0
2024-05-06,0.0,24889497.0,7999600.0,4354000.0,0.0,195528000.0,0.0,0.0,0.0,14095912.0
2024-05-07,0.0,24958497.0,7967600.0,4340000.0,0.0,0.0,0.0,2335000.0,0.0,14070912.0
2024-05-08,34045042.0,24932497.0,7981600.0,4335000.0,0.0,195543000.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,24905497.0,7996600.0,4334000.0,0.0,195597000.0,0.0,0.0,1003428.0,0.0
2024-05-14,0.0,24934497.0,8062600.0,4318000.0,176700.0,195600000.0,0.0,0.0,0.0,14074912.0
2024-05-21,0.0,25028497.0,8076600.0,4302000.0,176700.0,0.0,0.0,0.0,0.0,14071912.0
2024-05-22,0.0,25029497.0,8097600.0,4287000.0,166700.0,0.0,0.0,0.0,999428.0,0.0
2024-05-23,0.0,24914497.0,8053600.0,4289000.0,180700.0,195701000.0,0.0,0.0,0.0,0.0
