date,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CMB INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD
2024-05-13,548644778.0,10473386.0,7168516.0,22325030.0,0.0,0.0,0.0,119848120.0,0.0
2024-05-14,547244778.0,9975386.0,7108516.0,25791030.0,21400000.0,0.0,0.0,119469120.0,0.0
2024-05-21,546994778.0,11871386.0,6531516.0,18878030.0,21349000.0,0.0,48658000.0,121944120.0,0.0
2024-05-22,546644778.0,12226386.0,8801516.0,18243030.0,0.0,0.0,49613000.0,121388120.0,0.0
2024-05-23,0.0,13342386.0,9478516.0,18143030.0,0.0,0.0,49645000.0,121524120.0,0.0
2024-05-24,545317778.0,13413386.0,10182516.0,0.0,21401000.0,0.0,49737000.0,121279120.0,0.0
2024-05-27,543829778.0,13034386.0,9878516.0,0.0,0.0,0.0,49883000.0,121153120.0,0.0
2024-05-31,537288778.0,12876386.0,10467516.0,0.0,0.0,0.0,49957000.0,121188120.0,0.0
2024-06-03,537284778.0,12246386.0,10751516.0,0.0,0.0,0.0,50117000.0,121348120.0,0.0
2024-06-06,530818778.0,12500386.0,10267516.0,0.0,0.0,0.0,52026000.0,122077120.0,0.0
2024-06-07,530240778.0,12972386.0,11815516.0,16551030.0,0.0,0.0,52703000.0,122538120.0,0.0
2024-06-11,529740778.0,13133386.0,11724516.0,0.0,0.0,0.0,52861000.0,121648120.0,0.0
2024-06-12,529440778.0,13233386.0,11962516.0,0.0,21680000.0,409815918.0,0.0,121758120.0,0.0
2024-06-14,529460778.0,13058386.0,12161516.0,0.0,0.0,0.0,52909000.0,121844120.0,0.0
2024-06-18,528892778.0,16499386.0,12489516.0,0.0,0.0,0.0,53126000.0,121884120.0,0.0
2024-06-19,528592778.0,16286386.0,12387516.0,0.0,0.0,0.0,53204000.0,122484120.0,0.0
2024-06-21,527493778.0,16439386.0,12813516.0,0.0,0.0,409825918.0,52868000.0,122911120.0,0.0
2024-07-02,526188778.0,16233386.0,0.0,16606030.0,0.0,409815918.0,0.0,122711120.0,0.0
2024-07-04,525888778.0,16515386.0,13231516.0,17360030.0,0.0,0.0,0.0,122681120.0,0.0
2024-07-16,524157778.0,17700386.0,13673516.0,16732030.0,0.0,0.0,52938000.0,122413120.0,0.0
2024-07-17,523857778.0,19089386.0,13748516.0,0.0,0.0,409841918.0,0.0,122203120.0,0.0
2024-07-19,523280778.0,19526386.0,14110516.0,0.0,0.0,0.0,52884000.0,122393120.0,0.0
2024-08-13,521058978.0,19630386.0,14433516.0,16982030.0,0.0,0.0,52884000.0,0.0,0.0
2024-08-22,520432978.0,19075386.0,0.0,17067030.0,0.0,0.0,52864000.0,121253120.0,0.0
2024-11-07,504114978.0,40786386.0,15635516.0,17147030.0,0.0,0.0,51647000.0,121880120.0,0.0
2025-02-20,447956978.0,61420386.0,24314516.0,0.0,0.0,0.0,0.0,122357468.0,19306000.0
2025-02-28,436020978.0,64589386.0,28541516.0,19868030.0,0.0,0.0,0.0,0.0,19306000.0
2025-04-25,379875978.0,90434386.0,35922516.0,23349030.0,0.0,0.0,0.0,0.0,19306000.0
