date,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,ADVENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,GAOYU SECURITIES LIMITED,INNOVAX SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD
2024-03-04,87915000.0,42500000.0,0.0,67165000.0,45820000.0,0.0,0.0,0.0,0.0,161130000.0
2024-03-06,100690000.0,41775000.0,0.0,67090000.0,44890000.0,0.0,0.0,0.0,30065100.0,161135000.0
2024-03-07,100710000.0,42240000.0,0.0,0.0,44345000.0,0.0,0.0,10845000.0,29965100.0,161285000.0
2024-03-14,89875000.0,46215000.0,0.0,66740000.0,0.0,0.0,0.0,10785000.0,29815100.0,161415000.0
2024-03-15,89345000.0,52000000.0,0.0,66590000.0,0.0,0.0,0.0,12840000.0,0.0,161445000.0
2024-03-18,89540000.0,51500000.0,0.0,66540000.0,44110000.0,0.0,0.0,0.0,29885100.0,0.0
2024-03-19,89635000.0,51510000.0,0.0,66520000.0,44225000.0,0.0,0.0,12445000.0,30315100.0,0.0
2024-03-21,89610000.0,51510000.0,0.0,66380000.0,44390000.0,0.0,0.0,12495000.0,30185100.0,161480000.0
2024-03-22,89615000.0,51440000.0,0.0,0.0,44440000.0,0.0,0.0,13115000.0,30140100.0,161445000.0
2024-03-25,88880000.0,51450000.0,0.0,66230000.0,43455000.0,0.0,0.0,16575000.0,0.0,160855000.0
2024-03-26,88475000.0,51465000.0,0.0,65750000.0,43430000.0,0.0,0.0,16970000.0,30265100.0,0.0
2024-03-27,88690000.0,51470000.0,0.0,65690000.0,43440000.0,0.0,0.0,17205000.0,0.0,0.0
2024-03-28,89055000.0,51480000.0,0.0,65600000.0,43240000.0,0.0,0.0,17525000.0,0.0,0.0
2024-04-03,87780000.0,51485000.0,0.0,0.0,43130000.0,0.0,0.0,22465000.0,29840100.0,0.0
2024-04-05,87665000.0,0.0,0.0,0.0,42870000.0,0.0,0.0,22600000.0,30040100.0,148095000.0
2024-04-10,96050000.0,40450000.0,0.0,65475000.0,42165000.0,0.0,0.0,22470000.0,29540100.0,150505000.0
2024-04-11,95640000.0,41430000.0,0.0,65410000.0,42025000.0,0.0,0.0,0.0,29515100.0,150705000.0
2024-04-12,97105000.0,41825000.0,0.0,64170000.0,0.0,0.0,0.0,0.0,30300100.0,151360000.0
2024-04-15,88035000.0,41340000.0,0.0,64345000.0,41940000.0,0.0,0.0,22250000.0,30800100.0,0.0
2024-04-16,87780000.0,0.0,0.0,0.0,41840000.0,0.0,0.0,22400000.0,30805100.0,151610000.0
2024-04-19,91860000.0,0.0,0.0,63975000.0,41750000.0,0.0,0.0,22460000.0,28730100.0,151625000.0
