date,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,1432848134.0,991153076.0,236069598.0,57875173.0,44610819.0,118210662.0,28150235.0,35655235.0,74239037.0
2024-03-04,1432889456.0,988917649.0,234250860.0,57835954.0,44740009.0,122749462.0,26379192.0,35719245.0,48335489.0
2024-03-05,1432959840.0,986306813.0,235539090.0,57048354.0,44879409.0,123663462.0,26818731.0,35201964.0,50726598.0
2024-03-06,1432939815.0,984241191.0,247601519.0,55948354.0,45649794.0,123132462.0,25790620.0,35832779.0,51005267.0
2024-03-07,1432875135.0,980993364.0,249647753.0,55775954.0,45833682.0,122362062.0,25984620.0,35782091.0,54915380.0
2024-03-08,1436381814.0,975992536.0,238199031.0,55732754.0,46029202.0,122551118.0,23495771.0,35860971.0,53622415.0
2024-03-11,1434377144.0,974312207.0,236481980.0,55592754.0,46003787.0,122560718.0,22231810.0,35677186.0,53264267.0
2024-03-12,1440395561.0,969509793.0,236275761.0,55726354.0,45995263.0,121599718.0,22098696.0,35756110.0,54409867.0
2024-03-13,1441843662.0,969109233.0,233557840.0,55596754.0,45855547.0,124148918.0,22201892.0,35665826.0,54803417.0
2024-03-14,1441619861.0,968484762.0,231274260.0,55775154.0,45905781.0,123315188.0,22855307.0,35564650.0,55504677.0
2024-03-15,1441761083.0,965411451.0,231149644.0,55676754.0,45746199.0,123332882.0,22207731.0,35520232.0,55634397.0
2024-03-18,1441675521.0,960893730.0,233661101.0,55933954.0,45598872.0,123241282.0,22111753.0,35475959.0,57597836.0
2024-03-19,1451274246.0,948446569.0,235335168.0,56448354.0,45603547.0,122972882.0,22009809.0,35591684.0,57564282.0
2024-03-20,1449744015.0,945701101.0,237732715.0,56403154.0,45661995.0,124474482.0,22008824.0,35644836.0,58534282.0
2024-03-21,1449833193.0,945026942.0,239380359.0,56368754.0,45698795.0,123474482.0,21707188.0,35674836.0,59178637.0
2024-03-22,1450054303.0,945921675.0,241008643.0,56305154.0,45760395.0,123526464.0,21732816.0,35666036.0,53378119.0
2024-03-25,1449823405.0,946733603.0,241365297.0,56336354.0,45614795.0,123428264.0,22058416.0,35478836.0,52296080.0
2024-03-26,1450812605.0,947817150.0,238846136.0,56203154.0,45206599.0,124345464.0,21878816.0,35392732.0,53823072.0
2024-03-27,1449827405.0,948698731.0,239502801.0,56014754.0,45175148.0,121232664.0,23164346.0,36015383.0,54742692.0
2024-03-28,1449889803.0,949286041.0,243298354.0,56220754.0,45048748.0,117189864.0,23839234.0,36053183.0,55223514.0
2024-04-02,1450138547.0,948802136.0,246010195.0,57023954.0,45105738.0,118361464.0,23423764.0,36097693.0,54713491.0
2024-04-03,1450038195.0,947388957.0,256764264.0,57233554.0,45039338.0,118287264.0,23298461.0,36059293.0,61872849.0
2024-04-05,1450202205.0,946157168.0,259483784.0,57580754.0,44510411.0,118190464.0,24636071.0,35607020.0,62876843.0
2024-04-08,1450201004.0,945634264.0,246747003.0,57565154.0,44423211.0,118467964.0,25239091.0,35599820.0,64603643.0
2024-04-09,1450488064.0,946864795.0,255628379.0,0.0,44398396.0,118164364.0,24312691.0,35607435.0,64984443.0
2024-04-10,1451049958.0,946867134.0,253452776.0,58420354.0,44636796.0,118375164.0,24445766.0,35717135.0,63953490.0
2024-04-11,1450403195.0,944449482.0,253455010.0,58135154.0,44679196.0,118917964.0,23911475.0,35737935.0,67093648.0
2024-04-12,1450401270.0,944329136.0,256261244.0,58301154.0,44759258.0,118642564.0,24872763.0,35810773.0,57730188.0
2024-04-15,1450384047.0,944919594.0,258848336.0,57598354.0,44826322.0,118974764.0,26300994.0,35829927.0,57845892.0
2024-04-16,1450389661.0,946732629.0,258014472.0,57969154.0,45032848.0,119004364.0,25394204.0,36037801.0,56695538.0
2024-04-17,1450462874.0,944341964.0,257245191.0,57931154.0,45521748.0,119297764.0,24703564.0,36309701.0,56838838.0
2024-04-18,1541056121.0,933021730.0,181386205.0,58243554.0,46332188.0,119170664.0,22770918.0,36942461.0,59108670.0
2024-04-19,1541069558.0,918018410.0,188491729.0,57493554.0,47204191.0,118429864.0,21901969.0,37488538.0,57085438.0
2024-04-22,1540160897.0,912263136.0,185031793.0,58208754.0,47784020.0,119240164.0,23027769.0,37747109.0,57603621.0
2024-04-23,1536283504.0,906841791.0,190942540.0,59069954.0,49140934.0,120373364.0,23388569.0,38713711.0,58114115.0
2024-04-24,1538864673.0,899863052.0,189672835.0,58911554.0,49496582.0,120454164.0,30010293.0,38873663.0,56583362.0
2024-04-25,1537122404.0,900417620.0,191161313.0,59413554.0,49522507.0,120554964.0,30627193.0,38995738.0,56119762.0
2024-04-26,1535676660.0,902923724.0,190544750.0,60828754.0,50014727.0,121052164.0,30937593.0,39033138.0,56014165.0
2024-04-29,1533166414.0,901231273.0,191308919.0,63412504.0,50299577.0,121002751.0,31129472.0,39297488.0,55550116.0
2024-04-30,1535983800.0,902926120.0,187694163.0,65098104.0,50129467.0,122591551.0,31265209.0,39417198.0,56477986.0
2024-05-02,1534829438.0,902052751.0,189130904.0,67970104.0,50426572.0,121418290.0,31382844.0,39268893.0,58369386.0
2024-05-03,1539670945.0,895290064.0,196401796.0,68755304.0,50826272.0,116651690.0,31009244.0,39619593.0,59382299.0
2024-05-06,1538301021.0,889181415.0,196215366.0,0.0,50783552.0,118878590.0,31214294.0,39426313.0,62060799.0
2024-05-07,1538044332.0,891040165.0,193526858.0,0.0,49801904.0,118204590.0,32200452.0,38518761.0,62130312.0
2024-05-08,1546159124.0,890680417.0,187072445.0,67920104.0,49683520.0,117156990.0,32146452.0,38474345.0,62813112.0
2024-05-09,1545722517.0,895285500.0,184626737.0,68413704.0,49691405.0,115246990.0,32292052.0,38303260.0,62393692.0
2024-05-10,1545691917.0,895539372.0,183903055.0,68394504.0,49794320.0,114973790.0,32737527.0,38314645.0,60171463.0
2024-05-13,1545414709.0,893795467.0,185160329.0,67336904.0,50131815.0,110996790.0,32345913.0,38299150.0,58609849.0
2024-05-14,1543364854.0,893084557.0,191944529.0,66325554.0,50439702.0,108321990.0,32232313.0,38499263.0,56684017.0
2024-05-16,1538369678.0,896901696.0,195684534.0,65422982.0,50977067.0,105381690.0,32455037.0,38044960.0,56034636.0
2024-05-17,1538031299.0,898718466.0,190034376.0,65760982.0,51186360.0,102672490.0,31399276.0,38022175.0,59360808.0
2024-05-20,1537553363.0,897346716.0,191013344.0,67424982.0,51322999.0,99964790.0,31662687.0,38055936.0,60674281.0
2024-05-21,1537616165.0,893650143.0,189382025.0,69530582.0,51647649.0,96550090.0,30881840.0,38002136.0,60956917.0
2024-05-22,1537023707.0,898540500.0,191170209.0,71007782.0,51946945.0,91355504.0,31149424.0,37903240.0,61578000.0
2024-05-23,1537056099.0,902913326.0,191397519.0,71260182.0,52391977.0,88515704.0,30678624.0,37722608.0,62986545.0
2024-05-24,1535657422.0,902267402.0,192049294.0,71501382.0,53107427.0,86196658.0,30555824.0,38259858.0,63110248.0
2024-05-27,1535819663.0,898968024.0,191922951.0,71726182.0,53484663.0,83836858.0,30651708.0,38288557.0,64380594.0
2024-05-28,1535009764.0,896734676.0,192168448.0,72120582.0,54912613.0,83904458.0,30328508.0,38443807.0,67087465.0
2024-05-29,1535712551.0,896659827.0,194634842.0,67483782.0,55798745.0,83816458.0,30711158.0,38720475.0,66797865.0
2024-05-30,1534797569.0,897030658.0,194758226.0,68046982.0,56112296.0,83955258.0,30872758.0,38860524.0,66680165.0
2024-05-31,1534002560.0,896417951.0,197494251.0,67885382.0,56806168.0,83980058.0,30227558.0,38980252.0,66529776.0
2024-06-03,1534518295.0,894717891.0,203250938.0,67609954.0,57195335.0,84081158.0,30229718.0,39051485.0,69293158.0
2024-06-04,1533379108.0,895428322.0,200069254.0,67702754.0,58777712.0,85461558.0,31072309.0,39547158.0,68938758.0
2024-06-05,1536277637.0,894718874.0,198728488.0,65722354.0,58826732.0,83594358.0,30974049.0,39620538.0,71956459.0
2024-06-06,1535313150.0,893535125.0,202314729.0,66066754.0,58890642.0,81829158.0,31324419.0,39618558.0,73108459.0
2024-06-07,1537418785.0,891939832.0,200996761.0,66113954.0,59688352.0,81722150.0,28784819.0,39831848.0,74019179.0
2024-06-11,1534989396.0,889847390.0,202498275.0,68264754.0,60225302.0,81332729.0,29352378.0,40203198.0,74558949.0
2024-06-12,1536430866.0,887824588.0,201055224.0,68656647.0,60614772.0,81369529.0,28868767.0,40468528.0,77221282.0
2024-06-13,1551551013.0,891734560.0,195566583.0,69096141.0,61130009.0,81935229.0,28448767.0,40596091.0,58191744.0
2024-06-14,1544743314.0,891476374.0,202084277.0,69844541.0,62198066.0,81348429.0,28636784.0,41194833.0,58944105.0
2024-06-17,1551055201.0,890746657.0,196695124.0,69858541.0,62472308.0,81381745.0,28280909.0,41367791.0,80003281.0
2024-06-18,1544860668.0,889469933.0,203320493.0,69649341.0,62710063.0,81372945.0,28387275.0,41560836.0,81188464.0
2024-06-19,1551195168.0,886631906.0,201344861.0,69590141.0,63028338.0,79314945.0,28657125.0,41644961.0,80142067.0
2024-06-20,1551606623.0,885629084.0,200253827.0,70151341.0,63331538.0,78912945.0,28545727.0,41696561.0,82165739.0
2024-06-21,1498025466.0,883972158.0,254138421.0,69930541.0,63281713.0,78865745.0,30423966.0,41654986.0,82431617.0
2024-06-24,1549635176.0,882898202.0,202213623.0,67455741.0,63513317.0,78913745.0,30580046.0,41923786.0,85670538.0
