date,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG SECURITIES LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD
2024-03-05,38875990.0,7460000.0,13662000.0,4388000.0,0.0,9094000.0,0.0,0.0,0.0,6940000.0
2024-03-19,38701990.0,7572000.0,0.0,0.0,14838000.0,9142000.0,0.0,5818000.0,0.0,0.0
2024-03-20,0.0,7612000.0,13762000.0,0.0,14740000.0,9112000.0,0.0,0.0,0.0,6938000.0
2024-03-21,38705990.0,7744000.0,13738000.0,0.0,14534000.0,0.0,0.0,0.0,28442002.0,0.0
2024-03-25,38565990.0,7930000.0,13760000.0,0.0,14270000.0,0.0,0.0,0.0,28468002.0,0.0
2024-03-26,38595990.0,7798000.0,13770000.0,4344000.0,14028000.0,9110000.0,0.0,0.0,28480002.0,6936000.0
2024-03-28,38319990.0,8118000.0,13858000.0,0.0,13248000.0,9164000.0,0.0,0.0,28540002.0,0.0
2024-04-02,38481990.0,8486000.0,13804000.0,4358000.0,12782000.0,9726000.0,0.0,5738000.0,28502002.0,6934000.0
2024-04-03,38415990.0,8534000.0,0.0,4390000.0,0.0,0.0,0.0,5880000.0,28406002.0,0.0
2024-04-05,38305990.0,8726000.0,13822000.0,4456000.0,0.0,9618000.0,0.0,5878000.0,28928002.0,0.0
2024-04-08,38279990.0,8690000.0,13832000.0,4458000.0,0.0,9718000.0,0.0,0.0,29014002.0,6932000.0
2024-04-09,38295990.0,8708000.0,0.0,4368000.0,0.0,9716000.0,0.0,0.0,29094002.0,0.0
2024-04-12,38171990.0,8702000.0,13902000.0,0.0,0.0,0.0,0.0,5868000.0,29160002.0,0.0
2024-04-19,38065990.0,8782000.0,13932000.0,0.0,0.0,9826000.0,0.0,5886000.0,29382002.0,0.0
