date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL),CHINA SECURITIES DEPOSITORY AND CLEARING,DBS BANK LTD,FIRST FIDELITY CAPITAL (INTERNATIONAL),FIRST SHANGHAI SECURITIES LTD,LEADING SECURITIES COMPANY LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-25,60792000.0,34203000.0,27913000.0,0.0,33278100.0,0.0,0.0,21483000.0,0.0,0.0
2024-04-05,63481000.0,0.0,26922000.0,0.0,32573100.0,0.0,0.0,30887000.0,0.0,1213000.0
2024-04-11,63950000.0,30379000.0,0.0,12394000.0,32393100.0,0.0,0.0,0.0,0.0,1801000.0
2024-04-16,63898000.0,30929000.0,26226000.0,12494000.0,32077100.0,0.0,0.0,0.0,0.0,2198000.0
2024-05-02,62982000.0,30869000.0,25824000.0,15750000.0,0.0,0.0,0.0,30987000.0,0.0,0.0
2024-05-07,63725000.0,30833000.0,24506000.0,0.0,0.0,0.0,0.0,30924000.0,0.0,2436000.0
2024-05-10,64366000.0,30889000.0,24440000.0,17474000.0,31253100.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,64250000.0,30736000.0,24308000.0,0.0,30738100.0,0.0,0.0,30954000.0,0.0,3070000.0
2024-05-20,66236000.0,29332000.0,24168000.0,18807000.0,29763100.0,0.0,0.0,30969000.0,0.0,3100000.0
2024-06-11,68938000.0,28985000.0,23866000.0,19364000.0,29305100.0,0.0,0.0,31037000.0,0.0,2986000.0
2024-06-14,68847000.0,0.0,22945000.0,20238000.0,29143100.0,0.0,0.0,31022000.0,0.0,0.0
2024-06-25,67341000.0,29145000.0,0.0,22837000.0,29028100.0,0.0,0.0,0.0,0.0,2866000.0
2024-07-02,67366000.0,29210000.0,22558000.0,25920000.0,28931100.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,65464000.0,0.0,22560000.0,36498000.0,0.0,0.0,0.0,30340000.0,0.0,2586000.0
2024-07-22,66488000.0,55803000.0,22630000.0,0.0,28899100.0,0.0,0.0,30372000.0,0.0,0.0
2024-10-03,75586000.0,51986000.0,23556000.0,0.0,28252100.0,0.0,0.0,30140000.0,0.0,0.0
2024-10-10,73304000.0,56271000.0,25424000.0,0.0,27311100.0,0.0,2209000.0,0.0,0.0,0.0
2024-10-23,71878000.0,57128000.0,25794000.0,0.0,25563100.0,0.0,7664000.0,0.0,0.0,0.0
2024-10-24,72753000.0,57030000.0,25885000.0,0.0,25561100.0,0.0,8928000.0,0.0,0.0,0.0
2024-10-28,73312000.0,57938000.0,26202000.0,0.0,25406100.0,0.0,10356000.0,0.0,0.0,0.0
2024-10-29,73406000.0,58374000.0,26002000.0,0.0,0.0,0.0,10326000.0,0.0,0.0,485000.0
2024-10-30,72683000.0,60635000.0,26112000.0,0.0,0.0,0.0,10306000.0,0.0,0.0,1554000.0
2024-10-31,72344000.0,60625000.0,26123000.0,0.0,0.0,0.0,10266000.0,0.0,0.0,1665000.0
2024-11-07,72181000.0,60875000.0,26440000.0,0.0,0.0,0.0,10118000.0,0.0,0.0,2301000.0
2024-11-13,71188000.0,60735000.0,0.0,0.0,25382100.0,0.0,10092000.0,0.0,0.0,3136000.0
2024-11-15,72657000.0,61483000.0,26429000.0,0.0,25232100.0,0.0,0.0,0.0,0.0,3487000.0
2024-11-20,70906000.0,64039739.0,0.0,0.0,0.0,0.0,11510000.0,26640000.0,0.0,4476000.0
2024-11-21,69798000.0,63904739.0,26438000.0,0.0,25221100.0,0.0,15033000.0,26542000.0,0.0,4132000.0
2024-11-22,67337000.0,63999739.0,26865000.0,0.0,0.0,0.0,16000000.0,0.0,0.0,4127000.0
2024-11-25,65185000.0,65742739.0,28645000.0,0.0,25021100.0,0.0,19600000.0,26482000.0,0.0,3239000.0
2024-11-26,62097000.0,66214739.0,28442000.0,0.0,24623100.0,0.0,0.0,0.0,0.0,3766000.0
2024-11-27,60565000.0,66934739.0,0.0,0.0,24618100.0,0.0,19588000.0,0.0,0.0,5512000.0
2024-11-28,60340000.0,67209739.0,28494000.0,0.0,24603100.0,0.0,19582000.0,0.0,0.0,6104000.0
2024-11-29,59531000.0,67225739.0,28563000.0,0.0,24588100.0,0.0,19580000.0,0.0,0.0,6642000.0
