date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,DBS BANK LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,NANYANG COMMERCIAL BANK LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-11,100068020.0,53633500.0,17768282.0,0.0,27170000.0,11418000.0,82388000.0,0.0,0.0
2024-04-12,102204020.0,48447500.0,17722282.0,21404000.0,27138000.0,12616000.0,0.0,0.0,12594000.0
2024-05-06,94698020.0,47447500.0,17474282.0,0.0,25938000.0,12266000.0,0.0,19050000.0,0.0
2024-05-08,94708020.0,47031500.0,17374282.0,0.0,26078000.0,12422000.0,0.0,0.0,0.0
2024-05-09,94694020.0,46819500.0,0.0,0.0,26566000.0,11928000.0,82458000.0,0.0,0.0
2024-05-10,94304020.0,47747500.0,17464282.0,0.0,25998000.0,11796000.0,0.0,0.0,0.0
2024-05-13,94352020.0,48779500.0,18406282.0,19584000.0,25544000.0,12088000.0,82508000.0,0.0,12604000.0
2024-05-16,94714020.0,50637500.0,18482282.0,0.0,0.0,12006000.0,82458000.0,0.0,0.0
2024-05-21,94764020.0,51047500.0,18538282.0,0.0,25524000.0,12004000.0,0.0,0.0,12616000.0
2024-05-30,94528020.0,52221500.0,18630282.0,19744000.0,25514000.0,12376000.0,0.0,19250000.0,11906000.0
2024-06-06,94344020.0,51109500.0,18584282.0,19858000.0,25470000.0,12396000.0,82388000.0,0.0,0.0
2024-06-07,93990020.0,50893500.0,18624282.0,0.0,25506000.0,12596000.0,0.0,0.0,0.0
2024-06-24,94172020.0,0.0,17348282.0,20008000.0,0.0,13240000.0,0.0,19420000.0,0.0
2024-06-26,94084020.0,51107500.0,17312282.0,0.0,25762000.0,14082000.0,0.0,0.0,0.0
2024-06-28,94214020.0,51077500.0,18676282.0,0.0,25950000.0,14152000.0,0.0,0.0,0.0
2024-07-05,93194020.0,51027500.0,18618282.0,0.0,26032000.0,13868000.0,0.0,0.0,0.0
2024-07-08,93136020.0,51343500.0,18506282.0,0.0,26132000.0,13936000.0,0.0,19650000.0,0.0
2024-07-24,93774020.0,50565500.0,19030282.0,20158000.0,26274000.0,13610000.0,0.0,0.0,0.0
2024-07-26,93770020.0,50899500.0,19158282.0,0.0,26284000.0,12362000.0,0.0,0.0,0.0
2024-08-07,93390020.0,50735500.0,19304282.0,0.0,0.0,12524000.0,82348000.0,0.0,0.0
2024-08-29,93408020.0,50653500.0,18936282.0,0.0,26264000.0,12036000.0,0.0,0.0,0.0
2024-09-13,93596020.0,50633500.0,18968282.0,0.0,0.0,12092000.0,82456000.0,0.0,0.0
2024-09-23,93442020.0,51389500.0,18960282.0,0.0,26272000.0,12214000.0,0.0,0.0,0.0
2024-10-04,93730020.0,51897500.0,18230282.0,0.0,26250000.0,12706000.0,0.0,0.0,0.0
2024-10-07,0.0,52017500.0,18252282.0,0.0,26350000.0,12894000.0,82616000.0,0.0,0.0
2024-10-09,93984020.0,51917500.0,17418282.0,0.0,0.0,13106000.0,82716000.0,0.0,0.0
2024-10-10,93924020.0,51897500.0,17408282.0,0.0,26110000.0,13274000.0,82746000.0,0.0,0.0
2024-10-14,93984020.0,51915500.0,17416282.0,0.0,26050000.0,12968000.0,0.0,0.0,0.0
2024-10-16,93408020.0,51345500.0,17430282.0,20984000.0,26120000.0,13044000.0,0.0,20500000.0,0.0
2024-10-17,94138020.0,50905500.0,17236282.0,21138000.0,26000000.0,13562000.0,82766000.0,0.0,0.0
2024-10-21,94172020.0,50835500.0,17696282.0,0.0,0.0,13548000.0,82776000.0,0.0,0.0
2024-11-18,105034020.0,50707500.0,18060282.0,21358000.0,25606000.0,13890000.0,0.0,0.0,0.0
2024-11-27,105890020.0,51569500.0,18558282.0,0.0,25936000.0,14708000.0,0.0,0.0,0.0
2024-11-28,104928020.0,51599500.0,18684282.0,0.0,26028000.0,14776000.0,0.0,0.0,0.0
2024-11-29,104832020.0,52369500.0,19180282.0,0.0,26036000.0,15128000.0,0.0,0.0,0.0
2024-12-02,104806020.0,52019500.0,19718282.0,0.0,26006000.0,15024000.0,0.0,0.0,0.0
2024-12-03,104922020.0,52199500.0,19806282.0,0.0,23796000.0,15512000.0,0.0,20522000.0,0.0
2024-12-05,104898020.0,52219500.0,19812282.0,0.0,23896000.0,15780000.0,0.0,0.0,0.0
2024-12-09,104830020.0,52235500.0,19978282.0,0.0,23944000.0,16122000.0,0.0,0.0,0.0
2024-12-10,104720020.0,52415500.0,20156282.0,0.0,23972000.0,16440000.0,0.0,0.0,0.0
2024-12-11,104544020.0,52175500.0,20018282.0,0.0,23772000.0,16470000.0,0.0,0.0,0.0
2024-12-16,103934020.0,52135500.0,22181482.0,0.0,0.0,16608000.0,0.0,20162000.0,0.0
2024-12-20,103944020.0,51995500.0,22321482.0,0.0,23606000.0,16622000.0,0.0,0.0,0.0
2024-12-30,103832180.0,51773500.0,22493482.0,0.0,0.0,16808000.0,82832000.0,0.0,0.0
2025-01-02,102464180.0,51903500.0,22567482.0,0.0,23636000.0,16822000.0,0.0,0.0,0.0
2025-01-03,102492180.0,51983500.0,22603482.0,0.0,23736000.0,16844000.0,0.0,0.0,0.0
2025-01-08,102518180.0,51983500.0,22707482.0,0.0,0.0,16886000.0,0.0,0.0,11950000.0
2025-01-09,102520180.0,51963500.0,22729482.0,0.0,0.0,16888000.0,0.0,20142000.0,12000000.0
2025-01-15,102314180.0,51835500.0,22698282.0,0.0,23756000.0,0.0,82792000.0,0.0,0.0
2025-01-22,102364180.0,51905500.0,22688282.0,0.0,23776000.0,17412000.0,0.0,0.0,0.0
2025-01-23,102334180.0,51885500.0,22680282.0,0.0,23710000.0,17438000.0,82842000.0,19942000.0,0.0
2025-01-24,102602180.0,0.0,22740282.0,0.0,23740000.0,17158000.0,82668000.0,0.0,0.0
2025-01-27,101522180.0,51969500.0,25511282.0,0.0,0.0,16988000.0,0.0,0.0,12110000.0
2025-02-10,101366180.0,51821500.0,25627282.0,0.0,23540000.0,17020000.0,0.0,0.0,0.0
2025-02-11,101370180.0,51841500.0,25741282.0,0.0,0.0,17048000.0,0.0,19294000.0,0.0
2025-02-12,101572180.0,53253500.0,25679282.0,0.0,0.0,17046000.0,82610000.0,18942000.0,0.0
2025-02-26,0.0,54581500.0,25803282.0,0.0,23588000.0,17164000.0,0.0,0.0,12000000.0
2025-02-27,101582180.0,54893500.0,25881282.0,0.0,23932000.0,17290000.0,0.0,0.0,0.0
2025-03-07,101116180.0,55573500.0,25663282.0,0.0,23764000.0,17592000.0,0.0,0.0,0.0
2025-03-10,100958180.0,55541500.0,25727282.0,0.0,23816000.0,17584000.0,0.0,0.0,0.0
2025-03-11,100910180.0,55555500.0,25731282.0,0.0,23810000.0,17718000.0,0.0,0.0,0.0
2025-03-24,100820180.0,55571500.0,25965282.0,0.0,0.0,18220000.0,0.0,17766000.0,0.0
2025-04-01,100796180.0,55953500.0,26011282.0,0.0,23810000.0,18016000.0,0.0,0.0,0.0
2025-04-08,100494180.0,58251500.0,25625282.0,21768000.0,23664000.0,18808000.0,0.0,16818000.0,0.0
2025-04-09,100490180.0,58501500.0,25173282.0,0.0,23804000.0,18670000.0,0.0,0.0,13200000.0
2025-04-10,100066180.0,58381500.0,25451282.0,0.0,23864000.0,18794000.0,0.0,0.0,14050000.0
2025-04-11,100034180.0,0.0,25951282.0,0.0,23964000.0,18900000.0,0.0,0.0,14682000.0
2025-04-14,100666180.0,58341500.0,25563282.0,0.0,24118000.0,19236000.0,0.0,0.0,15682000.0
2025-04-15,100038180.0,58309500.0,25589282.0,0.0,0.0,19476000.0,0.0,0.0,16064000.0
2025-04-16,100346180.0,58185500.0,25507282.0,21234000.0,0.0,19740000.0,0.0,0.0,16300000.0
2025-04-23,100178180.0,58295500.0,25589282.0,0.0,23718000.0,20042000.0,0.0,0.0,0.0
2025-04-25,99658180.0,58299500.0,25625282.0,0.0,0.0,21156000.0,82600000.0,0.0,0.0
