date,CITRUS SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),ZHONGTAI INTERNATIONAL SECURITIES LTD,ZHESHANG INTERNATIONAL FINANCIAL,PHILLIP SECURITIES (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261,0.0,0.0261
2024-03-04,56.914500000000004,0.0,0.0,25.04925,0.0027500000000000003,0.0,0.0,0.0,0.0271,0.0,81.9936
2024-03-05,56.917249999999996,0.0,0.0,25.052249999999997,0.00025,0.0,0.0,3.48825,0.0271,0.0,85.4851
2024-03-06,56.92475,0.0,0.0,25.057000000000002,0.00025,0.0,0.0,3.49275,0.0271,0.0,85.50185
2024-03-07,55.72375,0.0,0.01225,25.06075,0.00025,0.0,0.0,3.49275,0.0271,0.0,84.31685
2024-03-08,55.72425,0.0,0.01225,25.0625,0.00025,0.0,0.0,3.49275,0.00635,0.0,84.29835
2024-03-11,55.72425,0.0,0.01225,25.06,0.00025,0.0,0.0,3.49275,0.00635,0.0,84.29585
2024-03-12,55.736,0.0,0.01225,25.06,0.00025,0.0,0.0,3.4935,0.0060999999999999995,0.0,84.3081
2024-03-13,55.744499999999995,0.0,0.01225,25.0615,0.00025,0.0,3.2474999999999996,2.47575,0.0060999999999999995,0.0,86.54785000000001
2024-03-14,55.755750000000006,0.0,0.01225,25.062,0.00025,0.0,3.24775,2.47575,0.00635,0.0,86.56009999999999
2024-03-15,55.77375,0.0,0.01225,25.063750000000002,0.00025,0.0,3.24775,2.47575,0.0051,0.0,86.5786
2024-03-18,55.7835,0.0,0.01225,25.06275,0.00025,0.0,3.24775,2.47575,0.0051,0.0,86.58735
2024-03-19,55.7835,0.0,0.01225,25.06175,0.00025,0.0,3.24775,2.47575,0.0051,0.0,86.58635
2024-03-20,55.7835,0.0,0.01225,25.06,0.00025,0.0,3.24775,2.47575,0.0051,0.0,86.5846
2024-03-22,55.788000000000004,0.0,0.01225,25.061,0.00025,0.0,3.24775,2.47575,0.0041,0.0,86.5891
2024-03-25,55.78825,0.0,0.01225,25.0605,0.00025,0.0,3.2485,2.47575,0.00335,0.0,86.58885
2024-03-26,55.791250000000005,0.0,0.01225,25.061,0.00025,0.0,3.2544999999999997,2.47575,0.0041,0.0,86.59909999999999
2024-03-27,55.791250000000005,0.0,0.01225,25.064500000000002,0.00025,0.0,3.257,2.47575,0.0036,0.0,86.6046
2024-03-28,55.791250000000005,0.0,0.01225,25.063249999999996,0.00025,0.0,3.257,2.47575,0.00335,0.0,86.6031
2024-04-02,55.801,0.0,0.01225,25.062250000000002,0.00025,0.0,3.25825,2.47575,0.0031000000000000003,0.3975,87.01035
2024-04-03,55.82975,0.0,0.01225,25.061,0.00025,0.0,3.25825,2.4735,0.0023499999999999997,0.3975,87.03484999999999
2024-04-05,55.8335,0.0,0.012750000000000001,25.0585,0.00025,0.0,3.25625,2.4735,0.0021,0.3975,87.03435
2024-04-08,55.83025000000001,0.0,0.01375,25.0625,0.00025,0.0,3.26,2.47375,0.0018499999999999999,0.3975,87.03985
2024-04-09,55.8375,0.0,0.01375,25.0605,0.00025,0.0,3.26,2.47375,0.0018499999999999999,0.3975,87.04509999999999
