date,SINOMAX SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,CHINA INDUSTRIAL SECURITIES,CHINA MERCHANTS BANK CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,HUAFU INTERNATIONAL SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD
2024-03-08,20111000.0,28705980.0,46836000.0,0.0,0.0,0.0,0.0,74991000.0,0.0,46851814.0
2024-03-11,20172000.0,28683980.0,46859000.0,0.0,0.0,0.0,251172179.0,0.0,0.0,46850814.0
2024-07-10,22465000.0,27753980.0,48247000.0,0.0,8242000.0,0.0,0.0,100672000.0,0.0,0.0
2024-07-15,22600000.0,27679980.0,48301000.0,0.0,7889000.0,0.0,0.0,101047000.0,0.0,0.0
2024-07-16,22495000.0,27668980.0,48281000.0,0.0,0.0,0.0,248496209.0,100937000.0,0.0,0.0
2024-07-19,22323000.0,27690980.0,48387000.0,0.0,8022000.0,0.0,0.0,100714000.0,0.0,0.0
2024-07-23,22454000.0,27831768.0,0.0,0.0,7622000.0,0.0,0.0,101357000.0,0.0,46851524.0
2024-08-01,22179000.0,26883498.0,48643000.0,0.0,0.0,111733000.0,0.0,102512000.0,0.0,46496524.0
2024-08-05,22081000.0,26727498.0,48673000.0,0.0,0.0,0.0,0.0,102669000.0,0.0,46376524.0
2024-08-06,21958000.0,26776498.0,48448000.0,0.0,0.0,111675000.0,0.0,102746000.0,0.0,0.0
2024-08-07,21780000.0,26849498.0,48322000.0,6107000.0,0.0,0.0,0.0,0.0,0.0,46375524.0
2024-08-08,21811000.0,26851498.0,48320000.0,0.0,0.0,0.0,248498209.0,102824000.0,0.0,0.0
2024-08-09,21858000.0,26833498.0,48312000.0,0.0,0.0,0.0,0.0,102861000.0,3950000.0,0.0
2024-08-14,22431000.0,27216948.0,48333000.0,0.0,7142000.0,0.0,0.0,103048000.0,0.0,0.0
2024-08-15,22593000.0,27242948.0,48383000.0,6057000.0,0.0,0.0,0.0,103188000.0,0.0,0.0
2024-09-09,21848000.0,27459948.0,48592000.0,0.0,0.0,0.0,0.0,103258000.0,4998000.0,0.0
2024-09-17,21502000.0,0.0,48474000.0,0.0,0.0,111517000.0,248478209.0,103274000.0,5960000.0,0.0
2024-09-19,21187000.0,0.0,48404000.0,0.0,0.0,111490000.0,248477209.0,0.0,6280000.0,0.0
2024-10-03,22339000.0,27422147.0,47966000.0,0.0,0.0,0.0,0.0,103275000.0,0.0,46376325.0
2024-10-07,22584000.0,0.0,48026000.0,0.0,0.0,111271000.0,248484209.0,0.0,6540000.0,0.0
2024-10-09,22759000.0,27442147.0,48183000.0,0.0,7162000.0,111246000.0,248476209.0,0.0,6920000.0,0.0
2024-10-10,22816000.0,27477147.0,48380000.0,0.0,7192000.0,111087000.0,248472209.0,0.0,0.0,0.0
2024-10-14,22720000.0,27478147.0,48460000.0,0.0,0.0,110975000.0,248479209.0,0.0,7150000.0,46375325.0
2024-10-15,22555000.0,0.0,48397000.0,0.0,7090000.0,110970000.0,248473209.0,0.0,7480000.0,0.0
2024-10-16,22284000.0,27444589.0,48409000.0,0.0,0.0,0.0,0.0,0.0,7810000.0,46375883.0
2024-10-18,21845000.0,0.0,48361000.0,0.0,7040000.0,110920000.0,248482209.0,0.0,0.0,0.0
2024-11-06,30875000.0,0.0,48350000.0,0.0,7025000.0,110660000.0,248473209.0,0.0,0.0,0.0
2024-11-18,30419000.0,20266589.0,0.0,0.0,0.0,110477000.0,248473209.0,0.0,8947000.0,0.0
2024-11-27,30487000.0,20255808.0,48659000.0,0.0,0.0,110437000.0,248490209.0,0.0,0.0,0.0
2024-11-28,30450000.0,20219808.0,48673000.0,6101000.0,0.0,0.0,248487209.0,103321000.0,0.0,0.0
