date,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,MATRIX SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,VALUABLE CAPITAL LTD
2024-03-01,1.886,0.0,0.0,0.6779999999999999,0.2845,2.24052975,0.0,4.4727845,0.0,8.54307475
2024-03-04,0.0,0.0,0.0,0.0,0.2855,2.23302975,0.0,0.0,0.0,8.53957475
2024-03-05,1.8870000000000002,0.0,0.0,0.6845,0.0,2.2295297499999998,0.0,0.0,0.0,0.0
2024-03-06,1.873,0.9520000000000001,0.0,0.0,0.2865,2.23252975,0.0,0.0,0.0,0.0
2024-03-07,1.889,0.0,0.0,0.685,0.0,2.23102975,35.32994875,0.0,1.122,0.0
2024-03-08,1.8980000000000001,1.073,0.0,0.6775,0.0,2.22752975,35.317448750000004,4.4362845,0.0,0.0
2024-03-11,1.833,0.0,0.0,0.0,0.0,2.22202975,0.0,4.4732845,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.6825,0.0,2.23452975,0.0,4.4942845,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,2.24802975,0.0,0.0,0.0,0.0
2024-03-14,0.0,1.0715000000000001,0.364,0.683,0.0,2.24102975,0.0,4.4957845,0.0,8.539074750000001
2024-03-15,1.8239999999999998,1.0765,0.368,0.6865,0.0,2.2625297499999997,0.0,4.5357845,0.0,0.0
2024-03-18,1.8880000000000001,0.0,0.36,0.6945,0.0,2.25252975,0.0,4.5487845,0.0,0.0
2024-03-19,1.915,1.075,0.0,0.0,0.0,0.0,35.30494875,4.5352845,0.0,0.0
2024-03-20,1.921,1.0775,0.368,0.0,0.0,2.24602975,35.27994875,4.5347845,0.0,0.0
2024-03-21,1.8960000000000001,0.0,0.0,0.6995,0.0,2.24702975,0.0,0.0,0.0,8.55707475
2024-03-22,0.0,0.0,0.0,0.719,0.0,2.25002975,0.0,0.0,0.0,8.591074749999999
2024-03-25,1.8984999999999999,1.077,0.0,0.7270000000000001,0.0,2.24602975,35.26744875,0.0,0.0,0.0
2024-03-26,1.8975,0.0,0.0,0.7405,0.28400000000000003,2.25002975,36.537457,4.5372845,0.0,8.61707475
