date,CMB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,ICBC INTERNATIONAL SECURITIES LTD
2024-03-01,0.0,155838177.0,105999692.0,6605681.0,21407166.0,0.0,12111000.0,6857250.0,0.0
2024-03-04,0.0,155666177.0,106265192.0,6581181.0,20963666.0,0.0,12231000.0,7861162.0,0.0
2024-03-05,0.0,156238677.0,106307692.0,6633681.0,20948166.0,0.0,12142500.0,7579512.0,0.0
2024-03-06,0.0,156671177.0,106364192.0,6528181.0,20997166.0,0.0,12138000.0,7330512.0,0.0
2024-03-07,0.0,157370677.0,106258692.0,6634181.0,19629166.0,0.0,12059000.0,7616012.0,0.0
2024-03-08,0.0,156812677.0,106295692.0,6581181.0,19560666.0,0.0,0.0,8302891.0,0.0
2024-03-11,0.0,156367677.0,106316692.0,6518681.0,19640166.0,0.0,12134500.0,8460991.0,0.0
2024-03-12,0.0,156249177.0,106299692.0,6526681.0,19658666.0,0.0,12155000.0,8468836.0,0.0
2024-03-13,209767000.0,158104677.0,106341192.0,6490181.0,19807166.0,0.0,12192500.0,8063536.0,0.0
2024-03-14,209766500.0,157864177.0,106243592.0,5788181.0,19949666.0,37353221.0,12100500.0,9671824.0,0.0
2024-03-15,0.0,157137677.0,106159592.0,5838181.0,19948666.0,0.0,12077500.0,9506024.0,0.0
2024-03-18,0.0,156232177.0,106066592.0,5808681.0,20184666.0,0.0,12039000.0,10700279.0,0.0
2024-03-19,0.0,156321677.0,106065092.0,6214681.0,20177166.0,0.0,12058000.0,10649279.0,0.0
2024-03-20,0.0,156081177.0,106006092.0,6473181.0,20158166.0,0.0,12069000.0,10255079.0,0.0
2024-03-21,0.0,156697677.0,105996092.0,6530181.0,20134666.0,0.0,12093500.0,10073979.0,0.0
2024-03-22,209769000.0,155283677.0,106036592.0,6774681.0,20021166.0,37398221.0,12136500.0,10474479.0,0.0
2024-03-25,0.0,154671677.0,106105592.0,6800681.0,20059166.0,0.0,12166000.0,10681979.0,0.0
2024-03-26,0.0,155458177.0,106150092.0,6833681.0,20030666.0,0.0,12188500.0,10222279.0,0.0
2024-03-27,0.0,155050177.0,106250092.0,6845681.0,20005166.0,37423221.0,12168500.0,9071279.0,0.0
2024-03-28,0.0,155011677.0,106258092.0,7266681.0,19994666.0,0.0,12178500.0,10317779.0,0.0
2024-04-02,0.0,155339677.0,106639092.0,7265681.0,19998166.0,0.0,12141500.0,10337279.0,0.0
2024-04-03,209724000.0,157778677.0,106973092.0,7102681.0,19464166.0,37663221.0,12435000.0,7893796.0,0.0
2024-04-05,0.0,153140677.0,107018092.0,7137681.0,19510166.0,0.0,12343000.0,10798368.0,0.0
2024-04-08,209723500.0,154127177.0,107843592.0,7340681.0,19332666.0,0.0,12374500.0,8686368.0,0.0
2024-04-09,210135000.0,0.0,108208592.0,7552181.0,19359666.0,0.0,12515500.0,9537323.0,0.0
2024-04-10,0.0,154267677.0,108119592.0,7621681.0,19434166.0,0.0,12464000.0,9013559.0,0.0
2024-04-11,0.0,155534177.0,107455592.0,7690181.0,19607666.0,0.0,12432000.0,8558209.0,0.0
2024-04-12,0.0,155771677.0,107369092.0,7689681.0,19748666.0,0.0,12439500.0,8378118.0,0.0
2024-04-15,210509000.0,155432177.0,107433092.0,7727681.0,19833666.0,0.0,12456000.0,7383498.0,0.0
2024-04-16,0.0,157804177.0,107692592.0,7267681.0,19794666.0,0.0,0.0,6835296.0,0.0
2024-04-17,0.0,158299677.0,107768092.0,7278181.0,19810166.0,0.0,12518000.0,5322796.0,0.0
2024-04-18,211572500.0,156139177.0,108824592.0,7467181.0,19913166.0,0.0,12629000.0,5997796.0,0.0
2024-04-19,211632000.0,156831177.0,108555092.0,8966681.0,0.0,0.0,12600500.0,6460796.0,0.0
2024-04-22,0.0,156474677.0,108652092.0,9472181.0,19846166.0,37659721.0,12551500.0,6428296.0,0.0
2024-04-23,211626000.0,156636177.0,108383592.0,10961181.0,19536166.0,0.0,12554500.0,6161796.0,0.0
2024-04-24,211625000.0,156297177.0,108187092.0,11461181.0,19534666.0,37655721.0,12564000.0,4941634.0,0.0
2024-04-25,0.0,154408177.0,108077092.0,11972681.0,19661166.0,37655221.0,12576000.0,4841636.0,0.0
2024-04-26,0.0,153692917.0,107600717.0,11968181.0,20188166.0,37675221.0,12609000.0,6521054.0,0.0
2024-04-29,211620500.0,154383917.0,107640717.0,11979681.0,20297066.0,37745721.0,12479500.0,6120754.0,0.0
2024-04-30,211624500.0,154034582.0,107641217.0,12010681.0,20167066.0,37745221.0,12354000.0,5405754.0,0.0
2024-05-02,211658500.0,154994582.0,106927217.0,12076681.0,19667270.0,37743721.0,12340500.0,6760337.0,0.0
2024-05-03,0.0,154128082.0,106772717.0,12078681.0,20126770.0,0.0,12327500.0,6227840.0,0.0
2024-05-06,211646000.0,0.0,106404217.0,12946000.0,20148770.0,0.0,12173500.0,7482400.0,0.0
2024-05-07,211647000.0,0.0,106413717.0,12806500.0,20154270.0,0.0,12181000.0,7448110.0,0.0
2024-05-08,0.0,153568582.0,106499717.0,12796000.0,20164770.0,0.0,12255000.0,8491503.0,0.0
2024-05-09,211646000.0,156065582.0,106424217.0,11636000.0,19896270.0,37747721.0,12345500.0,7658303.0,0.0
2024-05-10,211643500.0,156585582.0,106423717.0,11659000.0,19924270.0,0.0,12391000.0,9317003.0,0.0
2024-05-13,211641000.0,155973082.0,106403217.0,11529000.0,19883770.0,0.0,12371000.0,9297186.0,0.0
2024-05-14,0.0,156327082.0,106207717.0,11478000.0,19913770.0,0.0,12274000.0,8978725.0,0.0
2024-05-16,211638500.0,155754082.0,106223217.0,11481500.0,19920770.0,37657221.0,12399500.0,10817725.0,0.0
2024-05-17,211083500.0,155548582.0,106046217.0,11425000.0,20075770.0,0.0,12461500.0,11514797.0,0.0
2024-05-20,211077500.0,154902582.0,105991717.0,12919500.0,20089270.0,0.0,12489500.0,11096997.0,0.0
2024-05-21,0.0,149132582.0,105959217.0,13382000.0,19993270.0,0.0,12634500.0,13774707.0,0.0
2024-05-22,0.0,149683082.0,106023217.0,13147500.0,20250270.0,0.0,12567000.0,13950307.0,0.0
2024-05-23,211060500.0,150231582.0,106068217.0,15108000.0,19684270.0,37661721.0,12660000.0,13134120.0,0.0
2024-05-24,0.0,148306582.0,106039717.0,16116000.0,19690270.0,37665721.0,12672000.0,10584522.0,0.0
2024-05-27,0.0,148200082.0,106159717.0,16595000.0,19632770.0,37675721.0,12684000.0,10272622.0,0.0
2024-05-28,0.0,148762582.0,106016717.0,16550500.0,19574770.0,37678221.0,12682000.0,10304812.0,0.0
2024-05-29,0.0,148784582.0,105888217.0,16528500.0,19513770.0,0.0,12720000.0,10811474.0,0.0
2024-05-30,210633500.0,149733582.0,105892217.0,16528000.0,19532270.0,37646721.0,12719500.0,12637574.0,0.0
2024-05-31,0.0,150168582.0,105840217.0,0.0,19629770.0,0.0,12693500.0,12407574.0,0.0
2024-06-03,0.0,151797582.0,105891217.0,16527500.0,17953770.0,0.0,12759000.0,12481574.0,0.0
2024-06-04,211203500.0,152457582.0,105864717.0,16567000.0,17983770.0,37661721.0,12779000.0,9091905.0,0.0
2024-06-05,0.0,152126082.0,106054217.0,16532000.0,18042770.0,37660721.0,12777500.0,8606405.0,0.0
2024-06-06,211203000.0,152017082.0,106153217.0,0.0,18059794.0,37670221.0,12820000.0,8554402.0,0.0
2024-06-07,0.0,152497582.0,106237017.0,16540000.0,18088794.0,0.0,12869500.0,8408428.0,0.0
2024-06-11,0.0,153017082.0,106383557.0,17159500.0,17883544.0,37660221.0,12949500.0,7772967.0,0.0
2024-06-12,0.0,152923582.0,106375557.0,17169000.0,17872544.0,37760221.0,12905000.0,9881967.0,0.0
2024-06-13,0.0,152742082.0,106331557.0,17151000.0,17884544.0,0.0,12927500.0,11789226.0,0.0
2024-06-14,0.0,153343582.0,106334057.0,17160500.0,17905544.0,37757221.0,12918500.0,11209126.0,0.0
2024-06-17,211578000.0,153720082.0,106437057.0,0.0,17907044.0,37777221.0,12933500.0,10771826.0,0.0
2024-06-18,211678000.0,154516582.0,106427057.0,17667500.0,17982544.0,0.0,12872000.0,8103256.0,0.0
2024-06-19,0.0,154836582.0,106368557.0,16409500.0,17962544.0,37770221.0,12882500.0,7998756.0,0.0
2024-06-20,0.0,155227582.0,106406557.0,16211500.0,17989544.0,37774221.0,12873000.0,8194107.0,0.0
2024-06-21,0.0,154771082.0,106553557.0,16215500.0,18035044.0,0.0,12930500.0,8231159.0,0.0
2024-06-24,0.0,155594582.0,106144557.0,0.0,18186244.0,0.0,12954000.0,7614317.0,0.0
2024-06-25,212128000.0,154533582.0,106319557.0,18456500.0,18279744.0,0.0,12988500.0,7366336.0,0.0
2024-06-26,0.0,154080582.0,106285557.0,18044500.0,18218871.0,0.0,12993500.0,8293209.0,0.0
2024-06-27,0.0,151881082.0,106422557.0,21374500.0,18358244.0,37784221.0,13099500.0,7397763.0,0.0
2024-06-28,212422000.0,149949582.0,105645057.0,23011500.0,18451744.0,0.0,13040500.0,10408582.0,0.0
2024-07-02,212894000.0,150535582.0,105754057.0,23797000.0,18530244.0,37789221.0,12965500.0,10069932.0,0.0
2024-07-03,0.0,150696582.0,105744557.0,25084500.0,18538699.0,37811221.0,12958500.0,7950589.0,0.0
