date,BOCI SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,EVERBRIGHT SECURITIES INVESTMENT,GET NICE SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),KGI ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD
2024-03-07,0.0,0.0,0.0,0.0,0.4858295668367248,0.0,0.0,51.18506430525112,0.0
2024-03-20,0.0,0.0,0.0,0.0,0.485684079843262,0.0,0.0,0.0,0.0
2024-04-11,9.090407557564353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18501580958662,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18351244398751,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18230005237532,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.181087660763126,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.181233147756586,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.181087660763126,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.48544160152082405,0.0,0.0,0.0,0.0
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18118465209211,0.0
2024-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.180263234466835,0.0
2024-07-23,9.090310566235377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.179681286492986,0.0
2024-08-22,0.0,0.0,0.0,0.0,0.727919923958798,0.0,0.0,0.0,0.0
2024-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.17939031250606,0.0
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.179147834183624,0.0
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.17939031250606,0.0
2024-09-17,0.0,0.0,0.0,0.8176369032608485,0.0,0.0,0.0,0.0,0.0
2024-09-26,9.09026207057089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.17948730383504,0.0
2024-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18060270411825,0.0
2024-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18181509573044,0.0
2024-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18331846132955,0.0
2024-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18336695699405,0.0
2024-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18351244398751,0.0
2024-10-09,0.0,0.0,0.0,0.0,0.0,0.00029097398692556886,0.0,51.18491881825765,0.0
2024-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18520979224457,0.0
2024-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18836201043627,0.0
2024-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.188604488758706,0.0
2024-10-16,0.0,0.0,22.63922668813408,0.0,0.0,3.172052918469089,0.0,0.0,0.0
2024-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18870148008769,0.0
2024-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044664506993074816
2024-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.18942891505499,0.0
2024-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.19403600318132,0.026139163158813605
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.196460786405694,0.023326414618533103
2024-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01886481348567438
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1995645089329,0.015179142984617176
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.45558039611258755,51.20198929215728,0.0
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.20194079649279,0.0
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.20727531958643,0.0074683323310896004
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.207517797908864,0.007225854008651627
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.20970010281081,0.008244262962891118
2024-12-05,0.0,0.0,0.0,0.0,0.7764155884463929,0.0,0.0,0.0,0.0
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21479214758201,0.005819479738511378
2024-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60617640782914
2025-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.215034625904444,0.0
2025-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.215180112897905,0.0
2025-01-17,9.08541250412213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21542259122035,0.0
2025-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21760489612228,0.0
2025-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6054489728618262
2025-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21857480941204,0.0
2025-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.219787201024225,0.0
2025-03-10,9.089389148610113,0.0,22.6368019049097,0.0,0.0,0.0,0.0,51.21901127039242,0.0
2025-03-11,9.089486139939089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,9.092347384143858,0.0,0.0,0.0,0.0,0.0,0.0,51.21779887878024,0.0
2025-03-13,9.09249287113732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,9.093026323446683,0.0,0.0,0.0,0.0,0.0,0.0,51.21736241779985,0.0
2025-03-17,9.093753758413998,0.0,0.0,0.0,0.0,0.0,0.0,51.21493763457546,0.0
2025-03-18,9.093802254078485,0.0,0.0,0.0,0.0,0.0,0.0,51.21435568660162,0.0
2025-03-19,9.096033054644915,0.0,0.0,0.0,0.0,0.0,0.0,51.213628251634304,1.6054004771973385
2025-03-20,9.096081550309403,0.0,0.0,0.0,0.0,0.0,0.0,51.213676747298784,0.0
2025-03-21,9.097293941921594,0.0,0.0,0.0,0.0,0.0,0.0,51.211251964074414,0.0
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21328878198289,0.0
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21299780799596,0.0
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.212755329673534,0.0
2025-03-27,0.0,0.0,0.0,0.0,0.0,3.172295396791527,0.0,51.21193090337724,0.0
2025-03-31,9.117225660025992,0.0,22.633310217066594,0.0,0.0,3.172392388120502,0.0,51.195151403464536,0.0
2025-04-01,9.225031522181917,1.3505557603150278,22.54829731721984,0.0,0.7771430234137069,0.0,0.0,51.193308568214,1.6042850769141237
2025-04-02,9.225661965820256,0.0,22.544951116370196,0.0,0.0,0.0,0.45606535275746346,51.19689724738608,0.0
2025-04-03,9.231966402203643,1.3491008903803998,22.538161723341936,0.0,0.7773855017361447,0.0,0.0,51.19864309130764,0.0
2025-04-07,9.226340905123081,0.0,22.537967740683985,0.0,0.0,0.0,0.0,51.205238501677954,1.6043335725786114
2025-04-08,0.0,0.0,0.0,0.0,0.0,3.17263486644294,0.0,51.204850536362045,0.0
2025-04-09,9.226098426800643,0.0,22.53782225369052,0.0,0.0,0.0,0.45727774436965335,51.207614789237844,0.0
2025-04-10,9.225855948478207,0.0,22.537337297045646,0.0,0.0,0.0,0.0,51.208681693856576,0.0
2025-04-14,9.226292409458594,0.0,22.536852340400767,0.0,0.0,3.172052918469089,0.0,51.20877868518554,1.6042850769141237
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2089726678435,0.0
2025-04-16,0.0,1.3489069077224496,22.535882427111016,0.0,0.5349071792981708,0.0,0.0,0.0,1.6030726853019341
2025-04-17,0.0,0.0,22.535736940117555,0.0,0.0,0.0,0.0,51.20921514616593,0.0
2025-04-24,9.22556497449128,0.0,0.0,0.0,0.0,0.0,0.0,51.216004539194195,0.0
2025-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.22041764466256,0.0
2025-04-28,0.0,0.0,0.0,0.0,0.0,3.172246901127039,0.0,51.22051463599154,0.0
2025-04-29,9.225807452813719,0.0,22.535785435782042,0.0,0.0,3.172052918469089,0.0,51.2210965839654,1.6030241896374464
2025-04-30,9.225080017846404,0.0,0.0,0.0,0.0,0.0,0.0,51.22211499291963,0.0
2025-05-02,9.225031522181917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
