date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KINGSTON SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,GET NICE SECURITIES LTD,HANG SENG SECURITIES LTD,PATRONS SECURITIES LTD,SINO-RICH SECURITIES & FUTURES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901885087793376,0.0,6.983390369872911
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4439426658784766,0.0,7.043040804918949
2024-03-05,0.0,0.0,2.7564600080695647,0.0,0.0,0.0,0.0,1.4873735444288505,0.0,7.062611509450907
2024-03-06,0.0,0.0,2.755521686619402,0.0,0.0,0.0,0.0,1.4920651516796624,0.0,7.062879601293812
2024-03-07,0.0,0.0,2.7622239826919905,0.0,0.0,0.0,0.0,1.4680709317397953,0.0,7.145988072593909
2024-03-08,0.0,0.0,0.0,1.6278536701103063,0.0,0.0,0.0,0.0,0.0,7.112610638152418
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.154835103409726
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4818776616493279,0.0,7.174941991627491
2024-03-13,0.0,0.0,2.768926278764579,0.0,0.0,1.0625820193481883,0.0,1.4899204169364342,0.0,7.015025207335529
2024-03-14,0.0,0.0,2.777639263658944,0.0,0.0,0.0,0.0,1.4065438537934325,0.0,7.040627978332817
2024-03-15,0.0,0.0,2.7823308709097563,1.6314729099895044,0.0,0.0,0.0,1.3972946852132604,0.0,6.89317746473587
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4743710900480287,0.0,6.946125603709319
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.995722594646474
2024-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4676687939754403,0.0,7.009127186791651
2024-03-21,0.0,0.0,0.0,0.0,0.0,1.0585606417046352,0.0,1.380538945031789,0.0,7.01127192153488
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3809410827961444,0.0,0.0
2024-03-25,0.0,0.0,2.778979722873462,1.6247706139169156,0.0,0.0,0.0,1.4714220797760897,0.0,0.0
2024-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.030038350538128
2024-03-27,72.39217218734794,0.0,0.0,0.0,0.0,0.0,0.0,1.4231655480534522,0.0,0.0
2024-03-28,72.39150195774067,0.0,2.7788456769520105,0.0,0.0,0.0,0.0,1.4667304725252777,0.0,7.035400187396198
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089554739662714
2024-04-03,0.0,0.0,2.7691943706074826,0.0,0.0,0.0,0.0,0.0,0.4947634960784866,7.152556322745046
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5001253329365574,7.157516021838761
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4669985643681813,0.0,7.158186251446021
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4672666562110848,0.0,7.165290685282964
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4675347480539884,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.172663210962811
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.471824217540445,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4720923093833485,0.0,7.173601532412974
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4743710900480287,0.0,0.0
2024-04-17,0.0,0.0,2.762492074534894,0.0,0.0,0.0,0.0,1.4746391818909321,0.0,7.192367961416222
2024-04-18,0.0,0.0,0.0,1.6097574707143174,0.0,0.0,0.0,1.4773201003199676,0.0,7.194110558395095
2024-04-19,0.0,0.0,2.749087482389717,0.0,0.0,0.0,0.0,0.0,0.4867207407913803,7.203493772896719
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.477722238084323,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4750413196552876,0.0,7.2521524423837125
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.257112141477427
2024-04-25,0.0,0.0,2.762492074534894,0.0,0.0,0.0,0.0,1.4715561256975416,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.471824217540445,0.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.257782371084687
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258586646613397
2024-05-02,0.0,0.0,0.0,0.0,0.0,1.0518583456320465,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,2.760079247948762,1.6070765522852817,0.0,0.0,0.0,0.0,0.0,7.28231277471036
2024-05-06,0.0,0.0,2.7591409264986,0.0,0.0,0.0,0.0,1.4781243758486784,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4783924676915816,0.0,7.291695989211984
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29209812697634
2024-05-09,0.0,0.0,2.757130237676823,1.6037254042489877,0.0,0.0,0.0,1.4786605595344853,0.0,7.293036448426501
2024-05-10,0.0,0.0,2.7222782980993627,0.0,0.0,0.0,0.0,0.0,0.0,7.312473107037008
2024-05-13,0.0,0.0,2.7202676092775864,1.6003742562126932,0.0,0.0,0.0,0.0,0.0,7.3248053318105715
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643176459391458,0.0,7.376413011569503
2024-05-16,0.0,0.0,2.670268480576076,0.0,0.0,0.0,0.0,0.0,0.0,7.408584032717928
2024-05-17,0.0,0.0,2.6032455198501903,0.0,0.0,0.0,0.0,1.463647416331887,0.0,7.507912060513691
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4649878755464047,0.0,7.508314198278046
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4652559673893082,0.0,7.5123355759215995
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4655240592322119,0.0,7.530029637553233
2024-05-27,0.0,0.0,2.6012348310284135,0.0,0.0,0.0,0.0,1.474102998205125,0.0,7.534721244804045
2024-05-28,0.0,0.0,2.5978836829921197,0.0,0.0,0.0,0.0,0.0,0.4813589039333095,0.0
2024-05-29,0.0,0.0,2.5938623053485665,0.0,0.0,0.0,0.0,0.0,0.0,7.548393928792126
2024-05-30,0.0,0.0,2.5603508249856235,0.0,0.0,0.0,0.0,0.0,0.0,7.580967087704906
2024-05-31,0.0,0.0,0.0,1.5675330054570096,0.0,0.0,0.0,1.4667304725252777,0.0,0.0
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.629223619427543
2024-06-04,0.0,0.0,0.0,1.5708841534933036,0.0,0.0,0.0,0.0,0.4746566078607209,7.748524489519619
2024-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397562777056164,0.0,0.0
2024-06-06,0.0,0.0,2.553648528913035,0.0,0.0,0.0,0.0,1.428527384911523,0.0,0.0
2024-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4428702985068624,0.0,7.747184030305101
2024-06-11,0.0,0.0,0.0,0.0,0.0,1.0418049015231639,0.0,1.4602962682955927,0.0,0.0
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4629771867246282,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.473030630833511,0.0,7.767290918522868
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4726284930691556,0.0,7.777344362631751
2024-06-17,0.0,0.0,0.0,1.571956520864918,0.0,0.0,0.0,1.2790661824927985,0.0,7.730428290123631
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3420677655751307,0.0,7.683512217615511
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.354802128113049,0.0,0.0
