date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,DBS BANK LTD
2024-03-01,908180113.0,541731825.0,163104360.0,27406159.0,25754024.0,46233254.0,4606855.0,0.0
2024-03-04,958800411.0,539121557.0,167186953.0,27521659.0,26183524.0,45062328.0,4424876.0,14222273.0
2024-03-05,960944811.0,538801016.0,168861694.0,27645759.0,26311724.0,45082221.0,3721950.0,14822273.0
2024-03-06,992702811.0,539201333.0,148511781.0,29549559.0,27452324.0,45803311.0,3458480.0,15328273.0
2024-03-07,1023439601.0,520652195.0,131684126.0,29957159.0,28087224.0,45683031.0,3524776.0,15638473.0
2024-03-08,1026128761.0,516591490.0,134936765.0,29971059.0,27644924.0,40536327.0,3245418.0,15618473.0
2024-03-11,983651413.0,512410871.0,136348356.0,30743762.0,27564824.0,33236108.0,5261058.0,15578473.0
2024-03-12,1033732261.0,513278371.0,131655339.0,30833362.0,27759424.0,33950208.0,3057149.0,0.0
2024-03-13,983437413.0,518047437.0,128872557.0,31002262.0,28153724.0,35138407.0,2891685.0,15605473.0
2024-03-14,1005440841.0,505061719.0,135157358.0,30753621.0,27123224.0,35708007.0,1444985.0,16170473.0
2024-03-15,1004645741.0,508852103.0,142657478.0,30373321.0,27183524.0,33667266.0,1659891.0,13109981.0
2024-03-18,1001038021.0,502208709.0,143616391.0,30704421.0,26835224.0,29221966.0,2554803.0,12534981.0
2024-03-19,1004997721.0,497876607.0,144815442.0,30749621.0,26344824.0,29932415.0,3683528.0,12544981.0
2024-03-20,1010587421.0,495350367.0,148041156.0,30940120.0,26492024.0,30333875.0,944989.0,12542981.0
2024-03-21,984068413.0,494745275.0,141720511.0,31055020.0,25557324.0,30334475.0,3561247.0,12367981.0
2024-03-22,1039756841.0,489673823.0,134745754.0,31226920.0,24617324.0,29284905.0,7926228.0,0.0
2024-03-25,1032760092.0,485461756.0,148738622.0,30867120.0,22813424.0,29969465.0,2521267.0,12377981.0
2024-03-26,1039679482.0,487639251.0,140464900.0,30995020.0,22736041.0,29677027.0,1300760.0,12277981.0
2024-03-27,1040354982.0,487883344.0,142689769.0,31517820.0,22832241.0,34829267.0,825036.0,0.0
2024-03-28,1039237882.0,496743880.0,132879950.0,31544820.0,22814141.0,34817267.0,1963891.0,12473981.0
