date,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),DELTA ASIA SECURITIES LTD,HANG SENG SECURITIES LTD,REALINK FINANCIAL TRADE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SUCCESS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-04-08,4130949.0,0.0,0.0,0.0,0.0,8547213.0,10945000.0,15920358.0,0.0,217705394.0
2024-04-22,5321949.0,13296458.0,0.0,0.0,0.0,0.0,11259000.0,16170358.0,0.0,217806016.0
2024-10-08,5409876.0,0.0,0.0,0.0,0.0,8256213.0,11970000.0,16632358.0,0.0,217353809.0
2024-10-09,5110876.0,14160890.0,4260193.0,0.0,0.0,8355213.0,11960000.0,16498358.0,0.0,217364169.0
2024-11-12,3493876.0,14025854.0,6190193.0,1857346.0,0.0,8260213.0,10409000.0,16289358.0,0.0,216979169.0
2024-11-13,3434876.0,13857854.0,6185193.0,0.0,0.0,8230213.0,10596000.0,0.0,0.0,216919169.0
2024-11-14,3178876.0,13846854.0,6464193.0,0.0,0.0,8169213.0,10666000.0,0.0,0.0,216909169.0
2024-11-18,3365876.0,0.0,6575193.0,0.0,0.0,0.0,10430000.0,16251358.0,0.0,217256169.0
2025-02-05,3270876.0,14241611.0,7518193.0,0.0,0.0,0.0,10486000.0,16262358.0,0.0,217564169.0
2025-02-06,3386876.0,0.0,7620193.0,0.0,0.0,0.0,10541000.0,16142358.0,0.0,217559169.0
2025-02-12,3405876.0,14240404.0,0.0,0.0,0.0,7855213.0,10789000.0,0.0,0.0,217663169.0
2025-03-03,4068876.0,14230197.0,0.0,0.0,0.0,6760213.0,11367000.0,0.0,0.0,217659169.0
2025-04-15,5345876.0,14008197.0,0.0,4892346.0,0.0,0.0,11235000.0,16121358.0,0.0,217709169.0
