date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BNP PARIBAS,BOCI SECURITIES LTD,CHIYU BANKING CORPORATION LTD,CHONG HING SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,ICBC (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0034436335518459016,0.0,0.0028438996186592558,0.0039556128682282045,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0018869564163642803,0.0037918661582123413,0.0,0.0027471683391130227,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0038305586700308346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.004256176300034261,9.67312795462332e-05,0.0,0.0,0.0,0.0,0.0,0.0005223489095496593,0.0
2024-03-08,0.0,0.004101406252760288,0.0,0.002785860850931516,0.0,0.0,0.0,0.0,0.00048365639773116593,0.0
2024-03-11,0.00194499518409202,0.004256176300034261,0.0,0.0,0.0,0.0,0.0,0.0,0.0005610414213681526,0.0
2024-03-12,0.0,0.004101406252760288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.004024021229123301,0.0,0.0,0.0,0.0,0.0,0.0,0.00048365639773116593,0.0
2024-03-14,0.0020417264636382534,0.0,0.0,0.0026504370595667893,0.0038975741005004647,0.0,0.0,0.0,0.0005416951654589059,0.0
2024-03-15,0.0,0.0053008741191335786,0.0,0.0,0.004091036659592932,0.0,0.0,0.0,0.0005610414213681526,0.0
2024-03-20,0.002099765231365993,0.005455644166407552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.005339566630952072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0016548013454533205,0.005823223028683239,0.0,0.0,0.0,0.0,0.0,0.0,0.0005030026536404126,0.0
2024-03-25,0.0017128401131810604,0.005939300564138718,0.00011607753545547985,0.0,0.0,0.0,0.0,0.0,0.0005416951654589059,0.0
2024-03-27,0.0,0.005977993075957212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.005997339331866458,0.0,0.0,0.0039362666123189585,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.006074724355503445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.006036031843684952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048365639773116593,0.0
2024-04-08,0.0,0.006074724355503445,0.0,0.0,0.0,0.0,0.0,0.0,0.0005223489095496593,0.0
2024-04-10,0.0,0.006190801890958925,0.00021280881500171305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0017708788809088006,0.006616419520962351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,0.00667445828869009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0021578030815296075,0.006887264175015604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0022158418245774923,0.006983995413428744,0.0004062712013351901,0.0,0.0,0.0,0.0,0.0,0.0005416949351135868,0.0
2024-04-18,0.0,0.006132760515393108,0.0,0.0028052059139810747,0.0,0.0,0.0,0.0,0.0005803874304788429,0.0
2024-04-19,0.0,0.006094068020027852,0.0,0.0,0.004052342424594012,0.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,0.0064036079829499016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005416949351135868,0.0
2024-04-24,0.0,0.006248838001488876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
