date,SUNHIGH FINANCIAL HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,USMART SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD
2024-03-01,0.0,0.0,2.3319840000000003,0.0,1.1392,0.0,0.0,0.2176,21.852
2024-03-04,0.0,0.0,2.573584,2.3848000000000003,1.1616,0.0,0.0,0.0,21.8496
2024-03-05,0.0,0.0,2.700784,0.0,0.0,0.0,0.0,0.0,21.871199999999998
2024-03-06,0.0,1.3112000000000001,2.8607839999999998,0.0,0.0,0.0824,0.0,0.0,21.8904
2024-03-07,0.656,0.0,2.824784,0.0,0.0,0.0,0.0,0.0,23.0152
2024-03-08,0.0,1.3096,2.7927839999999997,0.0,1.1967999999999999,0.0,0.0,0.0,23.036
2024-03-11,0.0,1.3112000000000001,2.7711840000000003,2.3808,0.0,0.0,0.0,0.0,21.6176
2024-03-12,0.0,0.0,2.731184,2.3800000000000003,0.0,0.0,0.0,0.0,21.3688
2024-03-13,0.0,0.0,2.727984,2.4232,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,2.7111840000000003,2.468,0.0,0.0,0.0,0.0,21.276
2024-03-15,0.0,0.0,2.710384,3.128,0.0,0.0,0.0,0.20479999999999998,21.2672
2024-03-18,0.0,0.0,0.0,0.0,1.1984,0.0,0.0,0.0,0.0
2024-03-19,0.0,1.3192000000000002,2.709584,3.1344,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,2.714384,3.1336000000000004,1.2031999999999998,0.0,0.0,0.2096,21.273600000000002
2024-03-22,0.0,0.0,2.707184,0.0,1.2192,0.0,0.0,0.20079999999999998,21.2912
2024-03-25,0.0,0.0,2.7087839999999996,3.1311999999999998,0.0,0.0,0.0,0.0,21.292
2024-03-26,0.8463999999999999,1.3592,2.691184,0.0,0.0,0.0,0.0,0.1912,21.2056
2024-03-27,0.0,1.3576,2.691984,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,1.0224,0.0,2.712784,0.0,0.0,0.0,0.0,0.0,21.3944
2024-04-02,1.7904,0.0,2.698384,0.0,1.3472,0.0,0.0,0.0,19.7936
2024-04-03,0.656,1.3768,2.6231839999999997,2.4712,0.0,0.0,0.0,0.0,19.6416
