date,FIRST SHANGHAI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,1.3050000000000002,0.0,1.3050000000000002
2024-03-04,0.0,0.0,1.306,0.0,1.306
2024-03-05,0.0,0.0,1.3065,0.0,1.3065
2024-03-06,0.0,0.0,1.307,0.0,1.307
2024-03-07,0.0,0.0,1.31,0.0,1.31
2024-03-11,0.0,0.0,1.3135000000000001,0.0,1.3135000000000001
2024-03-13,45.393,0.0,1.3135000000000001,0.0,46.7065
2024-03-14,45.378,0.0,1.323,0.0,46.701
2024-03-18,45.3505,0.0,1.3305,0.0,46.681
2024-03-28,45.3505,0.0,1.3315000000000001,0.0,46.682
2024-04-05,45.3505,0.0,1.3325,0.0,46.683
2024-04-15,45.3505,0.0,1.332,0.0,46.6825
2024-04-17,45.3505,0.0,1.3385,0.0,46.689
2024-04-18,45.3505,0.0,1.174,0.0,46.5245
2024-04-22,45.3505,0.0,1.1865,0.0,46.537
2024-04-23,45.3505,0.0,1.1855,0.0,46.536
2024-04-24,45.3505,0.0,1.1835,0.0,46.534
2024-04-26,45.3505,3.6174999999999997,1.302,0.0,50.27
2024-05-02,45.3505,3.6174999999999997,1.3025,0.0,50.2705
2024-05-07,45.3505,3.6174999999999997,1.3085,0.0,50.2765
2024-05-08,45.3505,3.6174999999999997,1.258,0.9795,51.2055
2024-05-09,45.3505,3.6174999999999997,1.193,0.9795,51.1405
2024-05-10,45.3505,3.6174999999999997,1.1925,0.9795,51.13999999999999
2024-05-13,45.3505,3.6174999999999997,1.162,0.9795,51.1095
2024-05-16,45.3505,3.6174999999999997,1.1615,0.9795,51.109
2024-05-17,45.3505,3.6174999999999997,1.1625,0.9795,51.11
2024-05-20,45.3505,3.6174999999999997,1.1825,0.9795,51.129999999999995
2024-05-21,45.3505,3.6174999999999997,1.4264999999999999,0.9795,51.373999999999995
2024-05-22,45.3505,3.6174999999999997,1.4255,0.9795,51.373000000000005
2024-05-23,45.3505,3.5999999999999996,1.4275,0.9795,51.3575
2024-05-27,45.3505,3.5999999999999996,1.4285,0.9795,51.35849999999999
2024-05-31,45.3505,3.5999999999999996,1.4305,0.9795,51.360499999999995
2024-06-03,45.3505,3.5999999999999996,1.238,0.9795,51.168
2024-06-04,45.3505,3.5999999999999996,1.2505,0.9795,51.180499999999995
2024-06-06,45.3505,3.5999999999999996,1.2590000000000001,0.9795,51.18899999999999
2024-06-07,45.3505,3.5999999999999996,1.2595,0.9795,51.189499999999995
2024-06-11,45.3505,3.5999999999999996,1.2550000000000001,0.9795,51.185
2024-06-12,45.3505,3.5999999999999996,1.254,0.9795,51.184
2024-06-13,45.3505,3.5999999999999996,1.2710000000000001,0.9795,51.20099999999999
2024-06-14,45.3505,3.5999999999999996,1.2715,0.9795,51.2015
2024-06-18,45.3505,3.5999999999999996,1.275,0.9795,51.205
2024-06-20,45.3505,3.5999999999999996,1.3405,0.9795,51.2705
2024-06-21,45.3505,3.5999999999999996,1.336,0.9795,51.266
2024-06-24,45.3505,3.5999999999999996,1.3365,0.9795,51.2665
2024-06-25,45.3505,3.5999999999999996,1.337,0.9795,51.266999999999996
2024-06-26,45.3505,3.5999999999999996,1.321,0.9795,51.251000000000005
2024-06-27,45.3505,3.5999999999999996,1.3065,0.9795,51.23649999999999
