date,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),BOCOM INTERNATIONAL SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,FIRST SHANGHAI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,0.6285044523574579,0.0,0.0,0.0,0.0,0.0,0.0,5.176737326280552,0.0
2024-03-04,0.6284050211832201,0.0,0.0,0.0,0.0,0.0,0.0,5.176637895106314,0.0
2024-03-05,0.6283055900089822,0.0,0.0,0.0,0.0,0.0,0.0,5.176836757454789,0.0
2024-03-06,0.6282061588347444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.6281067276605065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.6280072964862686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.176637895106314,0.0
2024-03-15,0.0,1.493995452310418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.6279078653120308,1.4908136547348068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.627808434137793,1.4897199118181903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,1.4896204806439526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,1.3027472448643274,0.0,0.0,0.0,0.0,5.176737326280552,0.0
2024-04-02,0.0,1.4856432336744385,1.3025483825158517,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.6277090029635551,1.2462129661096926,1.302349520167376,0.0,0.0,0.0,0.0,5.182106609689396,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.182007178515158,0.0
2024-04-09,0.0,1.2412414073978,0.0,0.0,0.0,34.70837347175118,0.0,0.0,0.0
2024-04-10,0.0,0.0,1.3035426942582302,0.0,0.0,0.0,0.0,5.186183287833147,0.0
2024-04-11,0.6287033147059337,0.0,1.3033438319097546,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.6306919381906907,1.236667573382859,1.302349520167376,0.0,0.0,0.0,0.0,5.192447451810132,0.0
2024-04-16,0.6356634969025832,1.227321043004501,0.0,0.0,0.0,0.0,0.0,0.0,0.1663483544999252
2024-04-17,0.6389447256524323,1.2220511907698948,0.0,0.0,0.0,0.0,0.0,5.189464516582996,0.0
2024-04-18,0.6406350556144758,0.0,0.0,0.0,0.0,0.0,0.0,5.185089544916531,0.16783982211349296
2024-04-22,0.6444134402355142,0.0,0.0,0.0,0.0,0.0,0.0,5.1847912513938175,0.0
2024-04-23,0.6454077519778927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17191650025724484
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.185089544916531,0.17271194965114767
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1847912513938175,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.185089544916531,0.0
2024-05-02,0.6453083208036549,0.0,0.0,0.0,0.0,0.0,0.0,5.17912367446226,0.17768350836304023
2024-05-03,0.0,1.2188693931942836,0.0,0.0,0.0,0.0,0.0,5.180316848553114,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.180416279727352,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.180316848553114,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.173356666356465,0.0
2024-05-09,0.6452088896294169,0.0,0.0,0.0,0.0,0.0,0.0,5.1719646299171345,0.0
2024-05-14,0.0,0.0,1.3024489513416138,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,1.303045538387041,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.171666336394421,0.0
2024-05-28,0.0,1.2172784944064778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,1.3028466760385653,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04,0.0,1.221951759595657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,0.0,0.0,1.3027472448643274,0.0,0.0,0.0,0.0,5.171765767568659,0.0
2024-06-18,0.0,0.0,1.302349520167376,0.0,0.0,0.0,0.0,5.165004447720485,0.0
2024-06-20,0.0,1.2217528972471812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.164805585372009,0.0
2024-06-25,0.0,1.2166819073610509,1.3025483825158517,0.0,0.0,0.0,0.0,5.169478850561188,0.0
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1710697493489945,0.0
2024-06-27,0.0,0.0,1.302349520167376,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.0,1.2143949903535802,1.3026478136900896,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,0.0,1.213897834482391,1.302349520167376,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.170970318174756,0.0
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.170870887000518,0.0
2024-07-16,0.0,1.213301247436964,0.0,0.0,0.0,0.0,0.0,5.163711842455393,0.0
2024-07-22,0.6457060455006062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,0.6456066143263683,0.0,1.3024489513416138,0.0,0.0,0.0,0.0,5.1636124112811554,0.0
2024-07-24,0.6451094584551791,0.0,1.303045538387041,0.0,0.0,0.0,0.0,5.164208998326583,0.0
2024-07-25,5.445646550658639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,1.302349520167376,0.0,0.0,0.0,0.0,5.164308429500821,0.0
2024-08-02,0.0,0.0,1.3025483825158517,0.0,0.0,0.0,0.0,5.16619762181134,0.0
2024-08-05,0.0,0.0,1.302349520167376,0.0,0.0,0.0,0.0,5.163314117758441,0.1756948848782832
2024-08-12,0.0,1.2351443872247092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.161027200750971,0.0
2024-08-16,0.0,1.2350449560504715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,0.0,1.2352438183989471,0.0,0.0,0.0,0.0,0.0,5.158939146091976,0.0
2024-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.158839714917738,0.0
2024-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.158939146091976,0.0
2024-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16202151249335,0.0
2024-08-30,0.0,1.2351443872247092,0.0,0.0,0.0,0.0,0.0,5.1621209436675874,0.0
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.162319806016063,0.0
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.159635164311641,0.0
2024-09-04,5.4455471194844005,0.0,0.0,0.0,0.0,0.0,0.0,5.1597345954858795,0.0
2024-09-09,5.445447688310163,1.2348460937019956,0.0,0.0,0.0,0.0,0.0,5.159933457834354,0.0
2024-09-11,5.445348257135925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-13,5.445248825961687,1.2347466625277579,0.0,0.0,0.0,0.0,0.0,5.1626180995387765,0.0
2024-09-17,5.445149394787449,0.0,0.0,0.0,0.0,0.0,0.0,5.165302741243199,0.0
2024-09-20,0.0,1.2343489378308066,0.0,0.0,0.0,0.0,0.0,5.165899328288626,0.0
2024-09-23,5.4450499636132115,1.2332551949141901,0.0,0.95001515425555,0.0,0.0,0.0,5.1695782817354266,0.0
2024-09-24,5.444950532438974,0.0,0.0,0.9470322190284144,0.0,0.0,0.0,5.172561216962562,0.0
2024-09-25,5.444851101264736,0.0,0.0,0.0,0.0,0.0,0.0,5.172859510485275,0.0
2024-09-26,5.444751670090498,1.2274881868083947,0.0,0.0,0.0,0.0,0.0,5.178328225068357,0.7008620093179558
2024-09-27,5.444652238916261,1.161591965843395,0.0,0.0,0.0,0.0,0.0,5.196225836431171,1.3471646418639893
2024-09-30,5.444254514219309,1.1420040245185383,0.0,0.0,0.0,0.0,0.0,5.172859510485275,0.0
2024-10-02,5.443657927173882,1.1259956054662443,0.0,0.0,1.022351333513587,0.0,0.0,5.17355552870494,1.3409999090612423
2024-10-03,5.442961908954216,0.0,0.0,0.9412652109226192,0.0,0.0,0.0,0.0,0.0
2024-10-04,5.442265890734552,1.1070395492536693,1.3028466760385653,0.0,0.0,0.0,0.0,5.194535506469127,1.3378181114856311
2024-10-07,5.441470441340649,1.1106190715262318,1.302349520167376,0.0,0.0,0.0,0.0,5.200998532794587,1.3320511033798357
2024-10-08,5.440973285469459,1.1094258974353777,1.302250088993138,0.0,0.0,0.0,0.0,5.183100921431774,0.0
2024-10-28,0.0,1.1002782294054954,1.3033438319097546,0.0,0.0,0.0,0.0,5.1872770307497635,0.0
2024-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.173654959879178,0.0
2024-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1877741866209535,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.187177599575525,0.0
2024-11-01,0.0,1.1001787982312574,0.0,0.0,0.0,0.0,0.0,5.187078168401288,0.0
2024-11-04,5.440078404901319,0.0,0.0,0.0,0.0,0.0,0.0,5.18747589309824,0.0
