date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,238840220.0,85565293.0,246819358.0,229242317.0,55835085.0,23571461.0,12367415.0,10080703.0,9086700.0
2024-03-04,238479329.0,85442040.0,246261854.0,229180203.0,55753871.0,23574962.0,12320415.0,10511135.0,9099400.0
2024-03-05,237518264.0,85123140.0,245826854.0,229203784.0,58091180.0,23579360.0,12462417.0,9965554.0,9035600.0
2024-03-06,236388924.0,85833940.0,245888754.0,229022532.0,58775257.0,23604360.0,12400117.0,10147300.0,9035900.0
2024-03-07,237225896.0,85599124.0,245735954.0,228531550.0,59914032.0,23625660.0,12470508.0,9705288.0,9044600.0
2024-03-08,236499830.0,85681224.0,245064554.0,228520719.0,60439541.0,23629460.0,12506108.0,9858467.0,0.0
2024-03-11,236513596.0,84954424.0,245213914.0,228608579.0,58347234.0,23634751.0,12572217.0,9901642.0,0.0
2024-03-12,236387380.0,84465324.0,244479270.0,228464675.0,59934937.0,23612309.0,12465017.0,10079678.0,0.0
2024-03-13,236219743.0,84833424.0,244400870.0,228532407.0,61230363.0,23605245.0,12436053.0,9608771.0,9057400.0
2024-03-14,238139626.0,85197724.0,245845270.0,228609270.0,60200741.0,23580123.0,12214485.0,9705528.0,9069800.0
2024-03-15,238206428.0,85130128.0,245858370.0,228570117.0,60556010.0,23595593.0,12254915.0,10100996.0,9032100.0
2024-03-18,238155411.0,85497228.0,246011070.0,228532998.0,60203246.0,23590788.0,12254215.0,9163366.0,9044700.0
2024-03-19,238816244.0,85950428.0,246813370.0,228532047.0,59091712.0,23600784.0,12261115.0,8953014.0,9126800.0
2024-03-20,237756247.0,85727981.0,246804370.0,228224632.0,59589276.0,23606554.0,12227107.0,9134035.0,8746100.0
2024-03-21,236751420.0,86733681.0,245152770.0,228177795.0,59756256.0,23620186.0,12222490.0,9171951.0,8754100.0
2024-03-22,236533209.0,86898381.0,244739770.0,228148336.0,59281621.0,23644686.0,12239490.0,9139460.0,0.0
2024-03-25,234312613.0,88559881.0,243437570.0,228192998.0,56295910.0,23858086.0,12770390.0,8880993.0,8625500.0
2024-03-26,225056670.0,93041581.0,243526160.0,228044627.0,61136365.0,24486766.0,13278810.0,8892814.0,8188900.0
2024-03-27,223917454.0,94914281.0,242872870.0,227790073.0,61479364.0,24814678.0,13407293.0,10812053.0,8136500.0
2024-03-28,225348005.0,95262732.0,241754733.0,227790015.0,62426082.0,24830202.0,13501763.0,11115625.0,7530350.0
2024-04-02,220473271.0,97997632.0,241247058.0,228352215.0,62761532.0,25366632.0,13647533.0,10344925.0,7168050.0
2024-04-03,218718898.0,98122732.0,241284172.0,228216612.0,62923833.0,24456083.0,13797882.0,11016440.0,6465050.0
2024-04-05,216299515.0,99194613.0,241096830.0,228314362.0,66173622.0,24447185.0,13805648.0,10759237.0,0.0
2024-04-08,216828276.0,100452313.0,240444110.0,228169160.0,67401490.0,24465697.0,13875137.0,11046016.0,0.0
2024-04-09,217155628.0,0.0,239368935.0,227952260.0,68310211.0,24526492.0,13925742.0,11129778.0,0.0
2024-04-10,216955829.0,101843783.0,237542935.0,228011830.0,68371126.0,24919037.0,13958517.0,11158016.0,6413950.0
2024-04-11,218059645.0,102232683.0,237458127.0,227844259.0,68726664.0,24919483.0,13947217.0,11153931.0,0.0
2024-04-12,218045879.0,102572883.0,237460827.0,228013407.0,69016323.0,24945998.0,14002497.0,11050342.0,0.0
2024-04-15,218299925.0,103199683.0,237427227.0,228206864.0,68121545.0,24591271.0,14178403.0,10943919.0,6455150.0
2024-04-16,218284535.0,103973283.0,237259327.0,228318454.0,67362606.0,24574471.0,14120203.0,10758853.0,0.0
2024-04-17,216894629.0,104956883.0,236637927.0,228423954.0,66971239.0,24597428.0,14158541.0,10815196.0,0.0
2024-04-18,216574770.0,106976583.0,236681627.0,227967968.0,64032988.0,24635537.0,14439011.0,10793517.0,6413950.0
2024-04-19,215958807.0,108306184.0,236784727.0,228064368.0,63422713.0,24666553.0,14591161.0,10909511.0,0.0
2024-04-22,214691825.0,108569072.0,236628427.0,228123729.0,66076560.0,24673853.0,14527261.0,10810974.0,6353950.0
2024-04-23,213661768.0,109574365.0,236687027.0,219401749.0,65377358.0,24889324.0,14702111.0,10750369.0,0.0
2024-04-24,225139182.0,108957665.0,235997427.0,184488815.0,77328806.0,24893933.0,14664893.0,10891700.0,0.0
2024-04-25,224262027.0,110087582.0,235743104.0,184980565.0,78137972.0,24607127.0,14798638.0,11039854.0,0.0
2024-04-26,220905219.0,108465982.0,235905556.0,184159465.0,80687684.0,24701979.0,14982812.0,10976993.0,0.0
2024-04-29,215945432.0,113195682.0,235842376.0,185111449.0,82696868.0,24676443.0,14959848.0,11109704.0,0.0
2024-04-30,213270580.0,115385782.0,235140976.0,184058849.0,88727819.0,24568042.0,14968110.0,11655248.0,0.0
2024-05-02,212210955.0,116292982.0,234511424.0,183924014.0,87069864.0,24553329.0,14768860.0,11584022.0,0.0
2024-05-03,212299163.0,118621182.0,233014624.0,184496238.0,89482474.0,24554379.0,14569590.0,11415643.0,0.0
2024-05-06,210971410.0,0.0,233038536.0,184240975.0,86825911.0,24574154.0,14484531.0,11645749.0,6144750.0
2024-05-07,210874200.0,0.0,233005536.0,183553269.0,85815079.0,24792784.0,14450810.0,11582977.0,0.0
2024-05-08,211320089.0,119665875.0,232263036.0,183675893.0,88078954.0,24805494.0,14471900.0,11382121.0,0.0
2024-05-09,210983611.0,119569117.0,232232836.0,183877875.0,87836767.0,24807822.0,14415762.0,11388069.0,0.0
2024-05-10,210778140.0,121856617.0,232231996.0,184014451.0,87859839.0,24933838.0,14497977.0,10984620.0,0.0
2024-05-13,210069289.0,121639039.0,232162874.0,184741087.0,86255487.0,24975821.0,14351477.0,10955955.0,0.0
2024-05-14,209392089.0,123245528.0,232189174.0,184059406.0,83590966.0,25132149.0,14468750.0,10801076.0,6133050.0
2024-05-16,207555938.0,123285177.0,231551174.0,184472547.0,82267491.0,25159390.0,14503988.0,11691513.0,0.0
2024-05-17,206864241.0,124479602.0,231580054.0,184106827.0,83456716.0,25114383.0,14454664.0,11834117.0,6075150.0
2024-05-20,204190057.0,124867231.0,231584854.0,184174227.0,80909595.0,25109133.0,14541514.0,11964267.0,6025920.0
2024-05-21,206374017.0,124593856.0,231617954.0,184215222.0,76061910.0,25073427.0,14551079.0,11997988.0,0.0
2024-05-22,208662587.0,125295187.0,230949874.0,184130090.0,78791561.0,25079295.0,14616647.0,12016018.0,0.0
2024-05-23,210566721.0,126168301.0,230951634.0,184179158.0,79958813.0,25092915.0,14609852.0,11944231.0,0.0
2024-05-24,215368795.0,126136324.0,230792199.0,184045251.0,81500781.0,25095374.0,14604180.0,11980128.0,6135420.0
2024-05-27,217569566.0,126196835.0,230772799.0,183646251.0,80832002.0,25077411.0,14585835.0,11945049.0,0.0
2024-05-28,217955280.0,125701248.0,230786519.0,183745779.0,79543201.0,25065900.0,14718940.0,12063287.0,0.0
2024-05-29,215054707.0,125576848.0,230816419.0,185391438.0,80512339.0,25089786.0,14793566.0,15667325.0,0.0
2024-05-30,216291895.0,125329448.0,229810341.0,185521584.0,72546562.0,25081498.0,14821866.0,24703436.0,0.0
2024-05-31,217578770.0,124718048.0,229783609.0,185819600.0,71331555.0,26119426.0,14729966.0,25196398.0,0.0
2024-06-03,220158039.0,126143848.0,229712609.0,185885860.0,83294231.0,26048921.0,14376966.0,11439501.0,0.0
