date,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITRUS SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,LONG BRIDGE HK LTD,NEW HARVEST WEALTH SECURITIES COMPANY,THE HONGKONG AND SHANGHAI BANKING,ZHONGTAI INTERNATIONAL SECURITIES LTD
2024-03-08,0.0,3.5126999999999997,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,3.5173,0.0308,0.259,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,3.5174999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,3.5219,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,3.5221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,3.5255,0.028200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,3.5256999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0
2024-03-20,0.0,3.5253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,3.5247,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,3.5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,3.5297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,3.5321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.639000000000001
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.11379999999999998,0.0,0.0,0.0,0.0
2024-04-08,0.0,3.5328999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,3.5361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
