date,INNOVAX SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,ZHESHANG INTERNATIONAL FINANCIAL,FIRST SHANGHAI SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL),BANK OF CHINA (HONG KONG) LTD,CITRUS SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.69575,0.0,0.0,0.0,0.22899999999999998,0.0,0.0,0.9247500000000001
2024-03-04,0.0,4.139,1.03125,0.70475,0.0,0.0,0.0,0.22875,0.0,0.0,6.10375
2024-03-05,0.0,4.13875,1.03125,0.69875,0.0,0.0,0.0,0.23675,0.0,0.0,6.1055
2024-03-06,0.0,4.138,1.03125,0.70625,0.0,0.0,0.0,0.23675,0.0,0.0,6.11225
2024-03-07,0.0,4.138,1.0305,0.70825,0.0,0.0,0.0,0.2365,0.0,0.0,6.11325
2024-03-08,0.0,4.13575,1.0305,0.6755,0.0,0.0,0.0,0.24424999999999997,0.0,0.0,6.085999999999999
2024-03-11,0.0,4.134,1.0205,0.687,0.0,0.0,0.0,0.262,0.0,0.0,6.1034999999999995
2024-03-12,0.0,4.1495,1.0165,0.6735,0.0,0.0,0.0,0.26725,0.0,0.0,6.10675
2024-03-13,0.0,4.1455,1.0162499999999999,0.66925,0.0,0.0,0.0,0.26925,0.0,0.0,6.10025
2024-03-14,0.0,4.162,1.04175,0.8089999999999999,0.0,0.0,0.0,0.28200000000000003,1.82825,0.0,8.123
2024-03-15,0.0,4.16375,1.03775,0.81175,0.0,0.0,0.0,0.28200000000000003,1.8579999999999999,0.0,8.15325
2024-03-18,0.0,4.16625,1.03775,0.79725,0.0,0.0,0.0,0.27325,1.89525,0.0,8.16975
2024-03-19,10.1775,4.1655,1.03775,0.7877500000000001,0.0,0.0,0.0,0.26875,1.9082499999999998,0.0,18.3455
2024-03-20,10.1775,4.16475,1.03675,0.78925,0.0,0.0,0.0,0.26875,1.9082499999999998,0.0,18.34525
2024-03-21,10.1775,4.1585,1.06525,0.8095,0.0,0.0,0.0,0.26125,1.9082499999999998,0.0,18.38025
2024-03-22,10.1775,4.15825,1.07425,0.8109999999999999,0.0,0.0,0.0,0.26125,1.9082499999999998,0.0,18.390500000000003
2024-03-25,10.1775,4.157,1.07475,0.8007500000000001,0.0,0.0,0.0,0.26649999999999996,1.9002499999999998,0.0,18.37675
