date,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,DEUTSCHE BANK AG,"INDUSTRIAL BANK CO., LTD.",STANDARD CHARTERED BANK (HONG KONG) LTD
2024-07-12,0.0,0.5798995557660525,0.022906237460850902,0.0126831672814258,0.042696351925834264,4.72497183175151,1.4979257909959778,5.887887066279482,2.338650308398593
2024-07-15,0.0,0.0,0.0,0.10626143422381795,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.0,0.30915220248475384,0.027922102107707875,0.09445296813421462,0.0019407432693561027,5.612383525267649,0.0,0.0,2.3387596460475706
2024-07-17,0.0,0.28982677302792614,0.024013281156751217,0.09453497137094799,0.0,5.620857193063429,0.0,0.0,2.3390056557577705
2024-07-18,0.0,0.27069268445680966,0.02413628601185125,0.0864713197588346,0.0,5.694933450245895,0.0,0.0,2.3392243310557266
2024-07-19,0.0,0.24087084069811235,0.024901649554695912,0.011301686086591187,0.0,5.880206096438791,0.0,0.0,2.3396070128271487
2024-07-22,0.0,0.23797339300020043,0.02361693217920666,0.0025694347509785023,0.0,5.887121702736637,0.0,0.0,2.3396616816516373
2024-07-23,0.0,0.23376389351455482,0.02334358805676214,0.0024054282775117894,0.0,5.901882285348642,0.0,0.0,2.34004436342306
2024-07-24,0.0,0.2274223098738419,0.023288919232273234,0.0026514379877118585,0.0,5.916642867960646,0.0,0.0,0.0
2024-07-25,0.0,0.22643827103304162,0.023206915995539874,0.0,0.0,5.928369330813516,0.0,0.0,0.0
2024-07-26,0.0,0.22865235842484227,0.021949533032295077,0.002870113285667476,0.0,5.9458633546499655,0.0,0.0,0.0
2024-07-29,0.0,0.2257549107269303,0.019298095044583217,0.0,0.0,5.967785553270016,0.0,0.0,2.3399896945985708
2024-07-30,0.0,0.22247478125759607,0.01918875739560541,0.0,0.0,5.990473115432912,0.0,0.0,2.3400990322475486
2024-07-31,0.0,0.22252945008208497,0.01916142298336096,0.0,0.0,6.002281581522515,0.0,0.0,0.0
2024-08-01,0.0,0.21654321380054994,0.0,0.0,0.0,6.016686816775341,0.0,0.0,2.340181035484282
2024-08-02,0.0,0.21047497428228157,0.01905208533438315,0.0,0.0,6.041615800742281,0.0,0.0,2.3403723763699933
2024-08-05,0.0,0.20555478007828015,0.018232052967049585,0.0029794509346452846,0.0,6.04965211794215,0.0,0.0,2.3411650743250823
2024-08-06,0.0,0.20391471534361305,0.01918875739560541,0.0,0.0,6.063182652003154,0.0,0.0,2.3409190646148823
2024-08-07,0.0,0.19847516730696707,0.018095380905827324,0.0025694347509785023,0.0,6.093332508708785,0.0,0.0,2.3403723763699933
2024-08-08,0.0,0.19697177463352222,0.01730268295073821,0.0,0.0,6.112685272577857,0.0,0.0,2.3402357043087707
2024-08-09,0.0,0.19158689542136512,0.016974670003804787,0.0,0.0,6.1300152899408396,0.0,0.0,2.3401263666597933
2024-08-12,0.0,0.18188317907458462,0.01743935501196047,0.0,0.0,6.165850704393316,0.0,0.0,2.3393063342924596
2024-08-13,0.0,0.18016943894717571,0.017896721642462858,0.0,0.0,6.204205943800174,0.0,0.0,2.3386233619847916
2024-08-14,0.0,0.18055196429525888,0.018251923751397236,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,0.0,0.18060661077355647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-16,0.0,0.18077055020844926,0.018552479382034016,0.0,0.0,0.0,0.0,0.0,2.3386506852239406
2024-08-19,0.0,0.18055196429525888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-20,0.0,0.1803060551429197,0.018907681490968394,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,0.0,0.17975959035994374,0.019180913882456376,0.0024044450450942463,0.0,0.0,0.0,0.0,2.3397162915507437
2024-08-22,0.0,0.17940438825100935,0.01915359064330758,0.0023771218059454482,0.0,0.0,0.0,0.0,2.340180786616273
2024-08-23,0.0,0.17910383262037258,0.01961808570883715,0.0,0.0,0.0,0.0,0.0,2.3402627563337197
2024-08-26,0.0,0.17836610516335502,0.01863444909948041,0.005355354873164458,0.0,0.0,0.0,0.0,2.340044170420529
2024-08-27,0.0,0.17743711503229587,0.0,0.005519294308057248,5.4646478297596514e-05,6.203768771973793,0.0,0.0,2.34001684718138
2024-08-28,0.0,0.1770409280646383,0.018197277273099638,0.005573940786354844,0.0,6.202074731146567,0.0,0.0,0.0
2024-08-29,0.0,0.17657643299910875,0.01816995403395084,0.0,0.0,6.20202008466827,0.0,0.0,0.0
2024-08-30,0.0,0.17436325062805608,0.02019187373096191,0.005929142895289221,0.0,6.2017468522767825,0.0,0.0,0.0
2024-09-02,0.0,0.17428128091060968,0.020465106122449894,0.005573940786354844,0.0,0.0,0.0,0.0,0.0
2024-09-03,0.0,0.17444522034550247,0.018907681490968394,0.0,0.0,6.2016922057984845,0.0,0.0,0.0
2024-09-04,0.0,0.17504633160677605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-05,0.0,0.17518294780252003,0.018825711773522,0.0,0.0,0.0,0.0,0.0,2.340071493659678
2024-09-09,0.0,0.1737621393667825,0.018935004730117194,0.005929142895289221,0.0,6.200735892428276,0.0,0.0,2.340344726051166
2024-09-10,0.0,0.17400804851912172,0.019344853317349166,0.005573940786354844,2.7323239148798257e-05,6.200052811449557,0.0,0.0,2.3411644232256297
2024-09-11,0.0,0.17321567458380654,0.018853035012670796,0.005464647829759651,0.0,6.199233114275093,0.0,0.0,0.0
2024-09-12,0.0,0.17354355345359213,0.018880358251819596,0.0,0.0,6.199178467796795,0.0,0.0,2.340891190834142
2024-09-13,0.0,0.1736801696493361,0.0,0.012322780856108013,0.0,0.0,0.0,0.0,2.340863867594993
2024-09-16,0.0,0.17346158373614573,0.019700055426283544,0.0,0.0,0.0,0.0,0.0,2.341301039421374
2024-09-17,0.0,0.17354355345359213,0.019672732187134744,0.0,0.0,6.1986320030138184,0.0,0.0,2.34184750420435
2024-09-19,0.0,0.0,0.018825711773522,0.0,0.0,6.197675689643611,0.0,0.0,2.3417108880086057
2024-09-20,0.0,0.17332496754040172,0.018798388534373198,0.013056409827253248,0.0,6.1971292248606344,0.0,0.0,2.3420114436392425
2024-09-23,0.0,0.17204077530040823,0.018880358251819596,0.0,0.0,6.196582760077659,0.0,0.0,2.341984120400094
2024-09-24,0.0,0.17305173514891375,0.01892134311054279,0.014029663605733442,0.0,6.195079981924475,0.0,0.0,2.342093413356689
2024-09-25,0.0,0.17373481612763372,0.01941316141522116,0.0,0.0,6.194533517141499,0.0,0.0,2.341820180965201
2024-09-26,0.0,0.1739534020408241,0.019358514936923563,0.01829208891294597,0.0,6.193713819967035,0.0,0.0,0.0
2024-09-27,0.0,0.17482774569358564,0.019331191697774766,0.0,0.0,6.193331294618952,0.0,0.0,2.3414649788562665
2024-09-30,0.0,0.175729412585496,0.019167252262881976,0.017199159346994036,0.0,6.192812153075125,0.0,0.0,2.343022403487748
2024-10-02,0.0,0.17622123089017436,0.019495131132667556,0.01733577554273803,0.00010929295659519303,6.191172758726196,0.0,0.0,2.3427218478571112
2024-10-03,0.0,0.17911749423994697,0.02067003041606588,0.017472391738482022,0.0,6.189806596768757,0.0,0.0,2.3395796753549996
2024-10-04,0.0,0.17679501891229912,0.02006891915479232,0.017308452303589232,0.0,6.188167202419828,0.0,0.0,2.3393337662026603
2024-10-07,0.0,0.17742345341272148,0.0219268994169106,0.018346735391243565,0.0,6.188139879180681,0.0,0.0,2.338295483115006
2024-10-08,0.0,0.17816118086973903,0.02411275854881446,0.01842870510868996,0.00010929295659519303,6.1848610904828245,0.0,0.0,2.337475785940542
2024-10-09,0.0,0.1819864343505708,0.027446193724967847,0.018046179760606785,0.0,0.0,0.0,0.0,0.0
2024-10-10,0.0,0.17936340339228615,0.02840250709517579,0.016652694564018074,0.0,0.0,0.0,0.0,0.0
2024-10-14,0.0,0.17698628158634072,0.028785032443258966,0.016789310759762067,0.0,0.0,0.0,0.0,0.0
2024-10-15,0.0,0.17917214071824458,0.027500840203265445,0.0,0.0,0.0,0.0,0.0,2.3376397253754346
2024-10-16,0.0,0.18272416180758835,0.027446193724967847,0.01673466428146447,5.4646478297596514e-05,6.18497038343942,0.0,0.0,2.337475785940542
2024-10-17,0.0,0.18261486885099315,0.028156597942836606,0.016789310759762067,0.0,6.184615181330486,0.0,0.0,0.0
2024-10-18,0.0,0.18772431457181843,0.027473516964116648,0.01673466428146447,5.4646478297596514e-05,0.0,0.0,0.0,0.0
2024-10-21,0.0,0.19444583140242278,0.0,0.01713085124912204,0.0,6.181746241219861,0.0,0.0,0.0
2024-10-22,0.0,0.19258785114030452,0.0,0.017103528009973244,8.196971744639476e-05,6.1828391707858135,0.0,0.0,0.0
2024-10-23,0.0,0.19266982085775092,0.02679043598539669,0.0,0.0,6.182565938394326,0.0,0.0,0.0
2024-10-24,0.0,0.19250588142285813,0.02725493105092626,0.0,0.0,6.178467452522006,0.0,0.0,0.0
2024-10-25,0.0,0.19302502296668528,0.027637456399009434,0.0,0.0,6.177101290564566,0.0,0.0,0.0
2024-10-28,0.0,0.19294305324923888,0.02610735500667673,0.017076204770824447,0.00010929295659519303,6.174614875802025,0.0,0.0,0.0
2024-10-29,0.0,0.19627648842539228,0.0,0.0,0.0,6.17155467301736,0.0,0.0,0.0
2024-10-30,0.0,0.19764265038283219,0.025806799376039954,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,0.0,0.19870825670963532,0.025588213462849566,0.01713085124912204,0.0,6.170871592038639,0.0,0.0,0.0
2024-11-01,0.0,0.19969189331899206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,0.0,0.20182310597259834,0.0,0.017103528009973244,0.0,0.0,0.0,0.0,0.0
2024-11-05,0.0,0.20168648977685433,0.0,0.01713085124912204,0.0,0.0,0.0,0.0,0.0
2024-11-06,0.0,0.20105805527643197,0.02526033459306399,0.017076204770824447,0.0,0.0,0.0,0.0,0.0
2024-11-07,0.0,0.20070285316749759,0.026216647963271927,0.017103528009973244,0.0,0.0,0.0,0.0,0.0
2024-11-08,0.0,0.20064820668920003,0.026080031767527937,0.017076204770824447,0.0,0.0,0.0,0.0,2.3364921493311854
2024-11-11,0.0,0.2005935602109024,0.025451597267105577,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-12,0.0,0.20070285316749759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-13,0.0,0.2004842672543072,0.023538970526689698,0.017081669418654206,0.0,0.0,0.0,0.0,0.0
2024-11-14,0.0,0.20073017640664637,0.024987102201576007,0.0,0.0,0.0,0.0,0.0,2.336218916939697
2024-11-15,0.0,0.1992273982534625,0.024823162766683216,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-18,0.0,0.1989541658619745,0.0,0.0,0.0,6.16540694420888,0.0,0.0,0.0
2024-11-19,0.0,0.1992273982534625,0.0,0.017136315896951804,0.0,0.0,0.0,0.0,0.0
2024-11-20,0.0,0.19797052925261777,0.024495283896897636,0.0171636391361006,0.0,0.0,0.0,0.0,0.0
2024-11-21,0.0,0.20001977218877764,0.024877809244980814,0.017363918479061293,0.0,0.0,0.0,0.0,0.0
2024-11-22,0.0,0.20029300458026564,0.0234843240483921,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,0.0,0.20124931795047354,0.02301982898286253,0.01739124171821009,8.196971744639476e-05,0.0,0.0,0.0,0.0
2024-11-26,0.0,0.20537512706194208,0.022965182504564936,0.0,2.7323239148798257e-05,0.0,0.0,0.0,0.0
2024-11-27,0.0,0.2056210362142813,0.0,0.017418564957358888,0.0,0.0,0.0,0.0,0.0
2024-11-28,0.0,0.20379037919131177,0.025697506419444762,0.017554088223536927,0.0,0.0,0.0,0.0,0.0
2024-11-29,0.0,0.20652270310619164,0.025506243745403175,0.01752676498438813,0.0,0.0,0.0,0.0,0.0
2024-12-02,0.0,0.20649537986704283,0.0,0.017472118506090536,0.0,0.0,0.0,0.0,0.0
2024-12-03,0.0,0.20578497564917408,0.0,0.01752676498438813,0.0,0.0,0.0,0.0,0.0
2024-12-04,0.0,0.2048559855181149,0.025451597267105577,0.017472118506090536,2.7323239148798257e-05,0.0,0.0,0.0,0.0
2024-12-05,0.0,0.20422755101769255,0.0,0.0,0.0,0.0,0.0,0.0,2.336273563417995
2024-12-06,0.0,0.204172904539395,0.025233011353915192,0.0,0.0,0.0,0.0,0.0,2.336218916939697
2024-12-09,0.0,0.2040909348219486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,0.0,0.20548442001853728,0.025588213462849566,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-11,0.0,0.20545709677938848,0.025615536701998367,0.01749944174523933,0.0,0.0,0.0,0.0,0.0
2024-12-12,0.0,0.20649537986704283,0.025724829658593556,0.031106414841340864,0.0,0.0,0.0,0.0,0.0
2024-12-13,0.0,0.20881785519469065,0.025178364875617594,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,0.0,0.21023866363042817,0.025806799376039954,0.03111761736939187,1.6120711097790973e-05,0.0,0.0,0.0,0.0
2024-12-17,0.0,0.21045724954361858,0.025670183180295958,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-18,0.0,0.21114033052233852,0.026681143028801497,0.031144940608540665,0.0,0.0,0.0,0.0,0.0
2024-12-19,0.0,0.21250649247977843,0.026626496550503902,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-20,0.0,0.21209664389254648,0.0,0.0322378701744926,0.0,0.0,0.0,0.0,0.0
2024-12-23,0.0,0.21346280584998636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,0.0,0.21343548261083758,0.02588876909348635,0.023139231537942777,0.0,0.0,0.0,0.0,0.0
2024-12-30,0.0,0.2148016445682775,0.025615536701998367,0.02294796886390119,7.076718939538748e-05,0.0,0.0,0.0,0.0
2025-01-02,0.0,0.2161678065257174,0.0,0.022620089994115612,0.0,0.0,0.0,0.0,0.0
2025-01-03,0.0,0.21898210015804362,0.0,0.02155448366731248,0.0,0.0,0.0,0.0,0.0
2025-01-06,0.0,0.22805341555544464,0.025670183180295958,0.019751149883491796,0.00015273690684178225,0.0,0.0,0.0,0.0
