date,FIRST SHANGHAI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,LONG BRIDGE HK LTD,CMB WING LUNG BANK LTD,SDICS INTERNATIONAL SECURITIES (HONG,SPDB INTERNATIONAL SECURITIES LTD,WINBULL SECURITIES INTERNATIONAL (HONG
2024-06-14,18090000.0,5623000.0,3972000.0,465000.0,0.0,930000.0,367000.0,6893000.0,52627000.0,186000.0
2024-06-18,0.0,5957000.0,3239000.0,3347000.0,552000.0,710001.0,536000.0,6890000.0,53877000.0,102000.0
2024-06-19,18190000.0,4375000.0,2416000.0,3758000.0,573000.0,584001.0,539000.0,0.0,0.0,71000.0
2024-06-20,0.0,4895000.0,2767000.0,3848000.0,552000.0,560001.0,532000.0,0.0,54249000.0,70000.0
2024-06-21,0.0,4711000.0,2838000.0,3829000.0,594000.0,533001.0,522000.0,0.0,54472000.0,66000.0
2024-06-24,11777000.0,4482000.0,3023000.0,3650000.0,576000.0,504001.0,514000.0,6887000.0,55546000.0,63000.0
2024-06-25,11827000.0,4835000.0,3050000.0,3610000.0,0.0,490001.0,517000.0,4736000.0,0.0,59000.0
2024-06-26,12282000.0,5154000.0,3036000.0,3601000.0,0.0,444001.0,537000.0,4306000.0,0.0,55000.0
2024-06-27,0.0,5186000.0,3035000.0,3663000.0,0.0,429001.0,519000.0,4307000.0,0.0,50000.0
2024-06-28,0.0,5356000.0,3028000.0,3660000.0,577000.0,426001.0,513000.0,0.0,0.0,49000.0
2024-07-02,0.0,5821000.0,3006000.0,3629000.0,580000.0,412001.0,519000.0,0.0,0.0,0.0
2024-07-03,0.0,6767000.0,2998000.0,3649000.0,644000.0,363001.0,445000.0,0.0,0.0,48000.0
2024-07-04,0.0,3503000.0,3034000.0,3607000.0,646000.0,364001.0,452000.0,0.0,55557000.0,47000.0
2024-07-05,12283000.0,3504000.0,3017000.0,3603000.0,657000.0,362001.0,450000.0,4306000.0,55683000.0,0.0
2024-07-08,12289000.0,3484000.0,3020000.0,3563000.0,607000.0,344001.0,435000.0,0.0,55721000.0,44000.0
2024-07-09,0.0,3392000.0,3009000.0,3566000.0,616000.0,339001.0,434000.0,0.0,55753000.0,42000.0
2024-07-10,0.0,3269000.0,3007000.0,3527000.0,620000.0,328001.0,452000.0,0.0,0.0,38000.0
2024-07-11,0.0,3265000.0,2780000.0,3486000.0,622000.0,314001.0,443000.0,0.0,0.0,0.0
2024-07-12,0.0,0.0,2730000.0,3473000.0,0.0,309001.0,437000.0,0.0,0.0,37000.0
2024-07-15,12451000.0,3362000.0,2602000.0,3464000.0,611000.0,295001.0,454000.0,4315000.0,0.0,34000.0
2024-07-16,12038000.0,3415000.0,2459000.0,0.0,597000.0,317001.0,451000.0,4735000.0,0.0,0.0
2024-07-17,0.0,3398000.0,2211000.0,3469000.0,584000.0,301001.0,0.0,0.0,0.0,0.0
2024-07-18,12118000.0,3349000.0,0.0,3467000.0,591000.0,298001.0,0.0,0.0,55674000.0,33000.0
2024-07-19,12138000.0,3332000.0,0.0,0.0,593000.0,295001.0,0.0,0.0,55654000.0,0.0
2024-07-22,12256000.0,3306000.0,0.0,0.0,583000.0,287001.0,452000.0,4734000.0,55554000.0,0.0
2024-07-23,0.0,3255000.0,2210000.0,3462000.0,596000.0,282001.0,450000.0,0.0,0.0,0.0
2024-07-24,12738000.0,3303000.0,1767000.0,3456000.0,708000.0,285001.0,510000.0,0.0,55109000.0,0.0
2024-07-25,12760000.0,3292000.0,0.0,3451000.0,706000.0,286001.0,523000.0,0.0,55089000.0,0.0
2024-07-26,12893000.0,3227000.0,1705000.0,3446000.0,729000.0,0.0,0.0,0.0,54964000.0,0.0
2024-07-29,0.0,3190000.0,1568000.0,3438000.0,748000.0,274001.0,531000.0,0.0,0.0,0.0
2024-07-30,0.0,3210000.0,0.0,3430000.0,745000.0,273001.0,527000.0,0.0,0.0,31000.0
2024-07-31,0.0,3212000.0,1566000.0,3428000.0,741000.0,271001.0,523000.0,0.0,0.0,0.0
2024-08-01,0.0,3204000.0,1549000.0,3423000.0,745000.0,267001.0,524000.0,0.0,0.0,30000.0
2024-08-02,0.0,3202000.0,0.0,3418000.0,744000.0,266001.0,0.0,0.0,0.0,29000.0
2024-08-06,0.0,3206000.0,1544000.0,0.0,734000.0,262001.0,521000.0,0.0,0.0,0.0
