date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-10-16,1359000.0,12340000.0,1544000.0,1815000.0,385000.0,1888000.0,79402000.0,2182000.0,3456000.0,156000.0
2024-10-18,7964000.0,12928600.0,2638000.0,2353000.0,2412000.0,10133000.0,63912000.0,4615000.0,3574000.0,1157000.0
2024-10-21,8827000.0,12000600.0,2941000.0,1884000.0,2338000.0,11843000.0,0.0,5082000.0,2356000.0,1397000.0
2024-10-22,9308000.0,12648600.0,3034000.0,1958000.0,2465000.0,12913000.0,0.0,5265000.0,1275000.0,1506000.0
2024-10-23,9009000.0,12522600.0,3269000.0,2032000.0,2535000.0,13218000.0,0.0,4739000.0,1295000.0,1590000.0
2024-10-24,9729000.0,12500600.0,3244000.0,2072000.0,2491000.0,13201000.0,0.0,4202000.0,1294000.0,1760000.0
2024-10-25,9867000.0,12442600.0,3225000.0,2155000.0,2490000.0,13213000.0,0.0,4193000.0,1295000.0,1709000.0
2024-10-28,10633000.0,12116600.0,3183000.0,2207000.0,2412000.0,12817000.0,0.0,4132000.0,1294000.0,1987000.0
2024-10-29,11034000.0,12298600.0,3180900.0,2112000.0,2431000.0,12698000.0,63916000.0,3657000.0,1352000.0,1995000.0
2024-10-30,11280000.0,12056600.0,3156800.0,2003000.0,2497000.0,12170000.0,63928000.0,3767000.0,1372000.0,2198000.0
2024-10-31,11395000.0,11823600.0,3017100.0,2004000.0,2225000.0,13013000.0,0.0,3674000.0,1314000.0,2332000.0
2024-11-01,10908000.0,11661600.0,2966100.0,2195000.0,2206000.0,13220000.0,0.0,3957000.0,1294000.0,2334000.0
2024-11-04,11284000.0,11767600.0,2988100.0,2295000.0,2212000.0,13232000.0,0.0,3662000.0,1354000.0,2410000.0
2024-11-05,11302000.0,11858600.0,3062100.0,2195000.0,2219000.0,13343000.0,0.0,3459000.0,0.0,2790000.0
2024-11-06,11401000.0,11911600.0,3056100.0,2243000.0,2223000.0,13344000.0,0.0,3452000.0,0.0,2809000.0
2024-11-07,11361000.0,11734600.0,3018100.0,2237000.0,2227000.0,13422000.0,0.0,3980000.0,1077000.0,2807000.0
2024-11-08,11576000.0,11356600.0,3063100.0,2027000.0,2379000.0,13534000.0,0.0,3647000.0,1087000.0,2820000.0
2024-11-11,11477000.0,11491600.0,3109100.0,2126000.0,2376000.0,13303000.0,0.0,3638000.0,0.0,2769000.0
2024-11-12,11578000.0,11712600.0,3032100.0,2190000.0,2378000.0,13009000.0,0.0,3627000.0,0.0,2760000.0
2024-11-13,11306000.0,11734600.0,3034100.0,2434000.0,2288000.0,13108000.0,0.0,3570000.0,0.0,0.0
2024-11-14,10651000.0,12063600.0,3043100.0,2537000.0,2324000.0,12755000.0,0.0,3531000.0,0.0,2902000.0
2024-11-15,11206000.0,11940600.0,3041100.0,2542000.0,2374000.0,12844000.0,63936000.0,3483000.0,1097000.0,2787000.0
2024-11-18,11396000.0,11893600.0,3043100.0,2541000.0,2356000.0,12929000.0,0.0,3452000.0,744000.0,2887000.0
2024-11-19,11444000.0,11886600.0,3030100.0,2528000.0,2379000.0,13001000.0,0.0,3506000.0,0.0,2896000.0
2024-11-20,11727000.0,12035600.0,3033100.0,2643000.0,2312000.0,12936000.0,63944000.0,3479000.0,256000.0,2899000.0
2024-11-21,12392000.0,12046600.0,3101100.0,2653000.0,2333000.0,12895000.0,63964000.0,3670000.0,246000.0,1513000.0
2024-11-22,12828000.0,12110600.0,3111100.0,2654000.0,2342000.0,12825000.0,0.0,3732000.0,0.0,1531000.0
2024-11-25,12934000.0,12007600.0,3102100.0,0.0,2401000.0,12854000.0,0.0,3650000.0,0.0,1528000.0
2024-11-26,13003000.0,11846600.0,3077100.0,2755000.0,2334000.0,12885000.0,63965000.0,3616000.0,0.0,1531000.0
2024-11-27,12991000.0,11837600.0,3092100.0,2754000.0,2322000.0,12882000.0,63967000.0,3574000.0,0.0,1517000.0
2024-11-28,13297000.0,11935600.0,3078100.0,2617000.0,2230000.0,12928000.0,0.0,3623000.0,0.0,1542000.0
2024-11-29,13322000.0,11938600.0,3125100.0,0.0,2225000.0,12775000.0,0.0,3638000.0,0.0,1532000.0
2024-12-02,13542000.0,11843600.0,3123100.0,0.0,2195000.0,12611000.0,0.0,3664000.0,245000.0,1562000.0
2024-12-03,13534000.0,11778600.0,3154100.0,2644000.0,2242000.0,12597000.0,0.0,3676000.0,0.0,0.0
2024-12-04,13554000.0,11768600.0,3168100.0,0.0,2239000.0,12523000.0,0.0,3693000.0,244000.0,1557000.0
2024-12-05,13487000.0,11769600.0,3158100.0,2537000.0,2237000.0,12444000.0,0.0,3763000.0,0.0,1506000.0
2024-12-06,13392000.0,11745600.0,3155100.0,0.0,2267000.0,12432000.0,0.0,3754000.0,0.0,1524000.0
2024-12-09,13588000.0,11729600.0,3151100.0,0.0,2252000.0,12401000.0,0.0,3684000.0,0.0,1504000.0
2024-12-10,13655000.0,11707600.0,3157100.0,2531000.0,0.0,12263000.0,0.0,0.0,0.0,1500000.0
2024-12-11,13627000.0,11690600.0,3186100.0,2529000.0,2263000.0,12266000.0,0.0,3615000.0,0.0,1514000.0
2024-12-12,13685000.0,11597600.0,3230100.0,0.0,2254000.0,12861000.0,0.0,3655000.0,0.0,1478000.0
2024-12-13,13751000.0,11582600.0,3204100.0,0.0,2251000.0,12828000.0,0.0,3665000.0,0.0,1487000.0
2024-12-16,13766000.0,11605600.0,3223100.0,0.0,2185000.0,12853000.0,0.0,3629000.0,0.0,1507000.0
2024-12-17,12482000.0,11699600.0,3250100.0,2532000.0,2166000.0,13097000.0,63987000.0,3644000.0,0.0,1502000.0
2024-12-18,11809000.0,11740600.0,3293100.0,2632000.0,2181000.0,13217000.0,0.0,3645000.0,0.0,0.0
2024-12-19,11913000.0,11537600.0,3290100.0,2642000.0,0.0,13187000.0,0.0,3640000.0,0.0,1510000.0
2024-12-20,11899000.0,11576600.0,3299100.0,2641000.0,0.0,13165000.0,63992000.0,3598000.0,250000.0,1486000.0
2024-12-23,11885000.0,11585600.0,3306100.0,0.0,0.0,13112000.0,64002000.0,3611000.0,0.0,1484000.0
2024-12-27,11854000.0,11594600.0,3303100.0,2661000.0,0.0,13029000.0,0.0,3610000.0,0.0,1482000.0
2024-12-30,11851000.0,11586600.0,3288100.0,0.0,2161000.0,13145000.0,64112000.0,3611000.0,0.0,1505000.0
2025-01-02,11558000.0,11582600.0,3283100.0,2708000.0,1957000.0,12987000.0,0.0,3637000.0,0.0,0.0
2025-01-03,11567000.0,11556600.0,3317600.0,2734000.0,1955000.0,12911000.0,0.0,3678000.0,0.0,1539000.0
2025-01-06,11427000.0,11743600.0,3288600.0,0.0,0.0,12836000.0,0.0,3827000.0,0.0,0.0
2025-01-07,11586000.0,11567600.0,3286600.0,0.0,0.0,12834000.0,64160000.0,3974000.0,0.0,0.0
2025-01-08,11649000.0,11862600.0,3327600.0,2733000.0,1975000.0,12788000.0,64290000.0,3901000.0,0.0,1540000.0
2025-01-09,11903000.0,11911600.0,3322600.0,0.0,1955000.0,12181000.0,64308000.0,3965000.0,0.0,1549000.0
2025-01-10,11923000.0,12081600.0,3359600.0,2743000.0,2007000.0,12340000.0,0.0,4115000.0,0.0,1572000.0
2025-01-13,11924000.0,12123600.0,3375600.0,2771000.0,2046000.0,12414000.0,0.0,4138000.0,0.0,1597000.0
2025-01-14,11888000.0,12170600.0,3407600.0,2767000.0,2036000.0,12438000.0,0.0,0.0,0.0,1613000.0
2025-01-15,12008000.0,12169600.0,3495600.0,0.0,2051000.0,12354000.0,0.0,4132000.0,0.0,1591000.0
