date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,151694800.0,63878074.0,57821889.0,49256201.0,38401100.0,12047434.0,0.0,7790212.0
2024-03-04,915199300.0,65949974.0,57730289.0,44927451.0,38390100.0,11312435.0,0.0,0.0
2024-03-05,150214500.0,65940474.0,57722589.0,47276162.0,38389100.0,11379035.0,0.0,0.0
2024-03-06,914213700.0,66119074.0,57747889.0,47172262.0,38392100.0,11371235.0,0.0,0.0
2024-03-07,149703500.0,66009174.0,57738289.0,47044862.0,38395100.0,11343135.0,0.0,0.0
2024-03-08,149164100.0,66189380.0,57695989.0,47499356.0,38380100.0,11367434.0,0.0,0.0
2024-03-11,146209600.0,67237408.0,57805589.0,47384140.0,38365100.0,11335634.0,0.0,0.0
2024-03-12,910648600.0,67609508.0,57695989.0,47661299.0,0.0,11305634.0,0.0,0.0
2024-03-13,145921400.0,68458241.0,57556089.0,47473005.0,38404200.0,11384234.0,18853100.0,0.0
2024-03-14,145347600.0,68158941.0,57496689.0,47723205.0,38398400.0,11471633.0,0.0,0.0
2024-03-15,144777600.0,68794851.0,57496289.0,47706239.0,0.0,11340033.0,0.0,0.0
2024-03-18,144304000.0,69399351.0,57495989.0,47829139.0,38403400.0,0.0,0.0,8520212.0
2024-03-19,145181700.0,65723952.0,57574789.0,47979878.0,0.0,11395833.0,0.0,0.0
2024-03-20,145867800.0,65687707.0,57495931.0,47603723.0,38404400.0,11440433.0,0.0,0.0
2024-03-22,146412400.0,65620107.0,0.0,47506723.0,38424400.0,11441133.0,0.0,0.0
2024-03-27,145762800.0,65478021.0,0.0,48353867.0,38429400.0,11395494.0,0.0,0.0
2024-03-28,146020600.0,65637306.0,57495976.0,48478722.0,38419400.0,11434994.0,0.0,0.0
2024-04-02,146071300.0,65510906.0,57520576.0,48451200.0,38411400.0,11381594.0,0.0,0.0
2024-04-03,146062200.0,65309492.0,57694976.0,48772364.0,0.0,11381694.0,0.0,0.0
2024-04-05,149022600.0,64975019.0,57550549.0,46626330.0,38426500.0,11331794.0,0.0,0.0
2024-04-08,151705800.0,64717537.0,57114549.0,44996016.0,38435900.0,11311594.0,0.0,0.0
2024-04-09,0.0,64517645.0,57042466.0,44107958.0,38439400.0,11345994.0,0.0,0.0
2024-04-10,916697300.0,64322522.0,57042449.0,43934867.0,38443400.0,0.0,0.0,0.0
2024-04-12,152048400.0,63334324.0,57044049.0,43489622.0,38446200.0,0.0,0.0,0.0
