date,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,NANYANG COMMERCIAL BANK LTD,SHANGHAI COMMERCIAL BANK LTD,SOOCHOW SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6311975609314713
2024-03-04,2.9874970116457713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.3028833927511813,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,2.9874017652958496,0.30297863910110306,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,2.9802582890517177,0.0,0.0,0.0,0.0,0.0,0.0,0.6383410371756029
2024-06-05,0.0,0.3030738854510248,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,0.0,0.3032643781508683,0.0,6.032460908516833,0.0,0.0,0.0,0.0
2024-06-07,2.9791153328526567,0.30335962450079007,0.0,6.032365662166912,0.0,0.0,0.0,0.0
2024-06-11,0.0,0.3034548708507118,0.0,6.03227041581699,0.0,0.0,6.0107114045122,0.0
2024-06-12,0.0,0.0,0.0,6.032175169467068,0.0,0.0,0.0,0.0
2024-06-13,0.0,0.3035501172006336,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,0.0,0.30383585625039883,0.0,6.032079923117147,0.0,0.0,0.0,0.0
2024-06-17,0.0,0.3039311026003206,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-18,0.0,0.3041215953001641,0.9934194296839058,0.0,0.0,0.0,6.2807348065403765,0.6385315298754464
2024-06-19,0.0,0.3045978270497729,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,0.0,0.3047883197496164,0.0,0.0,0.0,0.0,0.0,0.6386267762253681
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639864978774351
2024-06-24,0.0,0.30507405879938165,0.9929431979342972,0.0,0.0,0.0,0.0,0.6403412105239598
2024-07-03,0.0,0.30526455149922516,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.9845615191411827,0.0,0.0,0.0,0.0,0.6379600517759159
2024-07-11,0.0,0.3053597978491469,0.0,0.0,0.0,0.0,0.0,0.6381505444757594
2024-07-15,0.0,0.30545504419906866,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,0.0,0.3055502905489904,0.9840852873915739,0.0,0.0,0.0,0.0,0.0
2024-07-30,0.0,0.30564553689891216,0.0,0.0,0.0,0.0,0.0,0.6384362835255246
2024-07-31,0.0,0.3060265222985992,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,0.0,0.3062170149984427,0.0,6.032365662166912,0.0,0.0,0.0,0.0
2024-08-06,0.0,0.3063122613483645,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,0.0,0.30640750769828623,0.0,6.03227041581699,0.0,0.0,0.0,0.0
2024-08-08,0.0,0.0,0.0,6.033508618365973,0.0,0.0,0.0,0.6391030079749769
2024-08-09,0.0,0.30659800039812973,0.0,0.0,0.0,0.0,0.0,0.6391982543248986
2024-08-16,0.0,0.3066932467480515,0.0,0.0,0.47918438645635003,0.0,0.0,0.6404364568738815
2024-08-19,0.0,0.30678849309797324,0.0,6.03341337201605,0.0,0.0,0.0,0.0
2024-08-20,0.0,0.0,0.0,0.0,0.4792796328062718,0.0,0.0,0.6407221959236468
2024-08-21,0.0,0.0,0.0,0.0,0.4807083280550981,0.0,0.0,0.0
2024-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6409126886234903
2024-08-27,0.0,0.306883739447895,0.9838947946917304,6.033318125666129,0.48318473315306376,0.0,0.0,0.0
2024-08-29,0.0,0.0,0.0,6.032175169467068,0.0,0.0,0.0,0.0
2024-08-30,0.0,0.307264724847582,0.0,6.031984676767225,0.0,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641007934973412
2024-09-03,0.0,0.0,0.0,6.031889430417302,0.0,0.0,0.0,0.0
2024-09-04,0.0,0.30745521754742555,0.0,6.0317941840673805,0.48547064555118585,0.0,0.0,0.0
2024-09-09,2.9743530153565687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,0.0,0.0,0.0,6.031698937717459,0.4902329630472736,0.0,0.0,0.0
2024-09-11,0.0,0.3075504638973473,0.0,6.031603691367538,0.0,0.0,0.0,0.0
2024-09-12,2.9742577690066474,0.3077409565971908,0.0,0.0,0.49251887544539574,0.0,0.0,0.0
2024-09-19,0.0,0.3036453635505553,0.0,0.0,0.0,0.0,0.0,0.6451987743699692
2024-09-20,0.0,0.30421684165008583,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,0.0,0.3044073343499294,0.0,6.031508445017616,0.0,0.0,0.0,0.0
2024-09-24,0.0,0.30450258069985114,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,0.0,0.30469307339969465,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,0.0,0.30154994385227674,0.0,6.030174996118711,0.0,0.0,0.0,0.6575807998597973
2024-10-04,0.0,0.3016451902021985,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,0.0,0.30174043655212024,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-10,2.9728290737578207,0.30193092925196374,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,2.9679715099118114,0.0,0.0,0.0,0.5125206089289643,0.0,0.0,0.6577712925596408
2024-10-16,2.9655903511637676,0.30059748035305917,0.0,6.030079749768789,0.5222357366209833,0.0,0.0,0.6578665389095626
2024-10-18,2.963209192415724,0.3006927267029809,0.0,0.0,0.5382371234078382,0.0,0.0,0.0
