date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,CCB INTERNATIONAL SECURITIES LTD,CITIBANK N.A.,OSHIDORI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),THE HONGKONG AND SHANGHAI BANKING
2024-03-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,89.03727662866771,0.0,0.0,0.0,0.0,9.724826322173008,0.0,0.0,1.2378970491592862
2024-03-19,0.0,89.03870542765753,0.0,0.0,0.0,0.0,9.724982378406436,0.0,0.0,1.2363121939360373
2024-03-26,0.0,84.55517100058225,0.0,0.0,0.0,0.0,9.235159691529969,0.0,5.035627022223919,1.1740422856638622
2024-03-27,0.0,84.55515770323332,0.0,0.0,0.0,0.0,9.235167642614492,0.0,5.035631357687237,1.1740432964649483
2024-04-03,0.0,84.55501210660682,0.0,0.0,0.0,0.0,9.235323931760595,0.0,5.035622686768066,1.1740412748645166
2024-04-05,0.0,84.5550849048574,0.0,0.0,0.0,0.0,9.235245787254822,0.0,5.035627022223919,1.1740422856638622
2024-04-08,0.0,84.55505565049646,0.0,0.0,0.0,0.0,9.23526327982192,0.0,5.0356365602530735,1.1740445094285492
2024-04-10,0.0,84.55534818911896,0.0,0.0,0.0,0.0,9.235088357132836,0.0,5.035541181587443,1.174022272160756
2024-04-12,0.0,84.55821497853636,0.0,0.0,0.0,0.0,9.232075636755093,0.0,5.035729341149117,1.173980043559433
2024-04-15,0.0,84.55846757915491,0.0,0.0,0.0,0.0,9.23192461613066,0.0,5.035646965416996,1.1739608392974417
2024-04-16,0.0,84.5639716167689,0.0,0.0,0.0,0.0,9.226088577198386,0.0,5.0359860238698575,1.1739537821628623
2024-04-17,0.0,84.56480605541805,0.0,0.0,0.0,0.0,9.226104464894005,0.0,5.035133675929447,1.1739558037584936
2024-04-18,0.0,84.56007354036473,0.0,0.0,0.0,0.0,9.231270557502,0.0,5.034851893861606,1.173804008271674
2024-04-19,0.0,84.5602330588352,0.0,0.0,0.0,0.0,9.231175184109928,0.0,5.034799876005482,1.1737918810494028
2024-04-22,0.0,55.76181563955013,34.05725891018429,0.0,0.0,0.0,6.086774613462138,0.0,3.3201136315755893,0.7740372052278631
2024-04-23,0.0,55.764760047791015,34.05905724606426,0.0,0.0,0.0,6.081815684639876,0.0,3.320288944553214,0.7740780769516348
2024-04-25,0.0,55.76608988247136,34.059869460004876,0.0,0.0,0.0,6.0796327758375295,0.0,3.3203681242248093,0.7740397574614302
2024-04-29,0.0,55.76964373047048,34.06169321482268,0.0,0.0,0.0,6.074109752439725,0.0,3.320545915198747,0.7740073870683718
2024-04-30,0.0,28.233667265540785,17.24373076536112,0.0,0.0,0.0,3.0699585195831833,0.0,1.6810262306863097,0.39175496945742005
2024-05-02,0.0,55.77683084941014,34.065735955109005,0.0,0.0,0.0,6.062621071271137,0.0,3.32094002669107,0.7738720975186506
2024-05-03,0.0,55.77745933463035,34.0661267397177,0.0,0.0,0.0,6.061611617396811,0.0,3.3209781228076647,0.7738241854474682
2024-05-06,0.0,55.77872639378229,34.0669005970818,0.0,0.0,0.0,6.059534472825847,0.0,3.321053563241383,0.7737849730686724
2024-05-07,0.0,55.78381190147349,34.06307034680815,0.0,0.0,0.0,6.058853180041181,0.0,3.320680166598412,0.7735844050787634
2024-05-09,0.0,55.78428237762483,34.06272094242293,0.0,0.0,0.0,6.058780930701324,0.0,3.3206405688490044,0.7735751804019259
2024-05-10,0.0,49.817627914865746,30.418865696452368,10.696625238874773,0.0,0.0,5.410643610261179,0.0,2.965415465803481,0.6908220737424533
2024-05-13,0.0,49.81808263831705,30.41914335261893,10.69672287512422,0.0,0.0,5.409780221127763,0.0,2.9654425334101013,0.6908283794019308
