date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD
2024-03-01,545480016.0,416988619.0,78193762.0,220494494.0,14146637.0,25873370.0,19653912.0,0.0,0.0
2024-03-04,553784016.0,422111259.0,78137762.0,217031445.0,13876637.0,25875370.0,19895912.0,28547347.0,0.0
2024-03-05,562212016.0,422138259.0,78161762.0,212434854.0,0.0,25873370.0,19983912.0,28667347.0,473099807.0
2024-03-06,564676016.0,421199666.0,78336272.0,212828209.0,0.0,25833370.0,20271912.0,28657347.0,0.0
2024-03-07,569840016.0,420147398.0,78254272.0,219231923.0,0.0,26029370.0,20119912.0,28677347.0,0.0
2024-03-08,568408016.0,419785773.0,78532272.0,212668151.0,13832622.0,25977370.0,20081912.0,28511347.0,0.0
2024-03-11,573140016.0,421572906.0,78810272.0,207029533.0,13777055.0,25971370.0,19689912.0,28561347.0,0.0
2024-03-12,576052016.0,421350393.0,78820272.0,212205967.0,13817055.0,25973370.0,19607912.0,28563347.0,0.0
2024-03-13,580888016.0,425117587.0,78934272.0,191704987.0,13873055.0,25981370.0,19625912.0,28739347.0,0.0
2024-03-14,584074016.0,426171065.0,79214272.0,196209434.0,14057055.0,40513370.0,19695912.0,28575347.0,0.0
2024-03-15,592956016.0,425755737.0,79644272.0,193101531.0,14365055.0,31967370.0,20227912.0,28615347.0,0.0
2024-03-18,595876016.0,424001836.0,80082272.0,193075531.0,14367055.0,31827370.0,20597912.0,28617347.0,0.0
2024-03-19,598264016.0,424292821.0,80088272.0,194577531.0,14651471.0,31575370.0,20261912.0,28601347.0,0.0
2024-03-20,598344016.0,422710821.0,80208272.0,194579531.0,14371471.0,31493370.0,20443912.0,28583347.0,0.0
2024-03-21,601484016.0,420230637.0,80228272.0,194605531.0,0.0,31609370.0,20449912.0,0.0,0.0
2024-03-22,603314016.0,419277797.0,80184272.0,194760531.0,0.0,31545370.0,20443912.0,0.0,0.0
2024-03-25,604042016.0,417937375.0,80150272.0,194414531.0,0.0,31561370.0,20393912.0,28573347.0,0.0
2024-03-26,608830016.0,416267401.0,80215957.0,193862531.0,0.0,31421370.0,20547912.0,28593347.0,0.0
2024-03-27,612130016.0,414349151.0,80223957.0,193520531.0,14127271.0,17301370.0,19685912.0,0.0,0.0
2024-03-28,614566016.0,413381734.0,80227957.0,193258531.0,14125271.0,16818062.0,19547912.0,0.0,0.0
2024-04-02,616086016.0,412569919.0,80225957.0,195160865.0,0.0,16802062.0,19439912.0,0.0,0.0
2024-04-03,615844016.0,412749319.0,82237957.0,192786865.0,0.0,16956662.0,19423912.0,0.0,0.0
2024-04-05,618190016.0,409592819.0,83263447.0,190296631.0,14077271.0,17122662.0,19591912.0,0.0,0.0
2024-04-08,620956016.0,410800216.0,83259447.0,192166818.0,0.0,17120662.0,19599912.0,0.0,0.0
2024-04-09,0.0,410747711.0,84081447.0,205755555.0,0.0,17116662.0,19615188.0,28571024.0,0.0
2024-04-10,623436016.0,406923711.0,84401447.0,205343555.0,0.0,0.0,19567188.0,28387024.0,0.0
2024-04-11,625420016.0,406282136.0,84387447.0,191751655.0,14141271.0,17114662.0,19575188.0,28357024.0,0.0
2024-04-12,624818016.0,407611605.0,84321447.0,183572547.0,13919335.0,17116662.0,19584588.0,28377024.0,0.0
2024-04-15,624778016.0,408273935.0,84531447.0,181434469.0,13619335.0,17146662.0,19524588.0,28169024.0,0.0
2024-04-16,631230016.0,411036458.0,84801447.0,184170352.0,13621335.0,17096662.0,19832588.0,28191024.0,0.0
2024-04-17,635894016.0,414407019.0,84919447.0,180476415.0,13656638.0,17100662.0,19834588.0,28201024.0,0.0
2024-04-18,641874016.0,409370795.0,85441169.0,172342417.0,15702638.0,17310662.0,19946588.0,28191024.0,0.0
2024-04-19,644436016.0,408088795.0,86177169.0,169765117.0,17104638.0,17308662.0,19960588.0,0.0,0.0
2024-04-22,647164016.0,406470956.0,86415169.0,164865117.0,19906638.0,17306662.0,0.0,0.0,0.0
2024-04-23,652866016.0,403148148.0,86523169.0,163181517.0,20113246.0,17308662.0,19826588.0,28084023.0,0.0
2024-04-24,653730016.0,387731335.0,86575169.0,163753710.0,34429479.0,17294662.0,19438588.0,28074023.0,0.0
2024-04-25,657840016.0,387762599.0,86765169.0,161607538.0,35429479.0,0.0,19490588.0,0.0,0.0
2024-04-26,657630016.0,387312790.0,86787169.0,162624892.0,35441479.0,0.0,19332588.0,28064743.0,0.0
2024-04-29,659558016.0,387329790.0,86737169.0,160507327.0,36055479.0,17290662.0,19324588.0,0.0,0.0
2024-04-30,661714016.0,389842573.0,86931169.0,157637727.0,35889496.0,17286662.0,19290588.0,28152743.0,0.0
2024-05-02,661208016.0,390799866.0,86830148.0,162492421.0,35162203.0,17228662.0,19280588.0,28186743.0,0.0
2024-05-03,667160016.0,390095866.0,86878148.0,161341804.0,35174203.0,16992359.0,19258588.0,28206743.0,0.0
2024-05-06,0.0,390485160.0,86771791.0,163853898.0,35196909.0,17024359.0,19172588.0,28116743.0,0.0
2024-05-07,0.0,398870757.0,86573791.0,165089507.0,35182895.0,17102359.0,18910588.0,27216743.0,0.0
2024-05-08,665434016.0,398424757.0,86481791.0,167805571.0,0.0,16972359.0,18996588.0,27174743.0,0.0
2024-05-09,665372016.0,396238520.0,86551791.0,166418571.0,36577665.0,16984359.0,19020588.0,27194743.0,0.0
2024-05-10,666434016.0,390430842.0,86691791.0,170496165.0,35801665.0,16982359.0,19120588.0,27288743.0,0.0
2024-05-13,664340016.0,397086020.0,87183791.0,175484249.0,35009665.0,16976359.0,19484588.0,27234743.0,0.0
2024-05-14,667278016.0,397388020.0,86635985.0,173954913.0,34983665.0,16957359.0,19646588.0,27206743.0,0.0
2024-05-16,671130016.0,394829530.0,86899985.0,170117627.0,35434665.0,16965359.0,20258588.0,27160743.0,0.0
2024-05-17,674102016.0,396400961.0,86889184.0,166912250.0,36374665.0,17151359.0,20660588.0,27378743.0,0.0
2024-05-20,676832016.0,396929284.0,86921184.0,167188950.0,34982394.0,17157359.0,20196767.0,27558743.0,0.0
2024-05-21,683188016.0,396111384.0,87105184.0,166193757.0,35440394.0,16632755.0,21038767.0,27670743.0,0.0
2024-05-22,687372016.0,395181101.0,87515184.0,163644552.0,35056394.0,16836755.0,21158767.0,27544743.0,0.0
2024-05-23,695506016.0,394263101.0,87745184.0,156361085.0,35945394.0,16826755.0,21222767.0,27792743.0,0.0
2024-05-24,697767996.0,396289101.0,87835184.0,156634935.0,34993806.0,16876755.0,21494767.0,27822743.0,0.0
2024-05-27,706369996.0,396391702.0,88455184.0,152664935.0,34994074.0,17208755.0,21696767.0,27858743.0,0.0
2024-05-28,711465996.0,396251702.0,88705184.0,152392935.0,35038074.0,17132755.0,20968767.0,0.0,0.0
2024-05-29,714395996.0,396265702.0,88703184.0,142812673.0,34992109.0,16470755.0,21344767.0,0.0,0.0
2024-05-30,716379996.0,394486271.0,88718163.0,134742596.0,34992647.0,16670755.0,21382767.0,27872743.0,0.0
2024-05-31,721613996.0,394357474.0,89839469.0,133423942.0,35012687.0,16664755.0,21404767.0,27880743.0,0.0
2024-06-03,728681996.0,396051976.0,89800263.0,124334755.0,35938673.0,16666755.0,21594767.0,27960743.0,0.0
2024-06-04,744241996.0,392000110.0,89986263.0,117931546.0,35687678.0,16066755.0,21892767.0,28354743.0,0.0
2024-06-05,748597996.0,391768110.0,91512263.0,109367531.0,35687693.0,16078755.0,21826767.0,28564743.0,0.0
2024-06-06,753473996.0,391830228.0,91734263.0,116015586.0,35560090.0,0.0,21986566.0,28552743.0,0.0
2024-06-07,756759996.0,393156228.0,91646263.0,122346218.0,35542090.0,16154755.0,22212566.0,28562743.0,0.0
2024-06-11,767487996.0,388520708.0,91826263.0,113183148.0,35550090.0,16156755.0,22972566.0,28568743.0,0.0
2024-06-12,770266596.0,389489256.0,90954263.0,110109626.0,35337122.0,16180755.0,22248566.0,28666743.0,0.0
2024-06-13,788230596.0,394813877.0,90702263.0,78348910.0,33617505.0,16340755.0,22412566.0,28674743.0,0.0
2024-06-14,797038596.0,397583300.0,90914263.0,72915810.0,32718082.0,16314755.0,22430204.0,28734743.0,0.0
2024-06-17,796234596.0,398350263.0,90424263.0,76187901.0,32888082.0,16366755.0,22412204.0,28524743.0,0.0
2024-06-18,797514596.0,405157425.0,89600263.0,76663382.0,26411920.0,16346755.0,22350204.0,28374743.0,0.0
2024-06-19,802222596.0,406335484.0,89578263.0,73639782.0,25119861.0,0.0,22366204.0,28404743.0,0.0
