date,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,FIRST SHANGHAI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,TIGER BROKERS (HK) GLOBAL LTD,VALUABLE CAPITAL LTD,CMB WING LUNG BANK LTD,CITIBANK N.A.,CHINA CONSTRUCTION BANK (ASIA)
2024-03-01,502832614.0,55383016.0,10548000.0,53711000.0,38591839.0,90210067.0,14603487.0,3644500.0,5626090.0,0.0
2024-03-04,502156614.0,55474516.0,11917000.0,53461000.0,38691839.0,89399067.0,14734487.0,3648500.0,5581090.0,0.0
2024-03-05,0.0,55243516.0,11964000.0,53486000.0,38911839.0,87926067.0,14789487.0,3643500.0,6570480.0,0.0
2024-03-06,502286614.0,53190516.0,11846000.0,53402000.0,37640839.0,87014067.0,14238487.0,3667000.0,6063418.0,0.0
2024-03-07,501943614.0,53145516.0,12109000.0,52852000.0,38125839.0,86971067.0,14365487.0,3771000.0,5067918.0,0.0
2024-03-08,501842614.0,52946516.0,12753000.0,52872000.0,37842839.0,86833067.0,14376487.0,3727000.0,5424378.0,0.0
2024-03-11,501860614.0,53716516.0,13096000.0,52895000.0,38300839.0,86741067.0,14402487.0,3722000.0,4834818.0,0.0
2024-03-12,470466835.0,53597516.0,44550779.0,53075000.0,38267839.0,86478067.0,14250487.0,3631000.0,4538018.0,0.0
2024-03-13,470401835.0,54679516.0,44420779.0,53173000.0,38391839.0,86279067.0,13896487.0,3984000.0,4476018.0,0.0
2024-03-14,470225835.0,53955516.0,44370779.0,53180000.0,38300839.0,86112067.0,13711487.0,3885000.0,5352982.0,0.0
2024-03-15,469774835.0,54331516.0,44570779.0,53167000.0,38440839.0,86135067.0,13737487.0,3891000.0,4901382.0,0.0
2024-03-18,469268835.0,53948516.0,43850779.0,53187000.0,38656839.0,85822067.0,13384487.0,3683000.0,4747182.0,0.0
2024-03-19,469298835.0,54224516.0,43416779.0,0.0,38647839.0,85717067.0,13246487.0,3803000.0,4604182.0,0.0
2024-03-20,469278835.0,53586516.0,44112779.0,53207000.0,38894839.0,85304067.0,12985487.0,3725000.0,5173692.0,0.0
2024-03-21,469299835.0,53465516.0,44794779.0,0.0,38838839.0,85293067.0,12989487.0,3677000.0,4974182.0,0.0
2024-03-22,469265835.0,53598516.0,44834779.0,0.0,38873839.0,85188067.0,0.0,3680000.0,4999182.0,0.0
2024-03-25,469158835.0,53210516.0,45144779.0,53187000.0,38839839.0,84845067.0,12813487.0,3525000.0,5192182.0,0.0
2024-03-26,469075835.0,53741516.0,44906779.0,0.0,38922839.0,84797067.0,12744487.0,3532000.0,5348182.0,0.0
2024-03-27,468993835.0,53743516.0,45117779.0,0.0,38787839.0,84707067.0,12698487.0,3553000.0,5636412.0,0.0
2024-03-28,468939835.0,54368516.0,45616779.0,53177000.0,38724839.0,84764067.0,12673487.0,3789000.0,5000182.0,0.0
2024-04-02,468930835.0,54628516.0,47221779.0,53231000.0,38562839.0,84750067.0,12688487.0,3830000.0,4693182.0,0.0
2024-04-03,468183835.0,55158516.0,46535779.0,53545000.0,38242839.0,84739067.0,12689487.0,3855000.0,4742182.0,0.0
2024-04-05,468155835.0,54227516.0,46813779.0,53611000.0,38248839.0,84687067.0,12684487.0,3800000.0,4778182.0,0.0
2024-04-08,468164835.0,54354516.0,46536779.0,53725000.0,38373839.0,84701067.0,12670487.0,3865000.0,4509882.0,0.0
2024-04-09,468063835.0,54484516.0,46528779.0,53769000.0,38383839.0,84799067.0,12673487.0,3874000.0,0.0,0.0
2024-04-10,0.0,54408516.0,46600779.0,0.0,38315839.0,0.0,12646487.0,3875000.0,4519882.0,0.0
2024-04-11,0.0,54469516.0,46428779.0,53781000.0,38430839.0,84803067.0,12593487.0,3892000.0,4983851.0,0.0
2024-04-12,0.0,53737516.0,46870779.0,53897000.0,39467839.0,84955067.0,12601487.0,3988000.0,4577851.0,0.0
2024-04-15,468062835.0,53395516.0,47018779.0,0.0,39441839.0,85009067.0,12573487.0,3796000.0,4349551.0,0.0
2024-04-16,468033835.0,52719516.0,47003779.0,0.0,39432839.0,85013067.0,12569487.0,3778000.0,4254551.0,0.0
2024-04-17,468028835.0,52869516.0,47048779.0,0.0,39367839.0,85018067.0,0.0,3780000.0,0.0,0.0
2024-04-18,468032835.0,52928516.0,46863779.0,0.0,39297839.0,84967067.0,0.0,3786000.0,4255551.0,0.0
2024-04-19,0.0,52801516.0,47134779.0,0.0,39071839.0,85022067.0,0.0,3789000.0,4273551.0,0.0
2024-04-22,467672835.0,52115516.0,46994779.0,0.0,38997839.0,85086067.0,0.0,3673000.0,4293551.0,0.0
