date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE CORE SECURITIES COMPANY LTD,VALUABLE CAPITAL LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),ICBC INTERNATIONAL SECURITIES LTD,ROOFER SECURITIES LTD
2024-07-31,88055000.0,80327103.0,0.0,0.0,65030300.0,35529900.0,30757000.0,0.0,0.0,0.0
2024-08-01,88299000.0,81061103.0,140491060.0,0.0,65212300.0,0.0,29555000.0,0.0,0.0,0.0
2025-02-10,337274000.0,106368903.0,136837060.0,0.0,59040300.0,0.0,31298000.0,813000.0,0.0,0.0
2025-02-11,338433000.0,106458903.0,135097060.0,0.0,58940300.0,0.0,33067000.0,1513000.0,0.0,0.0
2025-02-18,338735000.0,110141903.0,131237060.0,0.0,0.0,0.0,33668000.0,2313000.0,0.0,0.0
2025-02-19,338949000.0,109179903.0,130797060.0,0.0,59029300.0,0.0,33920000.0,2513000.0,0.0,0.0
2025-02-20,339146000.0,109098903.0,129517060.0,0.0,58945300.0,0.0,33835000.0,2593000.0,0.0,0.0
2025-02-21,339594000.0,108117903.0,128457060.0,0.0,59108300.0,0.0,33276000.0,2673000.0,0.0,0.0
2025-02-24,339779000.0,109196903.0,127637060.0,0.0,59009300.0,0.0,32332000.0,0.0,0.0,0.0
2025-02-25,340319000.0,109065903.0,127267060.0,0.0,59039300.0,0.0,32294000.0,0.0,0.0,0.0
2025-02-26,340418000.0,109006903.0,126647060.0,0.0,57159300.0,0.0,32552000.0,3173000.0,0.0,0.0
2025-02-27,340657000.0,90548103.0,126377060.0,34967000.0,50930300.0,0.0,31805000.0,3873000.0,0.0,0.0
2025-03-03,336609000.0,94934103.0,126297060.0,0.0,49811300.0,0.0,33100000.0,0.0,0.0,0.0
2025-03-04,332472000.0,101999103.0,126397060.0,0.0,49246300.0,0.0,32800000.0,0.0,0.0,0.0
2025-03-07,319766000.0,108421103.0,0.0,0.0,50362300.0,0.0,33242000.0,4173000.0,0.0,0.0
2025-03-12,313575000.0,115515103.0,0.0,0.0,50325300.0,35429900.0,34266000.0,0.0,0.0,0.0
2025-03-13,313725000.0,120918103.0,126447060.0,0.0,47963300.0,35229900.0,33716000.0,0.0,0.0,0.0
2025-03-14,317451000.0,119005103.0,120547060.0,0.0,46993300.0,0.0,33373000.0,4473000.0,0.0,0.0
2025-03-17,317446000.0,120786103.0,0.0,34867000.0,47771300.0,0.0,32178000.0,0.0,0.0,0.0
2025-03-18,316013000.0,123445103.0,118547060.0,34817000.0,48949300.0,0.0,32682000.0,0.0,0.0,0.0
2025-03-19,316697000.0,123867103.0,0.0,34767000.0,48943300.0,0.0,32070000.0,0.0,287674000.0,0.0
2025-03-20,316022000.0,123241103.0,119677060.0,0.0,48528300.0,34979900.0,33005000.0,249073000.0,0.0,0.0
2025-03-25,316909000.0,125318103.0,119657060.0,0.0,47497300.0,0.0,32820000.0,0.0,0.0,0.0
2025-03-26,315444000.0,126939103.0,0.0,0.0,47149300.0,34682900.0,32533000.0,0.0,0.0,0.0
2025-04-01,315969000.0,133812103.0,0.0,34657000.0,48816300.0,34682150.0,30039000.0,249153000.0,0.0,0.0
2025-04-02,314773000.0,140309103.0,0.0,34767000.0,47019300.0,0.0,30406000.0,0.0,0.0,0.0
2025-04-03,315016000.0,137641103.0,0.0,34737000.0,46968300.0,0.0,30095000.0,0.0,0.0,0.0
2025-04-08,309669000.0,139267103.0,0.0,34652000.0,45804300.0,0.0,31009000.0,0.0,0.0,0.0
2025-04-09,309070000.0,136081103.0,0.0,34293000.0,44792300.0,0.0,32237000.0,248853000.0,0.0,0.0
2025-04-10,309304000.0,133027103.0,0.0,35093000.0,44121300.0,0.0,30563000.0,0.0,0.0,0.0
2025-04-11,308778000.0,130941103.0,0.0,35193000.0,44302300.0,0.0,30216000.0,0.0,0.0,0.0
2025-04-14,309102000.0,131396103.0,0.0,0.0,44052300.0,0.0,30285000.0,249091000.0,0.0,0.0
2025-04-15,309635000.0,127202103.0,119667060.0,35235000.0,44471300.0,0.0,31233000.0,0.0,0.0,0.0
2025-04-16,308302000.0,128522103.0,0.0,35275000.0,40987300.0,0.0,31174000.0,0.0,0.0,0.0
2025-04-17,309577000.0,127569103.0,0.0,35375000.0,39893300.0,0.0,30533000.0,0.0,0.0,0.0
2025-04-25,307698000.0,130557103.0,0.0,0.0,38637300.0,0.0,30530000.0,249011000.0,0.0,30000000.0
2025-04-28,307881000.0,131283103.0,119517060.0,0.0,38560300.0,0.0,30753000.0,0.0,0.0,0.0
2025-04-29,309857000.0,129247103.0,0.0,35475000.0,37702300.0,0.0,30437000.0,0.0,0.0,0.0
2025-04-30,309331000.0,130903103.0,117927060.0,0.0,37995300.0,0.0,30411000.0,0.0,0.0,0.0
2025-05-02,309424000.0,129768103.0,116857060.0,37835000.0,37541300.0,34245150.0,30426000.0,0.0,0.0,0.0
