date,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-15,22784000.0,44288000.0,0.0,0.0,0.0,28640000.0,32064000.0,0.0,0.0,48160000.0
2024-04-05,0.0,43208000.0,18616000.0,17384000.0,19608000.0,30072000.0,0.0,0.0,0.0,45968000.0
2024-04-11,22120000.0,41408000.0,18320000.0,0.0,19448000.0,33072000.0,33408000.0,0.0,0.0,0.0
2024-04-15,21616000.0,32760000.0,0.0,16624000.0,19640000.0,38248000.0,33608000.0,0.0,22408000.0,48136000.0
2024-04-22,21352000.0,32424000.0,0.0,16232000.0,0.0,39704000.0,0.0,0.0,22592000.0,48136000.0
2024-04-30,21480000.0,26448000.0,0.0,15864000.0,19552000.0,56832000.0,0.0,0.0,19456000.0,48360000.0
2024-05-02,21432000.0,0.0,0.0,0.0,19536000.0,56480000.0,0.0,0.0,19792000.0,48160000.0
2024-05-06,21384000.0,26208000.0,0.0,0.0,0.0,56504000.0,0.0,9960000.0,0.0,47800000.0
2024-05-07,21120000.0,25512000.0,0.0,14744000.0,0.0,58632000.0,0.0,10264000.0,19664000.0,47696000.0
2024-05-08,21152000.0,25696000.0,0.0,0.0,0.0,58408000.0,0.0,10408000.0,19560000.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,19528000.0,57088000.0,0.0,12056000.0,19480000.0,47208000.0
2024-05-17,20440000.0,25296000.0,0.0,0.0,0.0,59552000.0,33952000.0,12008000.0,0.0,46616000.0
2024-05-20,0.0,0.0,18296000.0,0.0,0.0,59976000.0,0.0,11952000.0,19032000.0,46400000.0
2024-05-22,0.0,25016000.0,0.0,14688000.0,19376000.0,61048000.0,0.0,0.0,18952000.0,46144000.0
2024-05-31,19824000.0,22536000.0,0.0,0.0,0.0,61368000.0,0.0,13720000.0,18720000.0,47360000.0
2024-06-03,0.0,22520000.0,17688000.0,0.0,0.0,61288000.0,0.0,13824000.0,0.0,47056000.0
2024-06-04,19656000.0,22456000.0,0.0,14584000.0,0.0,0.0,33992000.0,0.0,0.0,47112000.0
2024-06-12,0.0,0.0,17848000.0,0.0,0.0,62688000.0,0.0,13800000.0,18656000.0,45792000.0
2024-06-14,19456000.0,0.0,17648000.0,0.0,0.0,62744000.0,0.0,14072000.0,18784000.0,45968000.0
2024-06-18,19440000.0,22272000.0,0.0,0.0,19176000.0,62752000.0,0.0,0.0,0.0,46024000.0
2024-06-19,19296000.0,22232000.0,17512000.0,0.0,19080000.0,63680000.0,0.0,0.0,17928000.0,45864000.0
2024-06-20,0.0,22432000.0,0.0,14472000.0,18952000.0,63584000.0,0.0,14216000.0,17920000.0,0.0
2024-06-21,18856000.0,22024000.0,17248000.0,14464000.0,0.0,64336000.0,0.0,15168000.0,17720000.0,45664000.0
2024-06-24,0.0,21944000.0,17128000.0,0.0,0.0,64344000.0,0.0,15080000.0,17352000.0,45624000.0
2024-06-25,19080000.0,21744000.0,17064000.0,0.0,0.0,64240000.0,0.0,15200000.0,0.0,0.0
2024-06-27,19672000.0,22264000.0,0.0,0.0,18968000.0,63720000.0,0.0,14544000.0,0.0,45760000.0
2024-06-28,0.0,22288000.0,15312000.0,0.0,0.0,64760000.0,0.0,14784000.0,17648000.0,45904000.0
2024-07-03,19568000.0,0.0,14992000.0,0.0,18984000.0,64960000.0,0.0,0.0,17848000.0,0.0
2024-07-10,0.0,0.0,0.0,0.0,16976000.0,65112000.0,36104000.0,14296000.0,17504000.0,0.0
2024-07-16,19720000.0,21712000.0,0.0,0.0,0.0,65624000.0,0.0,14288000.0,0.0,45696000.0
2024-08-29,19632000.0,0.0,0.0,0.0,16840000.0,69360000.0,0.0,14816000.0,0.0,43832740.0
2024-09-23,0.0,21064000.0,13632000.0,14520000.0,0.0,70160000.0,36632000.0,0.0,0.0,43472740.0
2024-09-27,19512000.0,21408000.0,0.0,0.0,16832000.0,70184000.0,0.0,0.0,15376000.0,43424740.0
2024-09-30,19072000.0,21000000.0,13544000.0,0.0,16656000.0,69048000.0,40384000.0,0.0,0.0,43152740.0
2024-10-03,18752000.0,21040000.0,0.0,14496000.0,0.0,68544000.0,41240000.0,0.0,0.0,0.0
2024-10-04,18720000.0,21312000.0,15440000.0,0.0,16664000.0,63952000.0,0.0,0.0,15456000.0,43816740.0
2024-10-09,18480000.0,0.0,0.0,0.0,16672000.0,63968000.0,0.0,0.0,15392000.0,44512740.0
2024-11-06,18264000.0,21288000.0,15680000.0,0.0,16744000.0,65944000.0,0.0,0.0,0.0,43912740.0
2024-11-12,18344000.0,21088000.0,14928000.0,0.0,16688000.0,65968000.0,0.0,0.0,0.0,44400740.0
2024-11-13,17584000.0,20848000.0,14528000.0,0.0,16672000.0,65928000.0,0.0,17528000.0,0.0,44288740.0
2024-11-14,17248000.0,20832000.0,14288000.0,0.0,0.0,66400000.0,0.0,17984000.0,0.0,44344740.0
2024-12-03,0.0,0.0,13128000.0,0.0,16712000.0,68184000.0,0.0,18000000.0,0.0,44680740.0
2024-12-05,0.0,0.0,13200000.0,0.0,16568000.0,68192000.0,0.0,15528000.0,0.0,44672740.0
2024-12-11,0.0,0.0,12432000.0,0.0,16648000.0,68072000.0,0.0,15448000.0,0.0,48264740.0
2024-12-12,0.0,20888000.0,12512000.0,0.0,16640000.0,68040000.0,0.0,15496000.0,0.0,48280740.0
2024-12-17,17040000.0,0.0,0.0,0.0,16648000.0,67928000.0,41480000.0,0.0,0.0,48088740.0
2024-12-19,17168000.0,21128000.0,12280000.0,0.0,18552000.0,71448000.0,41528000.0,15536000.0,0.0,0.0
2024-12-20,0.0,0.0,12368000.0,0.0,18472000.0,71352000.0,41616000.0,15496000.0,0.0,0.0
2025-01-09,0.0,0.0,0.0,0.0,17832000.0,71272000.0,42240000.0,15288000.0,14912000.0,47872740.0
2025-01-10,0.0,20720000.0,0.0,0.0,0.0,71248000.0,42864000.0,15064000.0,15160000.0,47520740.0
2025-02-17,0.0,0.0,0.0,14336000.0,17264000.0,71304000.0,44200000.0,14416000.0,0.0,47560740.0
2025-02-25,0.0,20504000.0,0.0,0.0,17272000.0,0.0,44720000.0,14456000.0,0.0,47360740.0
