date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOOM SECURITIES (H.K.) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA MERCHANTS SECURITIES (HK) CO LTD,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,YUANTA SECURITIES (HONG KONG) CO LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2024-03-04,3.1603997019013543,1.0549531587141179,0.0,0.0,0.0,0.0,3.7570576024909186,0.0,0.0,0.0
2024-03-05,3.393142950786411,1.0621715159720786,0.0,0.0,0.0,4.099831831784964,3.6345406198422885,0.0,0.0,0.0
2024-03-06,3.397630037730549,1.06353715112899,0.0,0.0,0.0,2.779457725788264,0.0,0.0,0.0,0.0
2024-03-08,3.3978251284672503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,3.4124569337198727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,3.41089620782626,0.0,0.0,0.0,0.0,0.0,3.6364915272093046,0.0,0.0,0.0
2024-03-14,3.4210409261347454,1.0654880584960065,0.0,0.763975324923622,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,3.4237721964485686,1.0693898732300393,0.0,0.7534404251417335,0.0,0.0,3.632784803211974,0.0,0.0,0.0
2024-03-18,3.4235771057118667,1.070170236176846,0.0,0.748758247460894,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,3.4224065612916568,1.0805100452220326,0.0,0.7448564327268613,0.0,0.0,3.632394621738571,0.0,0.0,0.0
2024-03-20,3.418504746557624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,3.4144078410868897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,3.4132372966666797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9087326515562387
2024-03-25,3.405238576461912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909122833029642
2024-03-26,3.3988005821507588,1.0838265877459607,0.0,0.0,0.98501312960658,0.0,3.652293876882138,0.0,0.0,0.0
2024-03-27,3.399385854360863,0.0,0.0,0.0,0.9711616873007636,0.0,3.656976054562977,0.0,0.0,0.0
2024-03-28,3.403287669094896,0.0,0.0,0.0,0.9627727856225932,0.0,3.658926961929994,0.0,0.0,0.0
2024-04-02,3.4030925783581947,1.086752948796485,0.0,0.0,0.0,0.0,3.649172425094912,0.0,0.0,0.0
2024-04-03,3.4015318524645815,1.0885087654268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,3.387485319422063,1.0894842191103082,0.0,0.7417349809396351,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,3.377340601113578,1.08967930984701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,3.3808522343742076,0.0,0.0,0.0,0.0,2.691666894272526,0.0,0.0,0.0,0.0
2024-04-11,3.3818276880577156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,3.382608051004522,0.0,0.0,0.0,0.9518477043673013,0.0,0.0,0.0,0.0,0.0
2024-04-15,3.7472326378998875,0.0,0.0,0.0,0.0,0.0,3.649952788041718,0.0,0.0,0.9163411902876027
2024-04-16,3.743135732429153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,3.7468424564264837,1.0863627673230818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,3.753280450737638,1.0939713060544458,0.0,0.0,0.8913695759897928,0.0,3.628102625531134,0.0,0.0,0.0
2024-04-19,3.771228798514189,1.0978731207884789,0.0,0.0,0.0,0.0,0.0,0.0,0.013656351569114796,0.0
2024-04-22,3.7644006227296316,1.1154312870916263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,0.0,1.1164067407751344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,3.7702533448306803,0.0,0.0,0.0,0.8859070353621469,0.0,0.0,0.0,0.0,0.0
2024-04-26,3.7610840802057037,1.1169920129852395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
